metesdescriptionlineid	metesdescription	metesdescriptionline	thencepoint	northsouth	degree	eastwest	foot	topoint	curveleftright	curveradiusfoot	curvetangent	manualxchange	manualychange	metesdescriptionlinenotes	curveinternalangle
88127	8136	10	northeasterly along the easterly line of Seton Hall College	N	\N	E	75.5	angle in said easterly line of Seton Hall College		\N	0	53.386561979584	53.386561979584		\N
88128	8136	11	northeasterly still along said easterly line of Seton Hall College	N	\N	E	469.11	point 100 feet southerly from the southerly line of Varsity Road, measured at right angles thereto		\N	0	331.71086212242	331.71086212242		\N
88129	8136	12	southeasterly parallel with Varsity Road and 100 feet southerly therefrom, measured at right angles thereto	S	\N	E	1175	division line between the City of Newark and the Township of Maplewood		\N	0	830.85046789419	-830.85046789419		\N
88130	8136	13	southwesterly along said division line	S	\N	W	3160	southerly line of land, formerly belonging to Ida M. Schaefer and the point or place of BEGINNING		\N	0	-2234.4574285495	-2234.4574285495		\N
88131	8137	1	at right angles to Florence Avenue	N	61.15	W	50	point 120 feet westerly from the westerly line of Florence Avenue		\N	0	\N	\N		\N
88132	8137	2	parallel with Florence Avenue	N	28.85	E	60			\N	0	\N	\N		\N
88133	8137	3	at right angles to Florence Avenue	N	61.15	W	60			\N	0	\N	\N		\N
88134	8137	4	parallel with Florence Avenue	N	28.85	E	21.01			\N	0	\N	\N		\N
88135	8137	5		S	81.316666666667	E	9.32			\N	0	\N	\N		\N
88136	8137	6		N	5.7166666666667	E	22.37			\N	0	\N	\N		\N
88137	8137	7		S	64.233333333333	E	75.1	point 105 feet westerly from the westerly side of Florence Avenue measured at right angles thereto		\N	0	\N	\N		\N
88138	8137	8	parallel with Florence Avenue and 105 feet west therefrom measured at right angles thereto	N	28.85	E	250	division line between the City of Newark and the Township of Maplewood		\N	0	\N	\N		\N
88139	8137	9	southerly along said division line	S	\N		360	point or place of Beginning		\N	0	\N	\N		\N
88140	8138	1	westwardly parallel to the southerly line of Sixteenth Avenue the various courses thereof		\N	W	\N	center line of M Street or Finley Avenue		\N	0	\N	\N		\N
88141	8138	2	northwardly at right angles to River Avenue	N	\N		650	point in Shark River		\N	0	\N	\N		\N
88142	8138	3	eastwardly in a straight line		\N	E	\N	point in the center line of L Street produced northwardly and five hundred feet form the southerly line of River Avenue		\N	0	\N	\N		\N
88143	8138	4	southwardly along the center line of L Street	S	\N		\N	southwest corner of the Borough of Belmar		\N	0	\N	\N		\N
88144	8138	5	eastwardly along the southerly boundary of the Borough of Belmar		\N	E	\N	westerly line of H Street		\N	0	\N	\N		\N
88145	8138	6	southwardly along the westerly line of H Street	S	\N		\N	southwest corner of H Street and Sixteenth Avenue		\N	0	\N	\N		\N
88146	8138	7	eastwardly along the southerly line of Sixteenth Avenue		\N	E	\N	easterly line of the New York and Long Branch Railroad Company's right of way		\N	0	\N	\N		\N
