recordingeventid	event	recording	recordingeventrelationship	recordingeventinclude
1	4	1	direct	t
2	9	2	direct	t
3	29	1584	direct	t
4	36	195	include	\N
5	36	194	include	\N
6	60	91	direct	t
7	62	92	direct	t
8	63	93	direct	t
9	65	89	direct	t
10	67	90	direct	t
11	156	2355	direct	t
12	160	2356	direct	t
13	289	2152	include	\N
14	349	2189	reference*	\N
15	378	835	direct	t
16	402	2260	direct	t
17	408	1353	reference*	\N
18	467	205	direct	t
19	468	636	direct	t
20	491	1467	direct	t
21	504	772	include	t
22	533	2187	direct	t
23	543	1866	direct	t
24	575	2042	direct	t
25	583	612	reference	f
26	583	651	direct	t
27	601	927	direct	t
28	603	1406	direct	t
29	622	1758	direct	t
30	637	329	direct	t
31	637	322	direct	t
32	643	323	direct	t
33	646	209	direct	t
34	668	455	direct	t
35	693	2043	direct	t
36	710	928	direct	t
