metesdescriptiongisid	metesdescription	governmentshape
492	506	702
493	1369	703
494	2202	2908
495	1608	707
496	1607	707
497	1600	707
498	1429	707
499	2643	710
500	2471	711
501	2436	712
502	2331	713
503	1705	716
504	1704	716
505	1165	716
506	480	717
507	251	718
509	161	718
510	152	718
511	107	718
512	2404	722
516	4002	727
517	3335	728
518	3343	729
519	3103	733
520	1601	736
521	1600	736
522	1242	740
523	3486	742
524	251	743
526	181	743
527	81	743
528	1	743
529	4137	744
530	2031	748
531	3591	752
532	2733	753
533	1661	754
534	3728	755
535	2541	756
536	1745	757
537	2510	758
538	2240	2910
539	1769	759
541	19	760
542	2593	761
543	3520	763
544	3400	764
545	3198	765
548	3890	768
549	3866	771
550	3453	2693
551	3025	773
552	3024	773
553	4223	774
554	422	777
555	2176	778
562	712	783
563	588	783
564	1438	784
565	615	2922
566	292	2922
567	104	2922
568	2035	787
573	246	801
574	3872	793
576	2242	797
577	555	798
579	3061	805
580	1774	806
581	1705	807
582	1704	807
583	1093	807
584	1657	810
586	3998	812
587	3997	812
588	3996	812
589	1482	814
590	2959	815
593	3882	818
594	262	820
595	2401	825
596	251	827
598	161	827
599	152	827
600	107	827
601	246	828
602	986	830
603	4221	834
604	1306	835
612	2371	847
613	2218	847
614	2654	851
615	2192	852
616	1586	853
617	487	855
618	497	861
619	3210	862
620	3295	864
621	2531	866
622	979	867
623	2847	879
624	397	869
626	4001	871
627	2662	872
628	1441	873
629	1069	873
630	1295	874
631	3835	881
632	1615	884
633	1341	885
634	1339	885
635	632	885
636	254	887
637	110	887
638	3386	888
639	2146	890
641	19	892
642	3605	893
644	671	896
645	3442	898
646	261	899
647	26	899
648	3900	906
649	3069	907
650	1991	907
651	1221	908
652	246	909
653	365	917
654	2650	918
655	2802	920
656	4220	921
657	993	921
658	2628	924
659	514	924
661	4130	927
662	1609	927
663	1607	927
664	1430	927
665	798	928
666	2239	929
670	1444	951
671	1579	935
674	104	935
675	3658	937
676	3652	937
677	3317	938
679	2015	939
681	104	939
682	3149	940
683	1608	941
684	1607	941
685	1326	942
686	1180	942
687	104	942
688	691	943
689	4140	944
691	3719	947
694	3805	958
696	1206	964
697	1982	966
698	1120	967
699	2212	968
700	1681	969
701	1390	969
706	4182	973
707	2854	973
708	2196	973
709	2342	974
710	1602	975
711	2403	977
712	4033	978
713	3984	979
714	2318	980
715	4187	981
716	4182	981
717	2196	981
718	2944	982
719	2797	985
720	257	986
721	2059	988
722	3658	990
723	3644	990
724	3038	991
725	1657	992
726	2533	994
727	339	995
728	3279	996
729	2212	997
730	2873	1001
731	1184	1003
732	2248	1980
733	2076	1980
734	2198	1005
735	1595	1080
736	1593	1080
737	2492	1142
738	514	1142
741	1444	1995
743	2994	3285
744	2217	3285
745	2219	1020
746	256	1021
747	1366	1022
748	2165	1036
749	1099	1038
750	2212	1039
751	3449	1042
752	1624	1043
753	2189	1044
754	3245	1052
755	1480	1053
756	2723	1056
757	2446	1059
758	3689	1063
759	222	1070
760	3340	1072
761	2642	1074
762	751	1075
763	2801	1079
764	2318	1096
765	2174	1096
766	2117	1096
767	3063	1177
768	2317	1084
769	2127	1086
770	2126	1086
771	535	1086
772	2585	1095
773	2017	1100
775	104	1100
777	1125	1105
778	778	1106
779	2615	1108
781	3762	1126
783	527	1130
784	251	1130
785	182	1130
786	81	1130
787	1	1130
788	1030	1136
789	3926	1137
790	2624	1140
791	2367	2694
793	1140	1146
795	3583	1151
796	743	1152
797	537	1155
798	784	1156
799	4035	94
801	2792	1163
802	3624	1168
803	1660	1169
804	1915	1170
805	4157	1174
806	2307	1174
807	3941	1175
808	2769	2924
809	3571	1181
810	3152	1182
811	1991	1183
812	537	1191
813	571	1193
814	2936	1194
815	1170	1449
817	3007	1198
818	3166	1201
819	99	2859
820	3877	1205
821	2196	1208
822	255	1210
823	26	1210
824	2942	1215
825	4088	1217
826	1953	1218
827	245	1219
828	1878	4476
829	2238	1222
830	1434	1225
831	4212	1230
832	4211	1230
833	954	1231
834	1190	1232
835	494	1234
836	251	1235
838	161	1235
839	3526	1237
840	1783	1241
841	259	1242
842	3603	1244
843	3777	1245
844	73	1249
845	104	1250
846	32	1252
847	3313	1254
849	3420	1256
850	3564	1257
851	1681	1260
852	2430	1262
859	599	1268
860	963	1269
861	2253	1272
862	1240	1272
863	2617	1273
864	642	1279
865	2133	1280
867	717	1282
868	2119	1284
869	559	1450
870	482	1450
871	3193	1294
872	3465	10378
873	2083	1299
874	2629	1300
875	243	1301
876	981	2861
877	19	1302
878	1565	1304
879	1564	1304
880	186	1304
881	935	1305
882	592	1308
883	1832	1309
885	926	1312
886	256	1313
887	3508	1315
889	104	1318
890	1688	1319
891	2917	1321
893	2515	1325
894	2930	2863
895	11	1332
896	4082	1334
897	1347	1334
898	1193	1334
899	104	1334
900	4040	1339
901	3488	2864
902	2064	1344
903	2526	2956
904	1371	12430
905	2469	1354
906	104	1355
907	725	1356
908	1343	1358
909	864	1359
910	541	1359
911	3023	3459
912	1331	1364
913	2090	1367
916	1856	1369
917	4111	1372
918	2536	1375
919	767	1378
920	262	1379
921	3635	1381
922	2694	1388
923	254	1396
924	108	1396
925	1219	1399
928	1856	1407
929	1625	1410
930	67	1414
931	1250	1419
932	1337	1420
933	2710	1423
935	2157	1427
936	994	3460
937	1101	1431
938	926	1432
939	2405	1433
941	1608	1443
942	1607	1443
943	1600	1443
944	1581	1443
945	3311	1444
946	515	1445
947	218	3499
948	520	1452
949	465	1457
950	1389	1458
951	695	1459
952	758	1460
953	534	1461
954	2209	1463
955	615	1536
956	292	1536
957	226	1536
958	104	1536
959	344	1470
960	2201	1471
962	1545	1604
963	2090	1483
964	1501	1483
965	2310	1609
967	114	1486
968	2269	1488
969	3451	1489
970	3111	1493
972	1077	1497
973	3931	1502
974	525	1506
975	122	1508
976	3308	1512
977	1596	1520
978	1569	1520
979	570	1522
980	2464	1525
981	256	1527
983	1995	2308
984	1130	1530
985	405	1531
986	3643	1533
987	992	1534
988	1867	1535
989	777	1535
990	1155	1541
991	1154	1541
992	4130	1544
993	1608	1544
994	1607	1544
995	1124	1548
996	350	1550
997	806	1552
998	1946	1553
999	1143	1553
1000	246	1557
1001	3570	1564
1002	1341	1569
1003	1340	1569
1004	1285	1569
1005	694	1569
1006	3821	1575
1007	3763	1578
1008	3291	3780
1009	2826	3780
1010	977	1579
1011	1867	1586
1012	1327	1586
1013	1081	1588
1014	344	1589
1015	3784	1592
1016	297	1601
1017	255	1602
1018	26	1602
1019	1875	4338
1020	3268	1611
1021	3000	1612
1022	2999	1612
1023	1241	1615
1028	3699	1619
1029	2455	1620
1030	1657	1620
1031	3603	1634
1032	3450	1637
1034	1194	1639
1035	104	1639
1036	1333	1640
1037	514	1640
1038	248	1644
1039	344	1652
1040	436	1660
1042	3179	1667
1043	514	1667
1044	1830	1669
1045	3658	1673
1046	3651	1673
1047	2871	1682
1048	1308	1684
1049	2687	1685
1050	3985	1686
1052	835	1692
1053	706	1695
1054	1933	1698
1055	382	1699
1056	2058	1701
1057	2189	1702
1060	1319	1705
1061	2696	1706
1062	473	1713
1065	2825	1719
1066	464	1721
1067	3219	1729
1068	375	1730
1069	760	1776
1070	1547	1867
1071	1468	1867
1072	3016	1737
1073	2213	1745
1074	2128	1948
1075	2127	1948
1076	250	1750
1077	161	1750
1078	107	1750
1079	2709	1753
1080	1826	1754
1081	2573	1755
1082	1832	1759
1083	3217	1761
1084	1860	1764
1086	1856	1765
1087	2609	1766
1088	252	1768
1089	2345	1774
1090	619	1775
1091	2666	2710
1092	1207	1778
1093	3796	1782
1094	1629	1783
1095	1619	1793
1096	2360	1795
1097	262	1798
1098	919	1804
1102	2040	1811
1103	3602	1814
1104	3601	1814
1105	3600	1814
1106	3734	1817
1107	1854	1817
1108	1518	1821
1109	19	1826
1110	1951	1827
1111	3243	1829
1112	1477	1830
1113	253	1835
1114	2572	1836
1115	2042	1837
1116	2174	1839
1117	2117	1839
1118	2561	1844
1119	972	1845
1120	1271	1846
1122	1415	1854
1123	2918	1855
1124	2175	1856
1125	1440	1859
1126	4157	1864
1127	2046	1864
1128	925	1866
1129	2127	1869
1130	2126	1869
1131	1444	1875
1132	2181	1878
1133	246	1880
1134	1121	1884
1135	2924	1886
1136	1539	1889
1137	3361	1891
1138	756	1895
1139	2121	1896
1140	620	1897
1141	515	1898
1143	262	1906
1144	641	1916
1145	3953	1918
1146	558	1919
1147	3150	1920
1149	104	1922
1150	1465	1923
1151	725	1923
1152	1867	1927
1153	1265	1927
1154	4157	1929
1155	2067	1929
1156	1370	1931
1157	4152	1935
1158	1744	1939
1159	1489	1941
1160	514	1941
1163	3649	1945
1165	2218	1947
1166	514	1959
1167	4175	1960
1168	2835	1961
1169	2834	1961
1170	2833	1961
1171	3304	1964
1172	246	1966
1173	1941	1967
1174	2154	1969
1175	2178	1974
1176	3512	1975
1177	2255	3011
1178	2612	1984
1179	2587	1984
1180	4081	1985
1181	2230	1986
1182	3297	1989
1183	1112	1993
1184	1111	1993
1185	525	1999
1186	258	1999
1187	2866	2002
1188	2795	2003
1189	2217	2003
1190	2111	2004
1191	1780	2005
1192	514	2005
1193	1946	2006
1194	1849	2006
1195	4181	2009
1197	261	2015
1198	26	2015
1199	4182	2016
1200	3084	2017
1201	3333	2023
1202	1475	2027
1203	455	2027
1204	2606	2028
1205	522	2030
1206	4006	3012
1207	2076	2032
1208	2005	3013
1209	1224	2034
1210	2318	2035
1211	934	2035
1212	3558	2038
1213	1967	2041
1214	3513	2044
1215	1263	2047
1216	703	2048
1218	2648	2051
1220	3798	2059
1221	251	2063
1223	161	2063
1224	152	2063
1225	107	2063
1226	249	2065
1227	108	2065
1228	2030	2067
1229	2253	2068
1230	1243	2068
1231	1864	2069
1233	3098	2076
1235	527	2078
1236	251	2078
1238	182	2078
1239	81	2078
1240	1	2078
1242	3374	2080
1244	3634	2082
1245	193	2083
1246	2999	2086
1247	1040	2091
1249	796	2099
1250	1215	2101
1251	259	2102
1252	2131	2103
1253	3136	2105
1254	2160	2106
1255	3383	2107
1256	19	2107
1258	1347	2111
1259	1193	2111
1260	104	2111
1261	615	2499
1262	272	2499
1263	104	2499
1264	3154	2119
1267	2997	2124
1268	2786	2127
1269	514	2127
1270	3132	2129
1271	3049	2130
1272	1112	2134
1273	1110	2134
1274	516	2134
1275	253	2138
1276	2521	2139
1277	2344	2139
1281	791	2144
1282	3511	3043
1283	1414	2157
1284	1413	2157
1285	1397	2157
1287	471	2166
1289	2685	2170
1290	3869	2171
1291	1171	2174
1292	2806	2175
1293	1922	2176
1294	2833	3507
1295	1530	2179
1296	1528	2179
1297	3509	3508
1298	1590	2185
1299	2318	2186
1300	2174	2186
1301	2117	2186
1302	1500	2187
1303	1514	2188
1304	1835	2191
1305	2385	3543
1306	4112	2195
1307	1100	2201
1308	474	2202
1309	1426	2203
1310	1536	2204
1311	250	2208
1312	181	2208
1313	81	2208
1314	1	2208
1315	643	2209
1316	537	2209
1317	1856	2211
1318	816	3817
1319	667	2217
1320	491	2219
1321	3691	2222
1322	246	2229
1323	2767	2231
1324	2766	2231
1325	3658	2234
1326	3647	2234
1327	2218	2235
1328	2161	2235
1329	2346	3818
1330	2796	2237
1331	739	2242
1332	3226	2248
1333	2566	2250
1334	1281	2256
1335	615	2258
1336	292	2258
1337	104	2258
1338	2180	3819
1339	484	3819
1341	2391	2261
1342	268	2262
1343	2102	2270
1344	2025	2271
1345	484	2273
1346	2618	2277
1353	2024	4296
1354	3451	2284
1355	668	2288
1357	898	2293
1358	1882	2294
1359	2174	2295
1360	2117	2295
1361	2811	2296
1362	3182	2297
1363	287	2303
1364	2149	2305
1365	2645	2306
1366	1992	2310
1367	2729	2311
1368	2699	2315
1369	3705	2318
1370	255	2319
1371	1202	2321
1372	3693	2326
1373	263	2327
1375	4030	2333
1376	3101	2334
1378	104	2335
1379	1456	2337
1380	2797	2339
1381	3984	2342
1382	3983	2342
1383	2380	2342
1384	2379	2342
1385	2378	2342
1386	2377	2342
1387	824	2342
1388	2638	2343
1389	1891	2345
1390	2481	2347
1391	2815	2348
1392	2798	2351
1393	2348	2355
1395	3062	2357
1396	3061	2357
1397	1594	2364
1398	1592	2364
1399	2418	2530
1400	2078	3833
1401	1522	2401
1402	3642	2366
1403	2649	2370
1404	3935	2371
1405	3700	2373
1406	1462	2375
1407	1461	2375
1408	819	2375
1414	3447	2379
1415	3925	2380
1416	1705	2383
1417	2829	2386
1418	3999	2389
1420	624	2391
1421	477	2391
1422	4065	2393
1423	1589	2395
1424	3130	2396
1425	1296	2397
1426	499	2397
1427	401	2397
1429	2437	2416
1430	245	2403
1431	863	2405
1432	1787	2406
1433	1751	2408
1434	244	2410
1435	3176	2411
1437	3083	2412
1438	529	2414
1439	4157	2420
1440	1776	2420
1441	2553	2423
1442	1109	2424
1443	2440	2425
1444	2537	2426
1446	2457	2429
1447	902	2430
1448	760	2430
1449	261	2431
1450	26	2431
1451	3756	2432
1452	1057	2435
1453	3008	2441
1454	4130	2445
1455	1608	2445
1456	1607	2445
1457	1581	2445
1458	1154	2446
1459	1153	2446
1460	1231	2447
1461	613	2449
1462	3727	2450
1463	2624	2450
1465	2604	2453
1467	104	2454
1468	757	2456
1473	1022	2458
1474	1021	2458
1475	537	2458
1476	2032	2460
1477	514	2460
1478	246	2463
1479	1456	2464
1480	514	2464
1481	1197	2465
1482	1746	2467
1483	816	2470
1484	2808	2473
1485	1867	2478
1486	838	2478
1487	777	2478
1490	2770	2480
1491	261	2481
1492	3710	2482
1493	956	2485
1494	2816	2486
1495	1471	2665
1496	1960	2494
1497	3891	2495
1498	891	2497
1499	3309	2667
1500	2568	2727
1502	2574	2501
1503	3982	2502
1504	246	2503
1505	4188	2506
1506	3618	2507
1507	2978	2509
1508	3276	2511
1509	262	2513
1510	850	2514
1511	514	2514
1512	3444	2518
1513	1551	2520
1514	484	2521
1515	4081	2522
1516	2431	2525
1517	3422	2526
1519	3547	2533
1520	2048	2535
1521	1968	2536
1522	1216	2537
1523	3359	2539
1524	2564	2542
1525	492	2542
1526	2249	2545
1527	1138	2548
1528	1394	2555
1529	1390	2555
1530	1119	2557
1531	2157	2558
1532	2341	2559
1534	1338	2563
1535	3089	2564
1536	2335	2564
1537	2333	2564
1538	4030	2565
1539	3236	2567
1541	688	2569
1542	525	2571
1543	258	2571
1544	2055	2572
1546	2174	2728
1547	2117	2728
1548	1217	2576
1549	3648	2579
1550	3055	2580
1552	2401	2584
1553	243	2585
1554	798	2589
1557	1856	2592
1558	2857	2596
1559	257	2598
1560	1565	2599
1561	1564	2599
1562	186	2599
1564	2076	2750
1565	679	2601
1567	242	2607
1568	484	2608
1569	3905	2610
1571	431	2611
1572	2414	2616
1573	264	2620
1574	2518	2621
1575	2488	2623
1579	2358	2628
1580	1653	2629
1581	344	2631
1582	2527	2634
1583	3257	2637
1584	1857	2638
1587	248	2644
1588	3133	2646
1589	800	2648
1590	833	2650
1591	1355	2651
1593	3883	2681
1594	522	2652
1595	3758	2654
1596	2074	2657
1597	982	2668
1598	4132	2670
1599	4131	2670
1600	4130	2670
1601	1609	2670
1602	1607	2670
1603	1430	2670
1604	1296	2671
1605	499	2671
1606	244	2673
1607	1547	2674
1608	1468	2674
1609	812	2675
1610	3543	2676
1611	3658	2678
1612	3645	2678
1613	2623	2685
1614	1735	2686
1615	527	2687
1616	251	2687
1617	1669	2689
1618	2586	2698
1619	2581	2702
1620	1718	2704
1622	252	2707
1623	3165	2709
1629	1880	2718
1630	830	2720
1631	2625	2723
1632	1981	2724
1634	3906	2752
1636	245	2729
1637	250	2731
1638	181	2731
1639	81	2731
1640	1	2731
1641	2125	2733
1642	2016	2734
1643	104	2734
1644	3249	2736
1645	3247	2736
1646	514	2736
1647	904	2737
1649	1937	2783
1650	1262	2741
1651	2627	2742
1652	1389	2744
1653	3330	2746
1654	1555	2748
1655	722	2749
1657	3623	2757
1658	2264	2758
1659	268	2760
1661	2218	2762
1663	1975	2766
1664	2902	2767
1665	2539	2768
1666	3060	2769
1667	1314	2770
1668	2688	2772
1669	3058	2774
1670	2486	2777
1671	1691	2781
1672	2651	2787
1673	415	2791
1674	415	2792
1675	1956	2793
1676	646	2793
1677	1389	2794
1678	511	2796
1680	1355	2799
1682	256	2800
1683	509	2803
1684	2014	2804
1686	104	2804
1688	3566	2808
1689	3162	2810
1690	2097	2812
1691	2384	2813
1692	255	2815
1693	26	2815
1694	1916	2818
1695	770	2819
1698	1885	2826
1699	2784	2828
1700	246	2831
1701	2002	2832
1702	3339	7696
1703	2220	2839
1704	1149	2840
1705	3582	2841
1706	250	2842
1707	182	2842
1708	81	2842
1709	1	2842
1710	318	2843
1711	2938	2856
1712	1478	2857
1713	732	2845
1716	2724	2848
1717	251	2850
1718	3250	2852
1719	3248	2852
1720	514	2852
1732	2028	6624
1733	1050	2870
1735	1566	2872
1736	104	2872
1738	1394	2874
1739	1390	2874
1740	1574	2875
1741	1334	2877
1742	3263	2879
1743	1943	2892
1744	3087	2893
1745	3086	2893
1746	3405	2880
1747	3597	2881
1748	3271	2885
1749	1830	2885
1750	3629	2886
1751	2254	2888
1753	2680	2890
1754	4197	2895
1755	514	2895
1756	2090	2896
1757	1743	2896
1758	3641	2897
1759	579	2901
1765	3443	2907
1766	1666	2911
1767	2306	2915
1768	262	2917
1769	2631	2918
1770	3730	2919
1771	2167	2920
1772	3368	2926
1773	1030	2927
1774	1029	2927
1775	17	2927
1776	256	2930
1777	2023	2933
1779	1530	2936
1780	1010	2936
1781	1365	2937
1782	297	2939
1783	3538	2941
1785	4061	2943
1786	1236	2945
1787	1524	2946
1788	2800	2949
1789	246	2954
1790	3031	2955
1791	3355	2961
1792	2505	3936
1794	1350	2972
1795	627	3008
1796	2528	3965
1798	2700	3966
1800	853	2982
1801	3272	2985
1802	3144	2985
1803	246	2988
1805	1922	2992
1806	1921	2992
1807	2779	2993
1808	830	3967
1811	1341	3004
1812	1339	3004
1813	147	3004
1814	550	3009
1816	42	3015
1817	3917	3017
1818	2953	3018
1819	1946	3019
1820	1717	3019
1821	261	3021
1822	26	3021
1824	1946	3026
1825	1143	3026
1826	875	3026
1827	3249	3028
1828	3247	3028
1829	3357	3030
1830	1954	3031
1831	1064	3034
1832	3630	3035
1833	848	3044
1834	2370	3051
1835	2988	3186
1836	2502	3054
1837	1449	3057
1838	1601	3060
1839	1600	3060
1840	1429	3060
1841	2923	3061
1842	1547	3065
1843	1468	3065
1845	2100	3067
1846	2152	3071
1847	3484	3080
1849	2795	3086
1850	262	3087
1851	176	3088
1852	693	3089
1853	222	3089
1854	1965	3093
1855	19	3093
1856	1609	3094
1857	1607	3094
1858	3372	3095
1859	4031	3096
1860	3852	3099
1861	1347	3101
1862	104	3101
1863	104	3102
1864	846	3104
1865	1956	3105
1866	646	3105
1868	19	3107
1871	2247	3110
1872	2824	3111
1873	1169	3112
1874	783	3113
1875	3180	3114
1876	3909	3115
1877	527	3116
1878	251	3116
1879	163	3116
1881	2159	3123
1882	4130	3124
1883	1608	3124
1884	1607	3124
1885	1429	3124
1886	497	3127
1888	611	3130
1890	2569	3134
1891	237	3135
1892	1291	3138
1893	479	3143
1894	4067	3144
1895	2937	3150
1897	1996	3152
1898	248	3153
1900	138	3157
1901	2453	3161
1902	2818	3164
1903	3807	3168
1904	808	3169
1905	2799	3171
1906	929	3171
1907	1274	3173
1908	3292	3175
1909	3291	3175
1910	2553	3177
1912	3396	3179
1913	3118	3182
1914	3936	3183
1916	1705	3189
1917	1704	3189
1918	1167	3189
1919	3490	3190
1920	3202	3194
1921	1320	3201
1922	792	3203
1923	2136	3205
1924	2122	3208
1925	2114	3210
1926	242	3213
1927	3924	3214
1928	1107	3215
1929	853	3215
1930	852	3215
1931	453	3216
1932	410	3216
1933	385	3217
1934	774	3218
1935	2544	3223
1936	1462	3226
1937	1461	3226
1938	820	3226
1939	2100	3231
1940	1944	3232
1942	42	3234
1943	264	3235
1944	2672	3237
1945	255	3239
1946	2016	3240
1947	1180	3240
1948	104	3240
1949	1330	3241
1953	2643	3245
1954	2153	3246
1955	200	3246
1956	2217	3247
1957	3175	3248
1958	615	3253
1959	292	3253
1961	104	3253
1964	2646	3260
1965	344	3261
1966	3367	3263
1967	246	3264
1968	2994	3265
1969	652	3266
1970	344	3268
1971	849	3273
1972	3251	3274
1974	1947	3278
1975	1946	3278
1976	1630	3282
1977	1172	3283
1978	734	7394
1979	70	7394
1982	2177	3291
1983	3984	3294
1984	3983	3294
1985	2380	3294
1986	2379	3294
1987	2378	3294
1988	2377	3294
1989	221	3294
1990	415	3297
1991	2989	3299
1992	3299	3302
1994	25	3306
1996	2534	3316
1997	1805	3327
1998	739	3319
1999	3489	3323
2000	3264	3329
2001	619	3331
2002	3256	3332
2003	2921	3337
2004	1587	3340
2005	255	3341
2006	26	3341
2008	272	3342
2009	104	3342
2010	538	3345
2011	249	3346
2012	1078	3347
2013	558	3348
2014	1998	3350
2015	25	3352
2016	1392	3354
2017	2368	3358
2018	2827	3360
2019	639	3361
2020	2090	3362
2021	1743	3362
2022	527	3364
2023	251	3364
2024	527	3366
2025	251	3366
2026	182	3366
2027	81	3366
2028	1	3366
2029	3772	3367
2030	3120	3372
2031	857	3373
2032	246	3374
2033	971	3375
2034	1119	3378
2035	1064	3379
2036	2697	3381
2037	2402	3382
2038	3724	3383
2039	2304	3385
2040	1204	3386
2041	1424	4539
2042	1180	3387
2044	104	3387
2045	2848	3390
2046	255	3391
2047	344	3395
2048	1861	3396
2049	344	3397
2050	1255	3398
2052	104	3398
2053	3291	3399
2054	2684	3399
2055	1190	3399
2056	8	3424
2057	1121	3400
2058	2044	3402
2060	2529	3407
2063	2595	3409
2064	1389	3409
2065	3601	3456
2066	3600	3456
2067	253	3415
2068	3066	3416
2069	3568	3419
2070	3139	3421
2072	705	3426
2073	3726	3427
2074	2996	3429
2075	4224	3433
2076	2661	4541
2077	3428	3437
2078	85	3438
2079	2527	3457
2080	1368	3442
2081	1134	3443
2082	4195	3444
2083	104	3454
2084	1609	3455
2085	1607	3455
2086	1430	3455
2087	1906	3447
2088	1190	3448
2089	525	3461
2090	2967	3463
2091	573	3468
2092	2336	3469
2093	1136	3470
2094	242	3472
