metesdescriptiongisid	metesdescription	governmentshape
8131	6159	3832
8132	6159	1115
8133	6158	5157
8134	6158	4723
8135	6158	28450
8136	6158	5560
8137	678	4144
8138	678	4518
8139	678	1345
8140	678	1855
8141	678	14387
8142	678	14384
8143	678	14381
8144	678	14383
8145	5175	11820
8146	5175	11822
8147	5175	11840
8148	5175	11833
8149	5176	28797
8150	5180	28797
8151	5179	28797
8152	798	28802
8153	2265	28810
8154	711	28811
8155	3166	28813
8156	3166	28815
8157	6165	7
8158	6165	14
8159	6165	18
8160	6165	24
8161	6165	25
8162	6165	31
8163	6165	53
8166	6165	109
8167	6165	155
8168	6165	172
8169	6165	173
8170	6165	177
8171	6165	180
8172	6165	184
8173	6165	186
8174	6165	207
8175	6165	221
8176	6165	226
8177	6165	248
8179	6165	295
8180	6165	362
8182	6165	383
8183	6165	387
8184	6165	388
8185	6165	390
8186	6165	409
8187	6165	456
8188	6165	475
8189	6165	478
8190	6165	488
8191	6165	499
8192	6165	505
8193	6165	536
8194	6165	547
8195	6165	550
8196	6165	568
8197	6165	578
8198	6165	597
8199	6165	605
8200	6165	608
8201	6165	625
8202	6165	632
8203	6165	634
8204	6165	654
8205	6165	659
8206	6165	666
8207	6165	668
8208	6165	673
8209	6165	691
8211	6165	730
8212	6165	754
8213	6165	784
8214	6165	786
8215	6165	806
8216	6165	809
8217	6165	815
8218	6165	832
8219	6165	839
8220	6165	844
8221	6165	847
8222	6165	873
8223	6165	877
8224	6165	921
8225	6165	964
8226	6165	967
8227	6165	969
8228	6165	980
8229	6165	984
8230	6165	1000
8231	6165	1020
8232	6165	1043
8233	6165	1044
8234	6165	1096
8235	6165	1129
8236	6165	1135
8237	6165	1146
8238	6165	1155
8239	6165	1169
8240	6165	1174
8241	6165	1191
8242	6165	1200
8243	6165	1205
8244	6165	1231
8245	6165	1241
8246	6165	1260
8247	6165	1283
8249	6165	1299
8250	6165	1305
8251	6165	1359
8252	6165	1427
8253	6165	1431
8254	6165	1438
8255	6165	1441
8256	6165	1447
8257	6165	1458
8258	6165	1465
8259	6165	1468
8260	6165	1481
8261	6165	1489
8262	6165	1530
8263	6165	1535
8264	6165	1579
8266	6165	1586
8267	6165	1591
8268	6165	1599
8269	6165	1604
8270	6165	1661
8271	6165	1669
8272	6165	1702
8274	6165	1778
8275	6165	1808
8276	6165	1821
8277	6165	1839
8278	6165	1847
8279	6165	1854
8280	6165	1864
8281	6165	1897
8282	6165	1927
8283	6165	1929
8284	6165	1930
8285	6165	1947
8286	6165	1969
8287	6165	1980
8288	6165	1987
8289	6165	2032
8290	6165	2035
8291	6165	2037
8293	6165	2093
8294	6165	2106
8295	6165	2117
8297	6165	2140
8298	6165	2144
8300	6165	2157
8301	6165	2164
8302	6165	2174
8303	6165	2186
8304	6165	2209
8305	6165	2230
8306	6165	2235
8307	6165	2252
8308	6165	2271
8309	6165	2284
8310	6165	2288
8311	6165	2295
8312	6165	2310
8313	6165	2321
8315	6165	2333
8316	6165	2346
8318	6165	2389
8320	6165	2420
8321	6165	2424
8322	6165	2437
8323	6165	2447
8324	6165	2449
8325	6165	2458
8326	6165	2478
8327	6165	2485
8328	6165	2495
8329	6165	2502
8330	6165	2520
8331	6165	2532
8332	6165	2545
8333	6165	2555
8334	6165	2558
8335	6165	2562
8336	6165	2565
8337	6165	2566
8338	6165	2569
8339	6165	2589
8340	6165	2624
8341	6165	2651
8342	6165	2655
8343	6165	2657
8344	6165	2663
8345	6165	2675
8346	6165	2684
8348	6165	2720
8349	6165	2723
8350	6165	2728
8351	6165	2732
8352	6165	2744
8353	6165	2750
8354	6165	2762
8355	6165	2794
8356	6165	2799
8357	6165	2805
8358	6165	2870
8359	6165	2874
8360	6165	2877
8361	6165	2885
8362	6165	2892
8363	6165	2933
8364	6165	2946
8365	6165	2976
8368	6165	3024
8369	6165	3046
8370	6165	3055
8371	6165	3096
8372	6165	3136
8373	6165	3138
8374	6165	3151
8375	6165	3169
8376	6165	3201
8377	6165	3218
8380	6165	3286
8381	6165	3303
8382	6165	3307
8383	6165	3309
8384	6165	3310
8385	6165	3347
8386	6165	3354
8387	6165	3402
8388	6165	3406
8389	6165	3409
8390	6165	3424
8391	6165	3426
8392	6165	3433
8393	6165	3434
8394	6165	3439
8396	6165	3476
8397	6165	3482
8398	6165	3488
8399	6165	3505
8400	6165	3509
8401	6165	3552
8402	6165	3570
8403	6165	3605
8404	6165	3622
8405	6165	3636
8406	6165	3642
8407	6165	3644
8408	6165	3656
8409	6165	3658
8410	6165	3684
8411	6165	3692
8412	6165	3728
8413	6165	3743
8414	6165	3777
8415	6165	3797
8416	6165	3798
8417	6165	3803
8418	6165	3813
8419	6165	3830
8420	6165	3848
8421	6165	3863
8422	6165	3870
8423	6165	3876
8424	6165	3886
8425	6165	3911
8426	6165	3934
8427	6165	3937
8429	6165	3961
8430	6165	3964
8431	6165	3967
8432	6165	3983
8433	6165	4004
8434	6165	4007
8435	6165	4017
8436	6165	4019
8437	6165	4020
8438	6165	4030
8439	6165	4035
8440	6165	4046
8441	6165	4049
8442	6165	4081
8443	6165	4086
8444	6165	4094
8445	6165	4113
8446	6165	4117
8447	6165	4118
8448	6165	4119
8449	6165	4158
8450	6165	4197
8451	6165	4200
8452	6165	4222
8453	6165	4236
8454	6165	4258
8455	6165	4264
8456	6165	4267
8457	6165	4269
8458	6165	4270
8459	6165	4276
8460	6165	4284
8461	6165	4320
8462	6165	4340
8463	6165	4354
8464	6165	4388
8465	6165	4467
8466	6165	4474
8467	6165	4484
8468	6165	4488
8469	6165	4490
8470	6165	4498
8471	6165	4501
8472	6165	4503
8473	6165	4517
8474	6165	4521
8475	6165	4545
8476	6165	4578
8477	6165	4626
8478	6165	4635
8479	6165	4641
8480	6165	4689
8481	6165	4725
8483	6165	4752
8484	6165	4756
8485	6165	4782
8486	6165	4786
8487	6165	4788
8489	6165	4792
8490	6165	4802
8491	6165	4804
8492	6165	4835
8493	6165	4839
8494	6165	4853
8495	6165	4859
8496	6165	4899
8497	6165	4900
8498	6165	4961
8499	6165	4962
8500	6165	4983
8501	6165	5010
8502	6165	5029
8503	6165	5048
8504	6165	5088
8505	6165	5126
8506	6165	5136
8508	6165	5143
8509	6165	5176
8510	6165	5184
8511	6165	5191
8512	6165	5193
8513	6165	5278
8514	6165	5281
8515	6165	5283
8516	6165	5288
8517	6165	5298
8518	6165	5301
8519	6165	5314
8520	6165	5329
8521	6165	5338
8522	6165	5389
8523	6165	5417
8524	6165	5427
8525	6165	5429
8526	6165	5443
8527	6165	5487
8528	6165	5496
8529	6165	5504
8530	6165	5507
8531	6165	5519
8532	6165	5542
8533	6165	5557
8534	6165	5561
8535	6165	5587
8536	6165	5594
8537	6165	5595
8538	6165	5599
8539	6165	5600
8540	6165	5604
8541	6165	5621
8542	6165	5639
8543	6165	5640
8544	6165	5642
8545	6165	5647
8547	6165	5662
8548	6165	5669
8549	6165	5671
8550	6165	5686
8551	6165	5719
8552	6165	5734
8553	6165	5746
8554	6165	5750
8555	6165	5757
8556	6165	5780
8558	6165	5820
8559	6165	5821
8560	6165	5823
8561	6165	5824
8562	6165	5845
8563	6165	5876
8564	6165	5896
8565	6165	5908
8566	6165	5911
8567	6165	5914
8568	6165	5924
8569	6165	5939
8570	6165	6630
8571	6165	10446
8572	6165	10447
8573	6165	10449
8574	6165	10451
8575	6165	10453
8576	6165	10454
8577	6165	10455
8578	6165	10456
8580	6165	10458
8581	6165	10459
8582	6165	10460
8583	6165	10461
8584	6165	10462
8585	6165	10463
8586	6165	10464
8587	6165	10465
8588	6165	10466
8589	6165	10467
8590	6165	10468
8591	6165	10469
8592	6165	10475
8596	6165	11816
8597	6165	11819
8598	6165	11820
8599	6165	11821
8600	6165	11822
8601	6165	11823
8602	6165	11830
8603	6165	11832
8604	6165	11833
8605	6165	11834
8606	6165	11837
8607	6165	11838
8608	6165	11839
8609	6165	11840
8610	6165	11841
8611	6165	11842
8612	6165	11844
8613	6165	12099
8614	6165	12101
8615	6165	12105
8616	6165	12106
8617	6165	12134
8618	6165	12135
8619	6165	12170
8620	6165	12226
8621	6165	12227
8622	6165	12228
8623	6165	12234
8625	6165	12241
8626	6165	12242
8627	6165	12243
8628	6165	12244
8629	6165	12245
8630	6165	12328
8631	6165	12330
8632	6165	12331
8633	6165	12332
8634	6165	12333
8635	6165	12334
8636	6165	12336
8637	6165	12339
8640	6165	13011
8641	6165	13012
8642	6165	13013
8643	6165	13014
8644	6165	13017
8645	6165	13018
8646	6165	13019
8649	6165	13022
8650	6165	13023
8651	6165	13024
8655	6165	13044
8656	6165	13045
8657	6165	13046
8658	6165	13047
8659	6165	13048
8662	6165	13055
8663	6165	13056
8664	6165	13057
8665	6165	13058
8666	6165	13059
8667	6165	13060
8668	6165	13125
8669	6165	13126
8670	6165	13127
8671	6165	13128
8672	6165	13129
8673	6165	13130
8674	6165	13131
8675	6165	13160
8676	6165	13162
8677	6165	13163
8678	6165	13164
8679	6165	13165
8680	6165	13166
8681	6165	13172
8682	6165	13173
8683	6165	13174
8684	6165	13175
8685	6165	13176
8686	6165	13177
8687	6165	13178
8688	6165	13179
8689	6165	13180
8690	6165	13181
8691	6165	13182
8692	6165	13196
8693	6165	13197
8694	6165	13200
8695	6165	13202
8696	6165	13203
8701	6165	13209
8702	6165	13210
8705	6165	13214
8707	6165	13216
8708	6165	13217
8710	6165	13219
8711	6165	13220
8712	6165	13221
8713	6165	13222
8714	6165	13223
8715	6165	13224
8717	6165	13228
8718	6165	13229
8719	6165	13230
8720	6165	13232
8722	6165	14427
8723	6165	14428
8724	6165	14558
8727	6165	15211
8728	6165	28793
8729	6165	28794
8730	6165	28795
8731	6165	28796
8732	6165	28797
8733	6165	28798
8734	6165	28799
8735	6165	28800
8736	6165	28801
8737	6165	28802
8738	6165	28803
8739	6165	28804
8741	6165	28806
8743	6165	28809
8744	6165	28810
8745	6165	28811
8746	6165	28812
8747	6165	28813
8748	6165	28815
8749	6165	28816
8750	6165	28817
8751	6165	28818
8752	6165	28819
8754	6166	6
8755	6166	7
8756	6166	22
8757	6166	47
8758	6166	92
8759	6166	118
8760	6166	119
8761	6166	132
8762	6166	143
8763	6166	150
8764	6166	158
8765	6166	168
8766	6166	171
8767	6166	172
8768	6166	179
8769	6166	184
8770	6166	194
8771	6166	206
8772	6166	219
8773	6166	221
8775	6166	226
8777	6166	240
8778	6166	259
8779	6166	261
8780	6166	263
8781	6166	268
8783	6166	286
8784	6166	295
8785	6166	299
8786	6166	300
8787	6166	308
8788	6166	314
8789	6166	325
8790	6166	331
8791	6166	337
8792	6166	357
8793	6166	367
8795	6166	385
8796	6166	387
8797	6166	390
8798	6166	391
8799	6166	395
8800	6166	405
8802	6166	425
8803	6166	426
8804	6166	438
8805	6166	450
8806	6166	462
8807	6166	468
8808	6166	474
8809	6166	475
8810	6166	478
8811	6166	483
8812	6166	491
8813	6166	494
8814	6166	498
8815	6166	499
8816	6166	516
8817	6166	518
8818	6166	528
8819	6166	531
8820	6166	542
8821	6166	568
8822	6166	569
8824	6166	597
8825	6166	619
8826	6166	620
8827	6166	634
8828	6166	635
8829	6166	639
8831	6166	682
8832	6166	685
8833	6166	688
8834	6166	703
8835	6166	704
8836	6166	714
8838	6166	723
8839	6166	730
8840	6166	731
8841	6166	746
8842	6166	751
8843	6166	784
8844	6166	790
8845	6166	806
8846	6166	816
8847	6166	829
8848	6166	845
8849	6166	848
8850	6166	853
8851	6166	854
8852	6166	878
8853	6166	882
8854	6166	890
8856	6166	893
8857	6166	908
8858	6166	912
8859	6166	913
8860	6166	915
8861	6166	916
8862	6166	921
8863	6166	922
8864	6166	936
8865	6166	945
8866	6166	959
8867	6166	982
8869	6166	1001
8870	6166	1015
8871	6166	1033
8873	6166	1094
8874	6166	1099
8875	6166	1104
8878	6166	1119
8879	6166	1122
8881	6166	1128
8883	6166	1135
8884	6166	1152
8885	6166	1155
8886	6166	1158
8887	6166	1170
8888	6166	1188
8889	6166	1191
8890	6166	1197
8891	6166	1205
8893	6166	1220
8894	6166	1241
8895	6166	1244
8896	6166	1253
8897	6166	1255
8898	6166	1261
8899	6166	1267
8900	6166	1273
8901	6166	1277
8902	6166	1285
8904	6166	1296
8905	6166	1309
8906	6166	1319
8907	6166	1328
8908	6166	1331
8910	6166	1346
8911	6166	1347
8912	6166	1350
8913	6166	1358
8914	6166	1365
8915	6166	1369
8918	6166	1384
8919	6166	1390
8921	6166	1404
8922	6166	1406
8923	6166	1407
8924	6166	1409
8925	6166	1415
8926	6166	1418
8927	6166	1422
8928	6166	1424
8929	6166	1429
8930	6166	1436
8931	6166	1438
8932	6166	1439
8933	6166	1442
8934	6166	1458
8935	6166	1464
8936	6166	1473
8937	6166	1478
8938	6166	1480
8939	6166	1495
8940	6166	1509
8941	6166	1516
8942	6166	1517
8944	6166	1523
8945	6166	1534
8946	6166	1538
8947	6166	1543
8948	6166	1548
8949	6166	1555
8950	6166	1556
8951	6166	1571
8952	6166	1583
8953	6166	1587
8954	6166	1608
8955	6166	1621
8956	6166	1627
8957	6166	1630
8958	6166	1634
8959	6166	1649
8960	6166	1650
8961	6166	1657
8962	6166	1658
8963	6166	1666
8964	6166	1669
8965	6166	1672
8967	6166	1698
8968	6166	1709
8969	6166	1745
8971	6166	1752
8972	6166	1758
8973	6166	1759
8974	6166	1761
8975	6166	1765
8976	6166	1799
8977	6166	1814
8978	6166	1823
8979	6166	1832
8980	6166	1858
8981	6166	1878
8982	6166	1879
8983	6166	1881
8984	6166	1889
8985	6166	1893
8987	6166	1943
8988	6166	1952
8989	6166	1953
8990	6166	1967
8991	6166	1971
8992	6166	1991
8993	6166	1992
8995	6166	1996
8996	6166	2011
8997	6166	2012
8998	6166	2029
8999	6166	2038
9000	6166	2044
9001	6166	2049
9002	6166	2056
9003	6166	2059
9004	6166	2062
9005	6166	2064
9006	6166	2069
9007	6166	2073
9008	6166	2087
9009	6166	2094
9011	6166	2120
9013	6166	2125
9014	6166	2131
9015	6166	2136
9016	6166	2142
9017	6166	2162
9018	6166	2181
9019	6166	2183
9020	6166	2185
9021	6166	2191
9022	6166	2192
9023	6166	2194
9024	6166	2200
9025	6166	2207
9026	6166	2209
9027	6166	2211
9028	6166	2226
9029	6166	2231
9030	6166	2236
9032	6166	2273
9035	6166	2308
9036	6166	2312
9037	6166	2324
9038	6166	2331
9039	6166	2333
9040	6166	2343
9041	6166	2365
9043	6166	2395
9044	6166	2433
9045	6166	2435
9046	6166	2458
9047	6166	2472
9048	6166	2476
9049	6166	2491
9050	6166	2497
9051	6166	2517
9052	6166	2520
9053	6166	2521
9054	6166	2529
9055	6166	2531
9056	6166	2532
9057	6166	2538
9058	6166	2565
9059	6166	2566
9060	6166	2572
9061	6166	2576
9062	6166	2577
9063	6166	2581
9064	6166	2591
9065	6166	2592
9066	6166	2602
9067	6166	2608
9068	6166	2638
9069	6166	2640
9070	6166	2649
9072	6166	2663
9073	6166	2665
9074	6166	2699
9075	6166	2700
9076	6166	2724
9078	6166	2744
9079	6166	2745
9080	6166	2754
9081	6166	2766
9082	6166	2776
9083	6166	2779
9085	6166	2794
9086	6166	2821
9087	6166	2867
9088	6166	2877
9089	6166	2885
9090	6166	2891
9091	6166	2892
9092	6166	2898
9093	6166	2912
9094	6166	2914
9095	6166	2943
9097	6166	2955
9098	6166	2963
9099	6166	2970
9100	6166	2985
9101	6166	2994
9102	6166	2995
9103	6166	2998
9104	6166	2999
9105	6166	3002
9106	6166	3014
9107	6166	3020
9108	6166	3037
9109	6166	3055
9111	6166	3078
9112	6166	3090
9114	6166	3096
9115	6166	3099
9116	6166	3103
9117	6166	3118
9118	6166	3122
9119	6166	3125
9121	6166	3134
9122	6166	3138
9123	6166	3151
9124	6166	3152
9125	6166	3155
9126	6166	3172
9127	6166	3173
9128	6166	3188
9129	6166	3196
9130	6166	3206
9131	6166	3284
9132	6166	3292
9133	6166	3302
9134	6166	3304
9135	6166	3309
9136	6166	3321
9138	6166	3335
9139	6166	3338
9140	6166	3340
9141	6166	3347
9142	6166	3350
9144	6166	3368
9145	6166	3409
9146	6166	3412
9147	6166	3414
9148	6166	3424
9149	6166	3430
9150	6166	3433
9151	6166	3447
9152	6166	3456
9153	6166	3474
9155	6166	3492
9157	6166	3497
9158	6166	3500
9159	6166	3509
9161	6166	3521
9162	6166	3533
9163	6166	3536
9165	6166	3563
9166	6166	3571
9167	6166	3576
9168	6166	3581
9169	6166	3583
9170	6166	3592
9171	6166	3601
9172	6166	3602
9173	6166	3606
9174	6166	3608
9175	6166	3624
9176	6166	3628
9177	6166	3642
9178	6166	3649
9179	6166	3684
9180	6166	3703
9182	6166	3728
9183	6166	3734
9184	6166	3757
9185	6166	3759
9186	6166	3771
9187	6166	3777
9188	6166	3819
9191	6166	3837
9192	6166	3844
9195	6166	3863
9196	6166	3870
9197	6166	3885
9198	6166	3902
9199	6166	3906
9200	6166	3911
9201	6166	3912
9202	6166	3928
9203	6166	3933
9204	6166	3934
9205	6166	3952
9206	6166	3955
9207	6166	3960
9209	6166	4001
9210	6166	4017
9211	6166	4033
9212	6166	4045
9214	6166	4069
9215	6166	4077
9217	6166	4084
9218	6166	4094
9219	6166	4095
9220	6166	4108
9221	6166	4126
9223	6166	4139
9224	6166	4143
9225	6166	4146
9226	6166	4148
9227	6166	4159
9228	6166	4174
9229	6166	4189
9230	6166	4193
9231	6166	4197
9232	6166	4198
9233	6166	4201
9234	6166	4202
9236	6166	4214
9238	6166	4260
9239	6166	4270
9240	6166	4279
9241	6166	4284
9242	6166	4304
9243	6166	4308
9244	6166	4310
9245	6166	4314
9247	6166	4328
9248	6166	4330
9249	6166	4335
9250	6166	4342
9251	6166	4358
9252	6166	4367
9254	6166	4388
9255	6166	4389
9256	6166	4392
9257	6166	4396
9258	6166	4402
9259	6166	4417
9260	6166	4430
9261	6166	4438
9262	6166	4442
9264	6166	4457
9267	6166	4472
9268	6166	4473
9269	6166	4474
9270	6166	4493
9271	6166	4495
9272	6166	4506
9274	6166	4521
9275	6166	4527
9276	6166	4535
9277	6166	4538
9278	6166	4545
9279	6166	4582
9280	6166	4588
9281	6166	4589
9282	6166	4598
9283	6166	4633
9284	6166	4635
9286	6166	4644
9287	6166	4648
9288	6166	4661
9289	6166	4667
9290	6166	4678
9291	6166	4685
9292	6166	4695
9293	6166	4696
9294	6166	4699
9295	6166	4702
9296	6166	4705
9297	6166	4712
9298	6166	4721
9299	6166	4727
9300	6166	4752
9301	6166	4755
9303	6166	4777
9305	6166	4792
9306	6166	4794
9307	6166	4796
9308	6166	4814
9309	6166	4819
9310	6166	4837
9312	6166	4853
9313	6166	4854
9314	6166	4855
9315	6166	4857
9317	6166	4884
9318	6166	4893
9321	6166	4906
9322	6166	4912
9323	6166	4942
9324	6166	4965
9326	6166	4980
9327	6166	4989
9328	6166	4992
9329	6166	4993
9331	6166	5003
9332	6166	5005
9333	6166	5009
9334	6166	5011
9335	6166	5016
9336	6166	5022
9337	6166	5023
9338	6166	5029
9339	6166	5031
9340	6166	5050
9341	6166	5062
9342	6166	5071
9343	6166	5092
9344	6166	5101
9345	6166	5120
9346	6166	5129
9347	6166	5138
9348	6166	5152
9349	6166	5167
9350	6166	5170
9351	6166	5174
9352	6166	5176
9353	6166	5178
9354	6166	5184
9355	6166	5203
9356	6166	5217
9357	6166	5225
9358	6166	5231
9359	6166	5232
9360	6166	5236
9363	6166	5283
9365	6166	5305
9366	6166	5308
9370	6166	5355
9371	6166	5361
9372	6166	5379
9374	6166	5384
9375	6166	5411
9377	6166	5423
9378	6166	5427
9379	6166	5433
9380	6166	5437
9382	6166	5442
9383	6166	5447
9385	6166	5458
9386	6166	5460
9387	6166	5461
9388	6166	5465
9389	6166	5471
9391	6166	5490
9392	6166	5492
9393	6166	5497
9395	6166	5506
9396	6166	5510
9397	6166	5519
9399	6166	5537
9400	6166	5543
9401	6166	5547
9402	6166	5568
9403	6166	5569
9404	6166	5570
9405	6166	5571
9406	6166	5580
9407	6166	5581
9408	6166	5587
9409	6166	5593
9410	6166	5594
9411	6166	5595
9412	6166	5603
9413	6166	5610
9414	6166	5613
9415	6166	5615
9416	6166	5629
9417	6166	5630
9419	6166	5645
9420	6166	5653
9421	6166	5654
9422	6166	5668
9423	6166	5669
9424	6166	5686
9427	6166	5706
9428	6166	5709
9429	6166	5719
9430	6166	5723
9431	6166	5728
9432	6166	5729
9433	6166	5738
9434	6166	5744
9435	6166	5759
9437	6166	5762
9438	6166	5765
9439	6166	5766
9440	6166	5777
9441	6166	5783
9442	6166	5784
9444	6166	5807
9445	6166	5812
9446	6166	5816
9447	6166	5821
9448	6166	5823
9449	6166	5826
9450	6166	5844
9452	6166	5854
9453	6166	5876
9454	6166	5879
9455	6166	5882
9456	6166	5885
9457	6166	5903
9458	6166	5908
9459	6166	5921
9460	6166	5922
9461	6166	6623
9462	6166	6624
9463	6166	6637
9464	6166	6699
9465	6166	6701
9466	6166	6702
9467	6166	6727
9468	6166	7664
9469	6166	7665
9470	6166	7666
9471	6166	7667
9472	6166	7669
9473	6166	7670
9474	6166	7671
9478	6166	7675
9479	6166	10257
9480	6166	10258
9481	6166	10259
9482	6166	10267
9483	6166	10268
9484	6166	10269
9485	6166	10270
9486	6166	10271
9487	6166	10274
9488	6166	10275
9489	6166	10276
9490	6166	10278
9491	6166	10330
9492	6166	10331
9493	6166	11792
9494	6166	11793
9495	6166	11794
9496	6166	11798
9497	6166	11800
9498	6166	11802
9499	6166	11803
9500	6166	11804
9501	6166	11806
9502	6166	11807
9503	6166	11808
9504	6166	11809
9505	6166	11810
9506	6166	11814
9507	6166	11815
9508	6166	11816
9509	6166	11819
9510	6166	11820
9511	6166	11821
9512	6166	11822
9513	6166	11823
9514	6166	11830
9515	6166	11832
9516	6166	11833
9517	6166	11834
9518	6166	11837
9519	6166	11838
9520	6166	11839
9521	6166	11840
9522	6166	11841
9523	6166	11842
9524	6166	11844
9525	6166	11846
9526	6166	11847
9527	6166	11849
9528	6166	11850
9531	6166	11856
9533	6166	11861
9534	6166	11862
9535	6166	11863
9536	6166	11864
9537	6166	11865
9538	6166	11867
9540	6166	11870
9541	6166	11871
9542	6166	11975
9543	6166	11979
9544	6166	11982
9545	6166	11983
9546	6166	11984
9547	6166	11987
9548	6166	11988
9549	6166	11989
9550	6166	11990
9552	6166	11997
9553	6166	11998
9554	6166	12014
9555	6166	12018
9556	6166	12019
9557	6166	12020
9558	6166	12021
9559	6166	12024
9560	6166	12025
9561	6166	12027
9562	6166	12028
9563	6166	12029
9564	6166	12031
9565	6166	12032
9566	6166	12033
9567	6166	12037
9568	6166	12038
9569	6166	12040
9570	6166	12041
9571	6166	12042
9572	6166	12043
9573	6166	12044
9574	6166	12045
9575	6166	12046
9576	6166	12048
9577	6166	12049
9578	6166	12050
9579	6166	12051
9580	6166	12053
9581	6166	12054
9582	6166	12055
9583	6166	12056
9584	6166	12057
9585	6166	12059
9586	6166	12060
9587	6166	12061
9588	6166	12063
9589	6166	12064
9590	6166	12065
9591	6166	12076
9592	6166	12077
9593	6166	12078
9594	6166	12080
9595	6166	12082
9596	6166	12083
9597	6166	12084
9598	6166	12086
9599	6166	12087
9600	6166	12089
9601	6166	12091
9602	6166	12092
9603	6166	12093
9605	6166	12097
9606	6166	12098
9607	6166	12100
9608	6166	12103
9609	6166	12104
9610	6166	12105
9611	6166	12106
9612	6166	12107
9613	6166	12108
9614	6166	12109
9615	6166	12110
9616	6166	12111
9617	6166	12112
9618	6166	12113
9619	6166	12114
9620	6166	12115
9621	6166	12117
9622	6166	12118
9623	6166	12120
9624	6166	12121
9625	6166	12122
9626	6166	12123
9627	6166	12124
9628	6166	12128
9629	6166	12129
9630	6166	12130
9631	6166	12131
9632	6166	12132
9633	6166	12151
9634	6166	12153
9635	6166	12154
9636	6166	12159
9637	6166	12160
9638	6166	12162
9639	6166	12163
9640	6166	12168
9641	6166	12169
9642	6166	12171
9643	6166	12173
9644	6166	12174
9645	6166	12192
9646	6166	12193
9649	6166	12196
9650	6166	12197
9651	6166	12198
9653	6166	12200
9654	6166	12201
9656	6166	12210
9657	6166	12211
9658	6166	12212
9659	6166	12213
9660	6166	12215
9661	6166	12216
9662	6166	12222
9665	6166	12227
9666	6166	12228
9667	6166	12234
9668	6166	12248
9669	6166	12249
9670	6166	12250
9671	6166	12252
9672	6166	12254
9673	6166	12255
9674	6166	12256
9675	6166	12257
9676	6166	12259
9677	6166	12260
9678	6166	12262
9679	6166	12263
9680	6166	12265
9681	6166	12267
9682	6166	12268
9683	6166	12269
9684	6166	12271
9685	6166	12273
9686	6166	12274
9687	6166	12275
9688	6166	12276
9689	6166	12278
9690	6166	12279
9691	6166	12280
9692	6166	12281
9693	6166	12282
9694	6166	12283
9695	6166	12288
9696	6166	12289
9697	6166	12290
9698	6166	12292
9699	6166	12293
9700	6166	12294
9701	6166	12295
9702	6166	12296
9704	6166	12298
9705	6166	12299
9706	6166	12300
9707	6166	12301
9708	6166	12302
9709	6166	12303
9710	6166	12304
9711	6166	12305
9712	6166	12306
9713	6166	12307
9714	6166	12308
9715	6166	12309
9716	6166	12310
9717	6166	12311
9718	6166	12312
9719	6166	12314
9720	6166	12315
9722	6166	12317
9723	6166	12318
9724	6166	12319
9725	6166	12320
9726	6166	12321
9727	6166	12322
9728	6166	12323
9729	6166	12324
9730	6166	12325
9731	6166	12326
9732	6166	12327
9733	6166	12342
9734	6166	12343
9735	6166	12344
9736	6166	12345
9737	6166	12346
9738	6166	12347
9739	6166	12348
9740	6166	12349
9741	6166	12352
9742	6166	12353
9743	6166	12355
9744	6166	12356
9745	6166	12357
9746	6166	12358
9747	6166	12359
9748	6166	12361
9749	6166	12645
9751	6166	12660
9752	6166	12661
9753	6166	12667
9754	6166	12668
9755	6166	12669
9756	6166	12670
9757	6166	12671
9758	6166	12672
9759	6166	12673
9760	6166	12674
9761	6166	12675
9762	6166	12676
9763	6166	12677
9765	6166	12679
9766	6166	12680
9767	6166	12681
9768	6166	12682
9770	6166	12684
9772	6166	12686
9776	6166	12690
9777	6166	12691
9778	6166	12692
9779	6166	12693
9780	6166	12694
9781	6166	12695
9782	6166	12696
9784	6166	12698
9785	6166	12699
9786	6166	12700
9787	6166	12701
9788	6166	12703
9789	6166	12705
9792	6166	12708
9794	6166	12710
9795	6166	12711
9796	6166	12720
9797	6166	12721
9798	6166	12723
9799	6166	12724
9800	6166	12725
9801	6166	12726
9802	6166	12727
9803	6166	12728
9804	6166	12729
9805	6166	12730
9806	6166	12731
9807	6166	12732
9808	6166	12733
9809	6166	12734
9810	6166	12735
9811	6166	12737
9812	6166	12821
9813	6166	12822
9814	6166	12823
9816	6166	12825
9818	6166	12827
9819	6166	12828
9820	6166	12829
9821	6166	12831
9822	6166	12833
9824	6166	12835
9825	6166	12840
9826	6166	12841
9827	6166	12842
9828	6166	12843
9829	6166	12844
9830	6166	12845
9831	6166	12846
9832	6166	12847
9833	6166	12848
9834	6166	12849
9835	6166	12850
9836	6166	12852
9837	6166	12855
9838	6166	12860
9842	6166	12894
9843	6166	12895
9844	6166	12896
9846	6166	12902
9847	6166	12903
9849	6166	12916
9850	6166	13129
9851	6166	13130
9852	6166	13131
9853	6166	13132
9854	6166	13133
9855	6166	13134
9856	6166	13135
9857	6166	13136
9858	6166	13137
9859	6166	13157
9860	6166	13159
9861	6166	14096
9862	6166	14097
9863	6166	14098
9864	6166	14099
9865	6166	14100
9871	6166	14151
9872	6166	14153
9873	6166	14154
9878	6166	14256
9880	6166	14409
9881	6166	14415
9882	6166	14427
9883	6166	14428
9884	6166	14435
9885	6166	14437
9886	6166	14438
9887	6166	14439
9888	6166	14441
9889	6166	14442
9890	6166	14443
9891	6166	14476
9892	6166	14477
9894	6166	14482
9895	6166	14483
