lawsectioneventid	lawsection	event	lawsectioneventrelationship	lawsectioneventnotes
58310	28911	53705	indirect	
58311	28911	53777	indirect	
58312	28911	54692	indirect	
58313	28911	53787	indirect	
58314	28911	21973	indirect	
58315	28911	21963	indirect	
58316	28911	21981	indirect	
58317	28911	21982	indirect	
58318	28911	21985	indirect	
58319	28911	21986	indirect	
58320	28911	2007	indirect	
58321	28911	2889	indirect	
58322	28911	9442	indirect	
58323	28911	2129	indirect	
58324	28911	2018	indirect	
58325	28911	50670	indirect	
58326	28911	50784	indirect	
58327	28911	50772	indirect	
58328	28911	50771	indirect	
58329	28911	15030	indirect	
58330	28911	2152	indirect	
58331	28911	3071	indirect	
58332	28911	2095	indirect	
58333	28911	2067	indirect	
58334	28911	3185	indirect	
58335	28911	15091	indirect	
58336	28911	2396	indirect	
58337	28911	15141	indirect	
58338	28911	15175	indirect	
58339	28911	15177	indirect	
58340	28911	3080	indirect	
58341	28911	2326	indirect	
58342	28911	2288	indirect	
58343	28911	2590	indirect	
58344	28911	2086	indirect	
58345	28911	3724	indirect	
58346	28911	1601	indirect	
58347	28911	1720	indirect	
58348	28911	1765	indirect	
58349	28911	1655	indirect	
58350	28911	1920	indirect	
58351	28911	2117	indirect	
58352	28911	1972	indirect	
58353	28911	1919	indirect	
58354	28911	1922	indirect	
58355	28911	1711	indirect	
58356	28911	2002	indirect	
58357	28911	1990	indirect	
58358	28911	2202	indirect	
58359	28911	2135	indirect	
58360	28911	1692	indirect	
58361	28911	1864	indirect	
58362	28911	2422	indirect	
58363	28911	2713	indirect	
58364	28911	2456	indirect	
58365	28911	2515	indirect	
58366	28911	2949	indirect	
58367	28911	1921	indirect	
58368	28911	2683	indirect	
58369	28911	2736	indirect	
58370	28911	2785	indirect	
58371	28911	2851	indirect	
58372	28911	2875	indirect	
58373	28911	3091	indirect	
58374	28911	3184	indirect	
58375	28911	3178	indirect	
58376	28911	3267	indirect	
58377	28911	3117	indirect	
58378	28911	3381	indirect	
58379	28911	3380	indirect	
58380	28911	3457	indirect	
58381	28911	3591	indirect	
58382	28911	3670	indirect	
58383	28911	3596	indirect	
58384	28911	3674	indirect	
58385	28911	3687	indirect	
58386	28911	2295	indirect	
58387	28911	3819	indirect	
58388	28911	9596	indirect	
58389	28911	4065	indirect	
58390	28911	4144	indirect	
58391	28911	4325	indirect	
58392	28911	2349	indirect	
58393	28911	4393	indirect	
58394	28911	4428	indirect	
58396	28911	2365	indirect	
58397	28911	3240	indirect	
58398	28911	14885	indirect	
58399	28911	14886	indirect	
58400	28911	3087	indirect	
58401	28911	9050	indirect	
58402	28911	15362	indirect	
58403	28911	2776	indirect	
58404	28911	1970	indirect	
58405	28911	1729	indirect	
58406	28911	1735	indirect	
58407	28911	54540	indirect	
58408	28911	9646	indirect	
58409	28911	11718	indirect	
58410	28911	2884	indirect	
58411	28911	2571	indirect	
58412	28911	2586	indirect	
58413	28911	2655	indirect	
58414	28911	11702	indirect	
58415	28911	14429	indirect	
58416	28911	14443	indirect	
58417	28911	14510	indirect	
58418	28911	2074	indirect	
58419	28911	15358	indirect	
58420	28911	15333	indirect	
58421	28911	9615	indirect	
58422	28911	15652	indirect	
58423	28911	1806	indirect	
58424	28911	15653	indirect	
58425	28911	3321	indirect	
58426	28911	15713	indirect	
58427	28911	15714	indirect	
58428	28911	9618	indirect	
58429	28911	2161	indirect	
58430	28911	11680	indirect	
58431	28911	2652	indirect	
58432	28911	2167	indirect	
58433	28911	3177	indirect	
58434	28911	2728	indirect	
58435	28911	15023	indirect	
58436	28911	15099	indirect	
58437	28911	50675	indirect	
58438	28911	50729	indirect	
58439	28911	50711	indirect	
58440	28911	50715	indirect	
58441	28911	50733	indirect	
58442	28911	50736	indirect	
58443	28911	50786	indirect	
58444	28911	50777	indirect	
58445	28911	50776	indirect	
58446	28911	50824	indirect	
58447	28911	50822	indirect	
58448	28912	2890	indirect	
58449	28912	9035	indirect	
58450	28912	22433	indirect	
58451	28912	22435	indirect	
58452	28912	9113	indirect	
58453	28912	9217	indirect	
58454	28912	8939	indirect	
58455	28912	8914	indirect	
58456	28912	9299	indirect	
58457	28912	22442	indirect	
58458	28912	8986	indirect	
58459	28912	9691	indirect	
58460	28912	9592	indirect	
58461	28912	22489	indirect	
58462	28912	15289	indirect	
58463	28912	22490	indirect	
58464	28912	9264	indirect	
58465	28912	15087	indirect	
58466	28912	2936	indirect	
58467	28912	3339	indirect	
58468	28912	14477	indirect	
58469	28912	11692	indirect	
58470	28912	9415	indirect	
58471	28912	2528	indirect	
58472	28912	2925	indirect	
58473	28912	15025	indirect	
58474	28912	9510	indirect	
58475	28912	9583	indirect	
58476	28912	9527	indirect	
58477	28912	50966	indirect	
58478	28912	9589	indirect	
58479	28912	9611	indirect	
58480	28912	2710	indirect	
58481	28912	22446	indirect	
58482	28912	9103	indirect	
58483	28912	9525	indirect	
58484	28912	9199	indirect	
58485	28912	1754	indirect	
58486	28912	9690	indirect	
58487	28912	8989	indirect	
58488	28912	9203	indirect	
58489	28912	9226	indirect	
58490	28912	9559	indirect	
58491	28912	8909	indirect	
58492	28912	9519	indirect	
58493	28912	2584	indirect	
58494	28912	9460	indirect	
58495	28912	22552	indirect	
58496	28912	8817	indirect	
58497	28912	2822	indirect	
58498	28912	2483	indirect	
58499	28912	1704	indirect	
58500	28912	2109	indirect	
58501	28912	3299	indirect	
58502	28912	2482	indirect	
58503	28912	2372	indirect	
58504	28912	3578	indirect	
58505	28912	2792	indirect	
58506	28912	2908	indirect	
58507	28912	2811	indirect	
58508	28912	2070	indirect	
58509	28912	15360	indirect	
58510	28912	2502	indirect	
58511	28912	2754	indirect	
58512	28912	2758	indirect	
58513	28912	1876	indirect	
58514	28912	2244	indirect	
58515	28912	2702	indirect	
58516	28912	2803	indirect	
58517	28912	2955	indirect	
58518	28912	2999	indirect	
58519	28912	9504	indirect	
58520	28912	2595	indirect	
58521	28912	53206	indirect	
58522	28912	53199	indirect	
58523	28912	53216	indirect	
58524	28912	53201	indirect	
58525	28912	53217	indirect	
58526	28912	53220	indirect	
58527	28912	53221	indirect	
58528	28912	9657	indirect	
58529	28912	9692	indirect	
58530	28912	9566	indirect	
58531	28912	53284	indirect	
58532	28912	53252	indirect	
58533	28912	53262	indirect	
58534	28912	53619	indirect	
58535	28912	53620	indirect	
58536	28912	53263	indirect	
58537	28912	53456	indirect	
58538	28912	53460	indirect	
58539	28912	53792	indirect	
58540	28912	53600	indirect	
58541	28912	53466	indirect	
58542	28912	53631	indirect	
58543	28912	53644	indirect	
58544	28912	53706	indirect	
58545	28912	53707	indirect	
58546	28912	54150	indirect	
58547	28912	54207	indirect	
58548	28912	54265	indirect	
58549	28912	53618	indirect	
58550	28912	54151	indirect	
58551	28912	54208	indirect	
58552	28912	53648	indirect	
58553	28912	53710	indirect	
58554	28912	54196	indirect	
58555	28912	54267	indirect	
58556	28912	54306	indirect	
58557	28912	53712	indirect	
58558	28912	53713	indirect	
58559	28912	53715	indirect	
58560	28912	53716	indirect	
58561	28912	53717	indirect	
58562	28912	54159	indirect	
58563	28912	54309	indirect	
58564	28912	53714	indirect	
58565	28912	54421	indirect	
58566	28912	54533	indirect	
58567	28912	54161	indirect	
58568	28912	54224	indirect	
58569	28912	54276	indirect	
58570	28912	54543	indirect	
58571	28912	54577	indirect	
58572	28912	54617	indirect	
58573	28912	54693	indirect	
58574	28912	54484	indirect	
58575	28912	54539	indirect	
58576	28912	54544	indirect	
58577	28912	54578	indirect	
58578	28912	54640	indirect	
58579	28912	53788	indirect	
58580	28912	54619	indirect	
58581	28912	54645	indirect	
58582	28912	54711	indirect	
58583	28912	53721	indirect	
58584	28912	54496	indirect	
58585	28912	54546	indirect	
58586	28912	54620	indirect	
58587	28912	54701	indirect	
58588	28912	54497	indirect	
58589	28912	54581	indirect	
58590	28912	54583	indirect	
58591	28912	54231	indirect	
58592	28912	54490	indirect	
58593	28912	54650	indirect	
58594	28912	54232	indirect	
58595	28912	15021	indirect	
58596	28912	15363	indirect	
58597	28912	15019	indirect	
58598	28912	15024	indirect	
58599	28912	54586	indirect	
58600	28912	54234	indirect	
58601	28912	54505	indirect	
58602	28912	22554	indirect	
58603	28912	54575	indirect	
58604	28912	22458	indirect	
58605	28912	53734	indirect	
58606	28912	22437	indirect	
58607	28912	53735	indirect	
58608	28912	9508	indirect	
58609	28912	22551	indirect	
58610	28912	22445	indirect	
58611	28912	54511	indirect	
58612	28912	54512	indirect	
58613	28912	9656	indirect	
58614	28912	54514	indirect	
58615	28912	54515	indirect	
58616	28912	54516	indirect	
58617	28912	54517	indirect	
