sourcecitationeventid	sourcecitation	event	sourcecitationeventinclude
361	239	4258	f
362	240	4494	f
363	1068	2614	f
364	241	4120	f
365	242	3917	f
366	242	3891	f
367	243	4337	f
368	244	4496	f
369	245	3859	f
370	246	4496	f
371	248	3019	f
372	248	4103	f
373	249	3019	f
374	250	4103	f
375	251	4045	f
376	252	4029	f
377	252	3984	f
378	252	4380	f
379	253	3746	f
380	253	3337	f
381	253	3298	f
382	254	4048	f
383	255	3940	f
384	256	4066	f
385	257	3952	f
386	258	4259	f
387	259	4444	f
388	260	3857	f
389	261	3952	f
390	262	4618	f
391	263	4092	f
392	264	8542	t
393	265	3857	f
394	265	4259	f
395	266	4106	f
396	266	9673	f
397	267	4106	f
398	267	4048	f
399	267	4029	f
400	267	3984	f
401	267	4380	f
402	267	9673	f
403	268	4618	f
404	268	4259	f
405	269	4444	f
406	270	4066	f
407	271	3494	f
408	271	4196	f
409	272	4007	f
410	273	4278	f
411	274	4196	f
412	275	4055	f
413	276	4278	f
414	277	4149	f
415	278	4164	f
416	279	4157	f
417	280	4157	f
418	1127	2553	f
419	281	4104	f
420	282	3981	f
421	283	4164	f
422	284	4278	f
423	287	4055	f
424	288	4020	f
425	289	4409	f
426	290	3919	f
427	291	4171	f
428	291	3918	f
429	291	4517	f
430	292	4171	f
431	293	4240	f
432	294	3919	f
433	294	3918	f
434	294	4517	f
435	295	3549	f
436	295	3333	f
437	295	3251	f
438	296	3720	f
439	297	3375	f
440	297	3826	f
441	298	3720	f
442	298	3308	f
443	299	3365	f
444	300	3451	f
445	301	3790	f
446	301	3731	f
447	302	3350	f
448	303	3324	f
449	304	3733	f
450	305	3739	f
451	305	3367	f
452	305	3832	f
454	306	3356	f
455	307	3658	f
456	308	3305	f
457	309	3537	f
459	309	3388	f
460	310	3537	f
461	311	3760	f
462	311	3493	f
463	312	3303	f
464	313	3702	f
465	313	3493	f
466	314	3350	f
468	315	3388	f
470	316	3561	f
471	317	3731	f
473	317	3561	f
474	318	3313	f
475	319	3582	f
477	319	3388	f
478	320	3702	f
479	320	3493	f
480	321	3802	f
481	322	3773	f
482	323	3639	f
483	324	3664	f
484	325	3790	f
485	325	3760	f
486	325	3498	f
487	326	3303	f
488	327	3305	f
489	328	5825	f
490	329	3308	f
491	330	3491	f
492	331	3739	f
493	331	3582	f
494	331	3491	f
495	331	3367	f
496	331	3832	f
497	332	3498	f
498	333	3549	f
499	333	3333	f
500	333	3320	f
501	333	3251	f
502	334	3320	f
503	335	3324	f
504	336	3658	f
505	337	3582	f
506	338	3773	f
507	339	3773	f
508	340	3368	f
509	341	3694	f
510	342	3482	f
511	343	3318	f
512	344	3506	f
513	344	3332	f
514	345	3694	f
515	347	3364	f
516	348	3821	f
517	349	3594	f
518	350	3814	f
519	351	3069	f
520	352	3232	f
521	353	3232	f
522	354	3330	f
523	355	3478	f
524	355	3319	f
525	356	3242	f
526	357	3242	f
527	358	3436	f
528	359	3214	f
529	359	3377	f
530	360	3214	f
531	360	3377	f
532	360	3330	f
533	361	3396	f
534	362	3396	f
535	363	3284	f
536	364	3190	f
537	364	3803	f
538	365	3387	f
539	366	3661	f
540	366	3660	f
541	366	3246	f
542	367	3690	f
543	368	3635	f
544	369	3635	f
545	370	3661	f
546	370	3660	f
547	370	3246	f
548	371	3207	f
549	372	3690	f
550	373	3387	f
551	374	3635	f
552	375	763	f
553	376	3750	f
554	376	3603	f
555	377	3651	f
556	378	3843	f
557	380	3813	f
558	381	3486	f
559	382	3552	f
560	382	3456	f
561	383	3456	f
562	384	3417	f
563	385	3850	f
564	386	3383	f
565	387	3417	f
566	388	3418	f
567	389	3665	f
568	389	3546	f
569	390	3777	f
570	390	3449	f
571	390	3868	f
572	390	3813	f
573	391	3395	f
574	391	3777	f
575	392	3456	f
576	393	3459	f
577	394	3459	f
578	395	3792	f
579	396	3688	f
580	397	3552	f
581	398	3418	f
582	398	3417	f
583	398	3868	f
584	399	7853	f
585	399	8198	f
586	399	8672	f
587	399	8652	f
588	399	8594	f
589	399	8574	f
590	399	9320	f
591	400	3400	f
592	401	3552	f
593	401	3486	f
594	402	3665	f
595	402	3546	f
596	402	3395	f
597	403	3850	f
598	404	3395	f
599	405	3688	f
600	406	3704	f
601	407	3329	f
602	408	3695	f
603	409	3287	f
604	410	3485	f
605	411	3258	f
606	412	3258	f
607	413	3564	f
608	413	3485	f
609	414	3564	f
610	415	3911	f
611	416	3186	f
612	417	3291	f
613	418	3631	f
614	419	3911	f
615	420	3614	f
616	421	3461	f
617	422	3585	f
618	423	3585	f
619	424	3571	f
620	426	3409	f
621	427	3409	f
622	428	3697	f
623	428	3414	f
624	429	3831	f
625	430	3448	f
626	431	3414	f
627	432	3890	f
628	433	3831	f
629	434	3780	f
630	435	3707	f
631	436	3334	f
632	437	3780	f
633	438	3884	f
634	439	3884	f
635	440	3424	f
636	441	3590	f
637	442	3282	f
638	443	3536	f
639	444	3590	f
640	444	3536	f
641	445	3424	f
642	446	3424	f
643	447	3086	f
644	447	3056	f
645	447	3827	f
646	448	3827	f
647	449	7332	f
648	449	7586	f
649	449	8343	f
650	7704	8837	f
651	450	3210	f
652	450	3239	f
653	451	3519	f
654	451	3478	f
655	451	3319	f
656	452	3056	f
658	453	3519	f
659	454	3438	f
660	455	3348	f
661	456	3783	f
662	457	3539	f
663	457	3454	f
664	458	3539	f
665	458	3519	f
666	458	3454	f
667	459	3783	f
668	459	3468	f
669	460	3783	f
670	461	3468	f
671	462	3438	f
672	462	3400	f
673	463	3438	f
674	464	3345	f
675	465	3345	f
676	466	2987	f
677	467	3900	f
678	468	3446	f
679	469	3446	f
680	470	3276	f
681	471	3458	f
682	472	3900	f
683	473	394	f
684	474	808	f
685	475	3198	f
686	476	3624	f
687	477	3630	f
688	478	3518	f
689	479	3518	f
690	480	3630	f
691	481	3474	f
692	482	3629	f
693	482	3579	f
694	483	3558	f
695	484	3243	f
696	485	3833	f
697	486	3557	f
698	486	3885	f
699	487	3195	f
700	488	3885	f
701	489	3889	f
702	490	3557	f
703	490	3889	f
704	1128	2553	f
705	491	3557	f
706	492	3567	f
707	493	3412	f
708	494	2379	f
709	495	3608	f
710	496	3608	f
711	497	2971	f
712	498	3366	f
713	499	3250	f
714	500	3567	f
715	500	3250	f
716	501	3567	f
717	502	3737	f
718	503	3425	f
719	504	3808	f
720	505	3193	f
721	505	3784	f
722	505	3737	f
723	506	3193	f
724	506	3784	f
725	507	3472	f
726	508	3602	f
727	509	3700	f
728	510	3602	f
729	511	3427	f
730	512	3450	f
731	515	3862	f
732	516	3140	f
733	516	3255	f
734	516	3906	f
735	517	3463	f
736	518	3650	f
737	519	3755	f
738	520	3775	f
739	521	3255	f
740	522	3607	f
741	523	3140	f
742	523	3906	f
743	524	3390	f
744	525	3828	f
745	526	3828	f
746	527	3469	f
747	527	3797	f
748	528	3477	f
749	529	3716	f
750	529	3904	f
751	530	3341	f
752	531	3678	f
753	532	3678	f
754	533	3615	f
755	533	3892	f
756	534	3892	f
757	535	3628	f
758	536	3798	f
759	537	3469	f
760	537	3797	f
761	538	3477	f
762	539	3763	f
763	539	3576	f
764	540	3763	f
765	541	3576	f
766	542	3179	f
767	543	3662	f
768	544	3662	f
769	544	3247	f
770	545	3669	f
771	546	3669	f
772	547	3254	f
773	548	3254	f
774	549	2719	f
775	550	3675	f
776	551	3471	f
777	552	3471	f
778	553	3464	f
779	554	3858	f
780	555	3309	f
781	556	3164	f
782	557	3858	f
783	558	3593	f
784	559	3873	f
785	560	3464	f
786	561	3873	f
787	562	3858	f
788	563	3862	f
789	564	3164	f
790	565	3770	f
791	566	3735	f
792	567	3441	f
793	568	3779	f
794	1129	2553	f
795	569	3859	f
796	570	3019	f
797	571	3896	f
798	572	3754	f
799	573	3019	f
800	574	3896	f
801	575	3754	f
802	576	3723	f
803	577	3587	f
804	578	3467	f
805	579	3746	f
806	579	3337	f
807	579	3298	f
808	580	5926	f
809	580	6502	f
810	580	7086	f
811	580	7079	f
812	580	7073	f
813	580	6995	f
814	580	6990	f
815	580	6989	f
816	580	6922	f
817	580	7447	f
818	580	7364	f
819	580	7273	f
820	580	7272	f
821	580	7271	f
822	580	7180	f
823	580	7161	f
824	580	7160	f
825	580	7154	f
826	580	8043	f
827	580	7983	f
828	580	7845	f
829	580	7809	f
830	580	7808	f
831	580	7807	f
832	580	7609	f
833	580	7608	f
834	580	7523	f
835	580	8469	f
836	580	8393	f
837	580	8392	f
838	580	8242	f
839	580	8177	f
840	580	8123	f
841	580	8098	f
842	580	8092	f
843	580	8072	f
844	580	8656	f
845	580	8570	f
846	580	8541	f
847	580	8529	f
848	580	8510	f
849	580	9123	f
850	581	3664	f
851	582	7113	f
852	582	6947	f
853	582	6946	f
854	582	6848	f
