affectedgovernmentpartid	governmentfrom	affectedtypefrom	governmentto	affectedtypeto	governmentformto
1	1	11	40	7	\N
27	9	2	32	2	\N
28	9	2	40	2	\N
30	9	14	22	14	\N
31	9	14	32	14	\N
32	9	14	40	14	\N
62	22	2	40	2	\N
63	22	14	9	14	\N
64	22	14	40	14	\N
112	32	2	9	2	\N
113	32	2	34	2	\N
114	32	12	32	12	\N
115	32	14	9	14	\N
116	32	14	34	14	\N
117	32	14	40	14	\N
118	32	18	32	18	\N
121	34	2	32	2	\N
122	34	2	40	2	\N
125	34	14	32	14	\N
126	34	14	40	14	\N
132	37	2	40	2	\N
142	40	2	9	2	\N
143	40	2	22	2	\N
144	40	2	34	2	\N
145	40	2	37	2	\N
146	40	2	50	2	\N
147	40	12	40	12	\N
148	40	14	9	14	\N
149	40	14	22	14	\N
150	40	14	32	14	\N
151	40	14	34	14	\N
152	40	14	48	14	\N
153	40	18	40	18	\N
175	48	14	40	14	\N
178	48	18	48	18	\N
1071	359	2	1821	2	\N
1072	359	2	1822	2	\N
1073	359	2	1833	2	\N
1078	359	14	1821	14	\N
1079	359	14	1822	14	\N
1080	359	14	1833	14	\N
1082	360	2	1824	2	\N
1083	360	2	1833	2	\N
1084	360	2	2301	2	\N
1085	360	2	2309	2	\N
1087	360	14	1242	14	\N
1088	360	14	1833	14	\N
1089	360	14	2301	14	\N
1091	361	2	1821	2	\N
1095	361	14	1821	14	\N
2713	1236	2	2291	2	\N
2714	1236	2	2315	2	\N
2715	1236	2	2342	2	\N
2725	1238	2	2353	2	\N
2735	1241	2	2287	2	\N
2736	1241	2	2353	2	\N
2739	1242	2	2301	2	\N
2740	1242	2	2322	2	\N
2742	1242	14	360	14	\N
2743	1242	14	2301	14	\N
2754	1245	2	2287	2	\N
2755	1245	2	2314	2	\N
2761	1246	2	2312	2	\N
2762	1246	2	2342	2	\N
2765	1247	2	2322	2	\N
2766	1247	2	2353	2	\N
2797	1256	2	2314	2	\N
2798	1256	2	2315	2	\N
4055	1817	11	1819	7	\N
4056	1817	12	1817	12	\N
4057	1817	14	1819	14	\N
4058	1817	18	1817	18	\N
4059	1818	2	1832	2	\N
4060	1818	2	1901	2	\N
4061	1818	2	1930	2	\N
4062	1818	11	1825	4	\N
4063	1818	11	1832	4	\N
4064	1818	11	1906	7	\N
4065	1818	14	1894	14	\N
4066	1818	14	1901	14	\N
4067	1818	14	1913	14	\N
4068	1818	18	1818	18	\N
4069	1819	2	1824	2	\N
4070	1819	11	1824	4	\N
4071	1819	11	1826	4	\N
4072	1819	11	1827	4	\N
4073	1819	11	1831	7	\N
4074	1819	14	1817	14	\N
4075	1819	14	1824	14	\N
4076	1819	14	1831	14	\N
4077	1819	18	1819	18	\N
4078	1820	11	1819	7	\N
4079	1820	11	1824	7	\N
4080	1820	14	1817	14	\N
4081	1820	18	1820	18	\N
4082	1821	2	359	2	\N
4083	1821	2	361	2	\N
4084	1821	2	1822	2	\N
4085	1821	11	1822	7	\N
4086	1821	11	1824	7	\N
4087	1821	12	1821	12	\N
4088	1821	14	359	14	\N
4089	1821	14	361	14	\N
4090	1821	14	1822	14	\N
4091	1821	14	1824	14	\N
4092	1821	14	1833	14	\N
4094	1821	18	1821	18	\N
4095	1822	2	359	2	\N
4096	1822	2	1821	2	\N
4097	1822	2	1824	2	\N
4098	1822	11	1821	7	\N
4099	1822	11	1824	7	\N
4100	1822	11	1833	7	\N
4101	1822	14	359	14	\N
4102	1822	14	1821	14	\N
4103	1822	14	1824	14	\N
4104	1822	14	1833	14	\N
4105	1822	18	1822	18	\N
4106	1823	2	1834	2	\N
4107	1823	2	1836	2	\N
4108	1823	11	1818	7	\N
4109	1823	11	1830	4	\N
4110	1823	11	1832	4	\N
4111	1823	11	1834	7	\N
4112	1823	11	1836	4	\N
4113	1823	11	1836	7	\N
4114	1823	14	1823	14	\N
4115	1823	14	1828	14	\N
4116	1823	14	1830	14	\N
4117	1823	14	1836	14	\N
4118	1823	14	1913	14	\N
4119	1823	18	1823	18	\N
4120	1824	2	360	2	\N
4121	1824	2	1819	2	\N
4122	1824	2	1822	2	\N
4123	1824	2	1833	2	\N
4124	1824	11	1817	4	\N
4125	1824	11	1820	4	\N
4126	1824	11	1820	7	\N
4127	1824	11	1822	7	\N
4128	1824	14	1817	14	\N
4129	1824	14	1819	14	\N
4130	1824	14	1821	14	\N
4131	1824	14	1822	14	\N
4132	1824	14	1833	14	\N
4133	1824	18	1824	18	\N
4134	1825	2	1894	2	\N
4135	1825	2	1901	2	\N
4136	1825	2	1913	2	\N
4137	1825	11	1818	7	\N
4138	1825	12	1825	12	\N
4139	1825	18	1825	18	\N
4140	1826	2	1830	2	\N
4141	1826	2	1834	2	\N
4142	1826	11	1827	4	\N
4143	1826	11	1827	7	\N
4144	1826	11	1830	4	\N
4145	1826	11	1834	7	\N
4146	1826	12	1826	12	\N
4147	1826	18	1826	18	\N
4148	1827	2	1829	2	\N
4149	1827	11	1826	7	\N
4150	1827	18	1827	18	\N
4151	1828	2	1829	2	\N
4152	1828	2	1834	2	\N
4153	1828	2	1913	2	\N
4154	1828	11	1827	4	\N
4155	1828	11	1829	7	\N
4156	1828	11	1834	7	\N
4157	1828	11	1834	13	\N
4158	1828	11	1836	7	\N
4159	1828	12	1828	12	\N
4160	1828	14	1823	14	\N
4161	1828	14	1829	14	\N
4162	1828	14	1834	14	\N
4163	1828	14	1913	14	\N
4164	1828	14	6621	14	\N
4165	1828	18	1828	18	\N
4166	1829	2	1827	2	\N
4167	1829	2	1828	2	\N
4168	1829	2	1911	2	\N
4169	1829	2	1913	2	\N
4170	1829	11	1828	7	\N
4171	1829	11	1831	4	\N
4172	1829	11	1831	7	\N
4173	1829	14	1828	14	\N
4174	1829	14	1831	14	\N
4175	1829	14	1911	14	\N
4176	1829	14	1913	14	\N
4177	1829	14	6621	14	\N
4178	1829	18	1829	18	\N
4179	1830	2	1826	2	\N
4180	1830	2	1834	2	\N
4181	1830	2	1835	2	\N
4182	1830	11	1835	4	\N
4183	1830	14	1823	14	\N
4184	1830	14	1832	14	\N
4185	1830	14	1834	14	\N
4186	1830	18	1830	18	\N
4187	1831	11	1829	7	\N
4188	1831	12	1831	12	\N
4189	1831	14	1819	14	\N
4190	1831	14	1829	14	\N
4191	1831	18	1831	18	\N
4192	1832	2	1818	2	\N
4193	1832	11	1823	7	\N
4194	1832	14	1830	14	\N
4195	1832	18	1832	18	\N
4196	1833	2	359	2	\N
4197	1833	2	360	2	\N
4198	1833	2	1824	2	\N
4199	1833	11	1822	4	\N
4200	1833	11	1822	7	\N
4201	1833	14	359	14	\N
4202	1833	14	360	14	\N
4203	1833	14	1821	14	\N
4204	1833	14	1822	14	\N
4205	1833	14	1824	14	\N
4206	1833	18	1833	18	\N
4207	1834	2	1823	2	\N
4208	1834	2	1826	2	\N
4209	1834	2	1828	2	\N
4210	1834	2	1830	2	\N
4211	1834	11	1826	7	\N
4212	1834	11	1827	4	\N
4213	1834	11	1828	7	\N
4214	1834	11	1836	7	\N
4215	1834	12	1834	12	\N
4216	1834	14	1828	14	\N
4217	1834	14	1830	14	\N
4218	1834	14	1836	14	\N
4219	1834	14	\N	\N	\N
4220	1834	18	1834	18	\N
4221	1835	2	1830	2	\N
4222	1835	11	1837	4	\N
4223	1835	11	1906	7	\N
4224	1835	11	1926	7	\N
4225	1835	18	1835	18	\N
4226	1836	2	1823	2	\N
4227	1836	2	1913	2	\N
4228	1836	11	1823	7	\N
4229	1836	11	1828	7	\N
4230	1836	14	1823	14	\N
4231	1836	14	1834	14	\N
4232	1836	18	1836	18	\N
4233	1837	18	1837	18	\N
4373	1872	2	2328	2	\N
4374	1872	2	2339	2	\N
4382	1874	2	2344	2	\N
4383	1874	2	2350	2	\N
4389	1875	2	2328	2	\N
4390	1875	2	2348	2	\N
4402	1877	2	2311	2	\N
4403	1877	2	2348	2	\N
4406	1878	2	2294	2	\N
4407	1878	2	2345	2	\N
4422	1883	2	2350	2	\N
4472	1894	2	1825	2	\N
4473	1894	14	1818	14	\N
4499	1901	2	1818	2	\N
4500	1901	2	1825	2	\N
4502	1901	14	1818	14	\N
4530	1906	2	2338	2	\N
4534	1906	12	1835	12	\N
4548	1911	2	1829	2	\N
4556	1911	14	1829	14	\N
4568	1913	2	1825	2	\N
4569	1913	2	1828	2	\N
4570	1913	2	1829	2	\N
4571	1913	2	1836	2	\N
4572	1913	14	1818	14	\N
4573	1913	14	1823	14	\N
4574	1913	14	1828	14	\N
4575	1913	14	1829	14	\N
4598	1921	2	2339	2	\N
4599	1921	2	2345	2	\N
4609	1923	2	2338	2	\N
4610	1923	2	2350	2	\N
4612	1924	2	2294	2	\N
4613	1924	2	2344	2	\N
4636	1930	2	1818	2	\N
5012	2089	2	2306	2	\N
5013	2089	2	2311	2	\N
5050	2100	2	2290	2	\N
5051	2100	2	2323	2	\N
5176	2135	2	2323	2	\N
5177	2135	2	2329	2	\N
5268	2163	2	2306	2	\N
5269	2163	2	2329	2	\N
5537	2287	2	1241	2	\N
5538	2287	2	1245	2	\N
5539	2287	2	2307	2	\N
5540	2287	2	2353	2	\N
5541	2287	11	2314	7	\N
5542	2287	12	2287	12	\N
5543	2287	14	2307	14	\N
5544	2287	16	2287	16	76
5545	2287	16	2287	16	77
5546	2287	16	2287	16	78
5547	2287	18	2287	18	\N
5548	2288	2	2349	2	\N
5549	2288	2	2351	2	\N
5550	2288	11	2290	13	82
5551	2288	11	2296	13	82
5552	2288	11	2306	4	82
5553	2288	11	2351	7	\N
5554	2288	12	2288	12	101
5555	2288	12	2288	12	\N
5556	2288	14	2349	14	\N
5557	2288	14	2351	14	\N
5558	2288	16	2288	16	72
5559	2288	16	2288	16	101
5560	2288	18	2288	18	\N
5561	2289	2	2318	2	\N
5562	2289	11	2296	7	\N
5563	2289	11	2302	4	82
5564	2289	12	2289	12	\N
5565	2289	13	\N	\N	\N
5566	2289	16	2289	16	77
5567	2289	16	2289	16	161
5568	2289	18	2289	18	\N
5569	2290	2	2100	2	\N
5570	2290	2	2323	2	\N
5571	2290	2	2349	2	\N
5572	2290	2	3049	2	\N
5573	2290	11	2323	4	82
5574	2290	12	2290	12	\N
5575	2290	13	\N	\N	\N
5576	2290	16	2290	16	75
5577	2290	16	2290	16	76
5578	2290	16	2290	16	77
5579	2290	16	2290	16	126
5580	2290	18	2290	18	\N
5581	2291	2	1236	2	\N
5582	2291	2	2317	2	\N
5583	2291	11	2293	4	82
5584	2291	11	2314	7	\N
5585	2291	11	2315	4	82
5586	2291	11	2317	4	82
5587	2291	11	2335	4	82
5588	2291	11	2342	4	82
5589	2291	11	2342	7	\N
5590	2291	11	2351	4	82
5591	2291	12	2291	12	\N
5592	2291	14	2293	14	\N
5593	2291	14	2297	14	\N
5594	2291	14	2317	14	\N
5595	2291	14	2342	14	\N
5596	2291	16	2291	16	77
5597	2291	16	2291	16	78
5598	2291	16	2291	16	\N
5599	2291	18	2291	18	\N
5600	2292	2	2301	2	\N
5601	2292	2	2324	2	\N
5602	2292	2	2325	2	\N
5603	2292	2	2340	2	\N
5604	2292	11	2324	7	\N
5605	2292	11	2335	4	82
5606	2292	11	2340	4	82
5607	2292	12	2292	12	\N
5608	2292	14	2322	14	\N
5609	2292	14	2335	14	\N
5610	2292	14	2340	14	\N
5611	2292	16	2292	16	74
5612	2292	16	2292	16	75
5613	2292	16	2292	16	103
5614	2292	16	2292	16	\N
5615	2292	18	2292	18	\N
5616	2293	2	2297	2	\N
5617	2293	2	2300	2	\N
5618	2293	12	2293	12	\N
5619	2293	14	2291	14	\N
5620	2293	14	2297	14	\N
5621	2293	14	2300	14	\N
5622	2293	16	2293	16	76
5623	2293	18	2293	18	\N
5624	2294	2	1878	2	\N
5625	2294	2	1924	2	\N
5626	2294	2	2344	2	\N
5627	2294	11	2327	7	\N
5628	2294	12	2294	12	\N
5629	2294	13	\N	\N	\N
5630	2294	16	2294	16	77
5631	2294	16	2294	16	78
5632	2294	18	2294	18	\N
5633	2295	2	2325	2	\N
5634	2295	11	2334	4	82
5635	2295	12	2295	12	\N
5636	2295	12	2325	12	\N
5637	2295	16	2295	16	73
5638	2295	16	2295	16	74
5639	2295	16	2295	16	76
5640	2295	16	2295	16	77
5641	2295	16	2295	16	103
5642	2295	16	2295	16	\N
5643	2295	18	2295	18	\N
5644	2296	2	2323	2	\N
5645	2296	12	2296	12	\N
5646	2296	13	\N	\N	\N
5647	2296	16	2296	16	75
5648	2296	16	2296	16	76
5649	2296	16	2296	16	77
5650	2296	18	2296	18	\N
5651	2297	2	2293	2	\N
5652	2297	2	2303	2	\N
5653	2297	2	2318	2	\N
5654	2297	11	2318	7	\N
5655	2297	12	2297	12	\N
5656	2297	13	\N	\N	\N
5657	2297	14	2293	14	\N
5658	2297	14	2318	14	\N
5659	2297	16	2297	16	75
5660	2297	18	2297	18	\N
5661	2298	2	2310	2	\N
5662	2298	2	2339	2	\N
5663	2298	12	2298	12	\N
5664	2298	16	2298	16	79
5665	2298	18	2298	18	\N
5666	2299	2	2325	2	\N
5667	2299	2	2326	2	\N
5668	2299	2	2331	2	\N
5669	2299	2	2334	2	\N
5670	2299	2	2340	2	\N
5671	2299	11	2331	7	\N
5672	2299	12	2299	12	\N
5673	2299	12	2325	12	\N
5674	2299	14	2326	14	\N
5675	2299	16	2299	16	77
5676	2299	18	2299	18	\N
5677	2300	2	2293	2	\N
5678	2300	2	2304	2	\N
5679	2300	2	2317	2	\N
5680	2300	2	2346	2	\N
5681	2300	11	2303	13	82
5682	2300	11	2304	4	82
5683	2300	11	2327	7	\N
5684	2300	12	2300	12	\N
5685	2300	14	2293	14	\N
5686	2300	14	2304	14	\N
5687	2300	14	2317	14	\N
5688	2300	14	2327	14	\N
5689	2300	14	2330	14	\N
5690	2300	14	2346	14	\N
5691	2300	14	6621	14	\N
5692	2300	16	2300	16	75
5693	2300	16	2300	16	76
5694	2300	16	2300	16	77
5695	2300	16	2300	16	78
5696	2300	16	2300	16	160
5697	2300	18	2300	18	160
5698	2300	18	2300	18	\N
5699	2301	2	360	2	\N
5700	2301	2	1242	2	\N
5701	2301	2	2292	2	\N
5702	2301	2	2322	2	\N
5703	2301	11	2292	4	82
5704	2301	11	2309	4	82
5705	2301	11	2322	4	82
5706	2301	11	6621	4	82
5707	2301	12	2301	12	\N
5708	2301	14	360	14	\N
5709	2301	14	1242	14	\N
5710	2301	14	2337	14	\N
5711	2301	16	2301	16	74
5712	2301	16	2301	16	75
5713	2301	16	2301	16	76
5714	2301	16	2301	16	163
5715	2301	16	2301	16	\N
5716	2301	18	2301	18	\N
5717	2302	2	2313	2	\N
5718	2302	11	2347	7	\N
5719	2302	12	2302	12	\N
5720	2302	16	2302	16	77
5721	2302	16	2302	16	78
5722	2302	18	2302	18	\N
5723	2303	2	2297	2	\N
5724	2303	2	2318	2	\N
5725	2303	2	2319	2	\N
5726	2303	11	2310	4	82
5727	2303	11	2310	7	\N
5728	2303	11	2318	7	\N
5729	2303	11	2319	7	\N
5730	2303	12	2303	12	\N
5731	2303	13	\N	\N	\N
5732	2303	14	2319	14	\N
5733	2303	14	2328	14	\N
5734	2303	16	2303	16	76
5735	2303	16	2303	16	77
5736	2303	16	2303	16	\N
5737	2303	18	2303	18	\N
5738	2304	2	2300	2	\N
5739	2304	2	2339	2	\N
5740	2304	11	2298	4	82
5741	2304	11	2327	7	\N
5742	2304	12	2304	12	\N
5743	2304	14	2300	14	\N
5744	2304	16	2304	16	77
5745	2304	16	2304	16	78
5746	2304	18	2304	18	\N
5747	2305	2	2326	2	\N
5748	2305	11	2326	7	\N
5749	2305	11	2333	4	82
5750	2305	11	2335	7	\N
5751	2305	11	2340	7	\N
5752	2305	12	2305	12	\N
5753	2305	14	2327	14	\N
5754	2305	14	2335	14	\N
5755	2305	16	2305	16	77
5756	2305	16	2305	16	78
5757	2305	18	2305	18	\N
5758	2306	2	2089	2	\N
5759	2306	2	2163	2	\N
5760	2306	2	2329	2	\N
5761	2306	2	2347	2	\N
5762	2306	2	2348	2	\N
5763	2306	11	2311	13	82
5764	2306	11	2329	7	\N
5765	2306	11	2329	13	82
5766	2306	11	2347	7	82
5767	2306	11	2347	13	82
5768	2306	11	54632	4	82
5769	2306	12	2306	12	\N
5770	2306	14	2311	14	\N
5771	2306	14	2347	14	\N
5772	2306	14	2348	14	\N
5773	2306	16	2306	16	77
5774	2306	18	2306	18	\N
5775	2307	2	2287	2	\N
5776	2307	2	2353	2	\N
5777	2307	11	2291	4	82
5778	2307	11	2291	7	\N
5779	2307	11	2314	4	82
5780	2307	11	2314	7	\N
5781	2307	11	2330	4	82
5782	2307	11	2335	4	82
5783	2307	11	2336	4	82
5784	2307	11	2353	7	\N
5785	2307	12	2307	12	\N
5786	2307	14	2287	14	\N
5787	2307	14	2314	14	\N
5788	2307	14	2317	14	\N
5789	2307	14	2353	14	\N
5790	2307	16	2307	16	74
5791	2307	16	2307	16	75
5792	2307	16	2307	16	76
5793	2307	16	2307	16	77
5794	2307	16	2307	16	\N
5795	2307	18	2307	18	\N
5796	2308	2	2324	2	\N
5797	2308	11	2324	4	82
5798	2308	11	2324	7	\N
5799	2308	11	2336	7	\N
5800	2308	12	2308	12	\N
5801	2308	16	2308	16	74
5802	2308	16	2308	16	75
5803	2308	16	2308	16	76
5804	2308	16	2308	16	126
5805	2308	18	2308	18	\N
5806	2309	2	360	2	\N
5807	2309	2	2337	2	\N
5808	2309	11	2337	7	\N
5809	2309	12	2309	12	\N
5810	2309	14	360	14	\N
5811	2309	14	2337	14	\N
5812	2309	16	2309	16	73
5813	2309	16	2309	16	74
5814	2309	16	2309	16	75
5815	2309	16	2309	16	76
5816	2309	16	2309	16	102
5817	2309	18	2309	18	\N
5818	2310	2	2298	2	\N
5819	2310	11	2298	4	82
5820	2310	11	2328	7	\N
5821	2310	12	2310	12	\N
5822	2310	14	2313	14	\N
5823	2310	16	2310	16	77
5824	2310	16	2310	16	78
5825	2310	18	2310	18	\N
5826	2311	2	1877	2	\N
5827	2311	2	2089	2	\N
5828	2311	2	2348	2	\N
5829	2311	11	54632	4	82
5830	2311	12	2311	12	\N
5831	2311	13	\N	\N	\N
5832	2311	14	2306	14	\N
5833	2311	16	2311	16	74
5834	2311	16	2311	16	75
5835	2311	16	2311	16	76
5836	2311	16	2311	16	103
5837	2311	18	2311	18	\N
5838	2312	2	1246	2	\N
5839	2312	2	2351	2	\N
5840	2312	2	3065	2	\N
5841	2312	2	3073	2	\N
5842	2312	12	2312	12	\N
5843	2312	14	2316	14	\N
5844	2312	14	2342	14	\N
5845	2312	14	2349	14	\N
5846	2312	14	2351	14	\N
5847	2312	16	2312	16	75
5848	2312	16	2312	16	76
5849	2312	16	2312	16	\N
5850	2312	18	2312	18	\N
5851	2313	2	2302	2	\N
5852	2313	11	2310	7	\N
5853	2313	11	\N	\N	\N
5854	2313	12	2313	12	\N
5855	2313	13	\N	\N	\N
5856	2313	14	2310	14	\N
5857	2313	16	2313	16	79
5858	2313	18	2313	18	\N
5859	2314	2	1245	2	\N
5860	2314	2	1256	2	\N
5861	2314	11	2287	7	\N
5862	2314	11	2307	7	\N
5863	2314	14	2307	14	\N
5864	2314	14	2336	14	\N
5865	2314	16	2314	16	75
5866	2314	16	2314	16	76
5867	2314	16	2314	16	77
5868	2314	18	2314	18	\N
5869	2315	2	1236	2	\N
5870	2315	2	1256	2	\N
5871	2315	2	2317	2	\N
5872	2315	12	2315	12	\N
5873	2315	16	2315	16	79
5874	2315	18	2315	18	\N
5875	2316	2	2349	2	\N
5876	2316	2	3060	2	\N
5877	2316	2	3065	2	\N
5878	2316	2	3086	2	\N
5879	2316	11	2349	7	\N
5880	2316	12	2316	12	\N
5881	2316	14	2312	14	\N
5882	2316	16	2316	16	77
5883	2316	16	2316	16	78
5884	2316	18	2316	18	\N
5885	2317	2	2291	2	\N
5886	2317	2	2300	2	\N
5887	2317	2	2315	2	\N
5888	2317	2	2320	2	\N
5889	2317	2	2330	2	\N
5890	2317	11	2293	4	82
5891	2317	11	2300	4	82
5892	2317	11	2300	7	\N
5893	2317	11	2315	7	\N
5894	2317	11	2330	7	\N
5895	2317	11	2342	7	\N
5896	2317	12	2317	12	\N
5897	2317	14	2291	14	\N
5898	2317	14	2300	14	\N
5899	2317	14	2307	14	\N
5900	2317	14	2330	14	\N
5901	2317	16	2317	16	77
5902	2317	16	2317	16	78
5903	2317	18	2317	18	\N
5904	2318	2	2289	2	\N
5905	2318	2	2297	2	\N
5906	2318	2	2303	2	\N
5907	2318	11	2297	7	\N
5908	2318	11	2319	13	82
5909	2318	12	2318	12	\N
5910	2318	13	\N	\N	\N
5911	2318	14	2297	14	\N
5912	2318	16	2318	16	77
5913	2318	18	2318	18	\N
5914	2319	2	2303	2	\N
5915	2319	11	2310	4	82
5916	2319	11	2313	13	82
5917	2319	12	2319	12	\N
5918	2319	13	\N	\N	\N
5919	2319	14	2303	14	\N
5920	2319	14	2328	14	\N
5921	2319	14	2347	14	\N
5922	2319	14	2348	14	\N
5923	2319	16	2319	16	77
5924	2319	16	2319	16	156
5925	2319	16	2319	16	\N
5926	2319	18	2319	18	\N
5927	2320	2	2317	2	\N
5928	2320	2	2330	2	\N
5929	2320	12	2320	12	\N
5930	2320	14	2330	14	\N
5931	2320	14	2336	14	\N
5932	2320	14	2346	14	\N
5933	2320	16	2320	16	78
5934	2320	16	2320	16	79
5935	2320	18	2320	18	\N
5936	2321	2	2326	2	\N
5937	2321	2	2344	2	\N
5938	2321	12	2321	12	\N
5939	2321	14	2352	14	\N
5940	2321	16	2321	16	74
5941	2321	16	2321	16	103
5942	2321	16	2321	16	126
5943	2321	16	2321	16	164
5944	2321	18	2321	18	\N
5945	2322	2	1242	2	\N
5946	2322	2	1247	2	\N
5947	2322	2	2301	2	\N
5948	2322	2	2324	2	\N
5949	2322	11	2292	4	82
5950	2322	11	2307	4	82
5951	2322	11	2308	4	82
5952	2322	11	2324	4	82
5953	2322	11	2335	4	82
5954	2322	11	2353	4	82
5955	2322	11	6621	4	82
5956	2322	12	2322	12	\N
5957	2322	14	2292	14	\N
5958	2322	14	2324	14	\N
5959	2322	16	2322	16	73
5960	2322	16	2322	16	74
5961	2322	16	2322	16	75
5962	2322	16	2322	16	103
5963	2322	16	2322	16	\N
5964	2322	18	2322	18	\N
5965	2323	2	2100	2	\N
5966	2323	2	2135	2	\N
5967	2323	2	2290	2	\N
5968	2323	2	2296	2	\N
5969	2323	2	2329	2	\N
5970	2323	12	2323	12	\N
5971	2323	16	2323	16	76
5972	2323	16	2323	16	77
5973	2323	16	2323	16	160
5974	2323	18	2323	18	\N
5975	2324	2	2292	2	\N
5976	2324	2	2308	2	\N
5977	2324	2	2322	2	\N
5978	2324	2	2340	2	\N
5979	2324	12	2324	12	\N
5980	2324	14	2322	14	\N
5981	2324	16	2324	16	76
5982	2324	16	2324	16	77
5983	2324	18	2324	18	\N
5984	2325	2	2292	2	\N
5985	2325	2	2295	2	\N
5986	2325	2	2299	2	\N
5987	2325	2	2332	2	\N
5988	2325	2	2334	2	\N
5989	2325	2	2340	2	\N
5990	2325	12	2295	12	\N
5991	2325	12	2299	12	\N
5992	2325	12	2334	12	\N
5993	2325	12	2340	12	\N
5994	2325	14	2334	14	\N
5995	2325	16	2325	16	74
5996	2325	16	2325	16	75
5997	2325	16	2325	16	76
5998	2325	16	2325	16	103
5999	2325	18	2325	18	\N
6000	2326	2	2299	2	\N
6001	2326	2	2305	2	\N
6002	2326	2	2321	2	\N
6003	2326	2	2340	2	\N
6004	2326	2	2352	2	\N
6005	2326	11	2294	13	82
6006	2326	11	2299	7	\N
6007	2326	11	2321	4	82
6008	2326	11	2327	7	\N
6009	2326	11	2340	7	\N
6010	2326	11	2344	13	82
6011	2326	11	2352	4	82
6012	2326	11	54118	4	82
6013	2326	12	2326	12	\N
6014	2326	14	2299	14	\N
6015	2326	14	2327	14	\N
6016	2326	14	2331	14	\N
6017	2326	14	2334	14	\N
6018	2326	14	2335	14	\N
6019	2326	14	2350	14	\N
6020	2326	16	2326	16	74
6021	2326	16	2326	16	103
6022	2326	18	2326	18	\N
6023	2327	2	2343	2	\N
6024	2327	2	2345	2	\N
6025	2327	11	2294	13	82
6026	2327	11	2300	4	82
6027	2327	11	2300	7	\N
6028	2327	11	2303	7	\N
6029	2327	11	2304	4	82
6030	2327	11	2304	7	\N
6031	2327	11	2326	7	\N
6032	2327	11	2328	7	82
6033	2327	11	2328	13	82
6034	2327	11	2343	4	82
6035	2327	11	2345	13	82
6036	2327	11	2346	7	\N
6037	2327	11	2351	7	\N
6038	2327	12	2327	12	\N
6039	2327	14	2300	14	\N
6040	2327	14	2305	14	\N
6041	2327	14	2326	14	\N
6042	2327	14	2335	14	\N
6043	2327	14	2345	14	\N
6044	2327	14	2346	14	\N
6045	2327	16	2327	16	76
6046	2327	16	2327	16	77
6047	2327	18	2327	18	\N
6048	2328	2	1872	2	\N
6049	2328	2	1875	2	\N
6050	2328	11	2298	4	82
6051	2328	11	2310	4	82
6052	2328	11	2339	13	82
6053	2328	11	2339	13	\N
6054	2328	11	2348	7	\N
6055	2328	12	2328	12	\N
6056	2328	13	\N	\N	\N
6057	2328	14	2303	14	\N
6058	2328	14	2319	14	\N
6059	2328	14	2348	14	\N
6060	2328	16	2328	16	77
6061	2328	16	2328	16	78
6062	2328	16	2328	16	156
6063	2328	16	2328	16	\N
6064	2328	18	2328	18	\N
6065	2329	2	2135	2	\N
6066	2329	2	2163	2	\N
6067	2329	2	2306	2	\N
6068	2329	2	2323	2	\N
6069	2329	11	2306	7	\N
6070	2329	11	2323	4	82
6071	2329	12	2306	12	\N
6072	2329	12	2329	12	\N
6073	2329	13	\N	\N	\N
6074	2329	16	2329	16	76
6075	2329	16	2329	16	77
6076	2329	16	2329	16	160
6077	2329	18	2329	18	\N
6078	2330	2	2317	2	\N
6079	2330	2	2320	2	\N
6080	2330	11	2300	4	82
6081	2330	11	2317	7	\N
6082	2330	11	2320	4	82
6083	2330	11	2346	7	\N
6084	2330	12	2330	12	\N
6085	2330	14	2300	14	\N
6086	2330	14	2317	14	\N
6087	2330	14	2320	14	\N
6088	2330	14	2346	14	\N
6089	2330	16	2330	16	77
6090	2330	16	2330	16	78
6091	2330	18	2330	18	\N
6092	2331	2	2299	2	\N
6093	2331	2	2334	2	\N
6094	2331	2	2338	2	\N
6095	2331	2	2350	2	\N
6096	2331	11	2299	4	82
6097	2331	11	2299	7	\N
6098	2331	14	2326	14	\N
6099	2331	14	2350	14	\N
6100	2331	16	2331	16	75
6101	2331	16	2331	16	76
6102	2331	16	2331	16	77
6103	2331	16	2331	16	78
6104	2331	16	2331	16	160
6105	2331	18	2331	18	\N
6106	2332	2	2325	2	\N
6107	2332	11	2337	7	\N
6108	2332	12	2332	12	\N
6109	2332	14	2337	14	\N
6110	2332	16	2332	16	73
6111	2332	16	2332	16	74
6112	2332	16	2332	16	75
6113	2332	16	2332	16	102
6114	2332	18	2332	18	\N
6115	2333	2	2335	2	\N
6116	2333	11	2305	7	\N
6117	2333	12	2333	12	\N
6118	2333	16	2333	16	79
6119	2333	18	2333	18	\N
6120	2334	2	2299	2	\N
6121	2334	2	2325	2	\N
6122	2334	2	2331	2	\N
6123	2334	2	2334	2	\N
6124	2334	11	2299	4	82
6125	2334	11	2325	4	82
6126	2334	11	2331	4	82
6127	2334	11	2335	4	82
6128	2334	11	2340	4	82
6129	2334	11	2350	4	82
6130	2334	12	2325	12	\N
6131	2334	12	2334	12	\N
6132	2334	14	2325	14	\N
6133	2334	14	2326	14	\N
6134	2334	16	2334	16	75
6135	2334	16	2334	16	76
6136	2334	16	2334	16	103
6137	2334	16	2334	16	126
6138	2334	16	2334	16	\N
6139	2334	18	2334	18	\N
