lawsectionid	law	lawsectionfrom	lawsectionpagefrom	lawsectionto	lawsectionpageto	eventtype	lawsectionamend	lawsectionnewfrom	lawsectionnewto	lawsectionnewlaw	lawsectionsymbol	lawsectionnewsymbol
581	423	21	457	23	458	4	\N			\N	§	
582	423	24	458	26	458	4	\N			\N	§	
583	424	1	560	1	561	4	\N			\N	§	
584	425	1	260	1	261	2	\N			\N	§	
586	427	1	72	7	74	54	\N			\N	§	
587	428	1	6	2	7	9	1758			\N	§	
588	429	1	547	3	549	4	\N			\N	§	
589	430	1	297	9	299	30	\N			\N	§	
590	431	1	375	14	380	30	\N			\N	§	
591	432	1	200	1	200	30	817			\N	§	
592	433	1	74	9	79	30	\N			\N	§	
593	434	2	312	2	313	4	\N			\N	§	
594	434	3	313	4	313	4	\N			\N	§	
595	434	1	312	1	312	4	\N			\N	§	
596	435	1	247	2	248	2	\N			\N	§	
597	437	1	191	6	193	30	\N			\N	§	
598	438	1	234	3	235	2	\N			\N	§	
599	439	1	405	1	405	49	\N			\N	§	
602	441	1	151	1	153	4	996			\N	§	
603	442	1	298	1	298	2	\N			\N	§	
604	443	1	288	11	291	33	\N			\N	§	
605	444	1	778	34	790	30	\N			\N	§	
606	445	1	1259	1	1259	2	\N			\N	§	
607	446	1	512	1	512	68	\N			\N	§	
608	447	5	242	5	243	2	\N			\N	§	
609	448	1	87	1	87	10	\N			\N	§	
610	449	1	249	2	250	31	\N			\N	§	
611	449	10	250	145	263	31	\N			\N	§	
612	449	3	250	3	250	31	\N			\N	§	
613	449	4	250	8	250	31	\N			\N	§	
614	449	9	250	9	250	31	\N			\N	§	
615	450	18	325	19	325	2	\N			\N	ch. 3, art. 1, §	
616	450	1	321	3	322	34	\N			\N	ch. 2, art. 5, §	
617	450	20	325	22	326	2	\N			\N	ch. 3, art. 1, §	
618	450	10	327	11	328	117	\N			\N	ch. 3, art. 2, §	
619	450	9	323	12	324	2	\N			\N	ch. 3, art. 1, §	
620	450	6	315	6	315	117	\N			\N	ch. 1, art. 1, §	
621	450	1	319	5	320	117	\N			\N	ch. 2, art. 3, §	
622	450	23	326	26	326	2	\N			\N	ch. 3, art. 1, §	
623	450	1	317	5	319	9	\N			\N	ch. 2, art. 2, §	
624	450	7	327	9	327	4	\N			\N	ch. 3, art. 2, §	
625	450	1	320	6	321	117	\N			\N	ch. 2, art. 4, §	
626	450	2	326	6	327	4	\N			\N	ch. 3, art. 2, §	
627	450	1	316	11	317	30	\N			\N	ch. 2, art. 1, §	
628	450	13	324	17	325	2	\N			\N	ch. 3, art. 1, §	
629	450	1	322	8	323	2	\N			\N	ch. 3, art. 1, §	
630	450	7	315	8	315	49	\N			\N	ch. 1, art. 1, §	
632	452	1	130	8	134	54	\N			\N	§	
633	453	1	106	9	108	30	\N			\N	§	
634	454	1	85	17	89	33	\N			\N	§	
635	455	1	337	14	343	33	\N			\N	§	
636	456	1	794	1	795	34	\N			\N	§	
637	457	1	105	3	108	4	\N			\N	§	
638	458	1	183	18	190	5	\N			\N	§	
639	459	1	275	2	276	82	\N			\N	§	
640	460	1	1017	1	1017	2	\N			\N	§	
641	461	2	99	2	99	9	\N			\N	§	
642	462	1	128	4	129	31	\N			\N	§	
643	463	1	145	3	146	30	\N			\N	§	
644	464	1	352	1	352	2	\N			\N	§	
645	465	4	281	4	281	2	\N			\N	art. 3, §	
646	465	5	281	5	282	2	\N			\N	art. 3, §	
647	465	1	277	3	279	31	\N			\N	art. 1, §	
648	465	1	280	3	281	2	\N			\N	art. 3, §	
649	466	1	805	4	806	4	\N			\N	§	
650	467	1	126	1	126	30	\N			\N	§	
651	468	1	853	7	854	30	\N			\N	§	
652	469	1	459	1	460	2	690			\N	§	
653	470	7	469	7	469	30	\N			\N	§	
654	471	1	488	1	488	4	\N			\N	§	
655	472	1	997	4	997	30	\N			\N	§	
656	473	1	559	3	560	4	\N			\N	§	
657	474	1	224	1	225	2	\N			\N	§	
658	475	1	857	5	859	30	\N			\N	§	
659	476	1	313	17	319	30	\N			\N	§	
660	477	15	39	15	39	117	464			\N	§	
661	478	1	489	1	489	36	1793			\N	§	
662	479	1	7	12	14	9	\N			\N	§	
663	480	1	21	53	46	9	\N			\N	§	
665	482	1	97	2	1	21	448			\N	§	
666	483	7	531	7	531	34	\N			\N	§	
667	484	1	247	1	248	30	180			\N	§	
668	485	1	114	3	115	4	\N			\N	§	
669	486	1	219	7	222	35	\N			\N	§	
670	487	1 [603]	534	1 [603]	534	117	55			\N	§	
671	488	1	1142	1	1143	2	615			\N	§	
672	489	1	413	2	413	117	639			\N	§	
673	490	9	522	9	522	4	\N			\N	§	
674	491	1	1009	1	1010	2	\N			\N	§	
675	515	6	143	6	143	2	\N			\N	§	
676	516	1	434	6	437	33	\N			\N	§	
677	492	3	315	3	315	2	\N			\N	§	
678	493	1	41	1	42	4	\N			\N	§	
679	494	1	22	1	22	2	\N			\N	§	
680	495	1	52	1	53	34	\N			\N	§	
681	496	1	759	1	760	4	\N			\N	§	
682	497	1	541	16	544	30	\N			\N	§	
684	499	1	223	1	224	91	\N			\N	§	
686	500	36	478	40	479	54	\N			\N	§	
687	501	1	843	17	847	30	\N			\N	§	
688	502	1	160	2	162	21	448			\N	§	
689	503	4	762	5	763	4	\N			\N	§	
690	504	1	349	1	350	2	\N			\N	§	
691	505	1	881	2	884	30	278			\N	§	
692	506	5	170	5	170	2	\N			\N	§	
693	506	6	170	6	170	49	\N			\N	§	
694	507	7	951	7	952	117	464			\N	§	
695	507	12 [art. 8, § 3]	954	12 [art. 8, § 3]	954	16	464			\N	§	
696	507	12 [art. 8, § 2]	954	12 [art. 8, § 2]	954	117	463			\N	§	
697	507	6	951	6	951	117	463			\N	§	
698	508	16	332	16	332	36	\N			\N	§	
699	508	11	331	11	331	34	\N			\N	§	
700	508	1	330	4	331	30	\N			\N	§	
701	509	1	413	2	414	2	\N			\N	§	
702	510	1	1155	1	1155	2	\N			\N	§	
703	511	2	138	2	139	49	\N			\N	§	
704	511	1	138	1	138	4	\N			\N	§	
705	512	1	681	1	681	34	\N			\N	§	
706	513	1	1005	10	1011	30	\N			\N	§	
707	514	30	327	30	327	2	\N			\N	§	
708	514	21	325	26	326	30	\N			\N	§	
709	514	33	327	33	327	49	\N			\N	§	
710	514	1	320	20	325	30	\N			\N	§	
711	514	28	327	29	327	30	\N			\N	§	
712	514	31	327	32	327	52	\N			\N	§	
713	514	27	326	27	327	52	\N			\N	§	
714	574	1	194	1	195	2	\N			\N	§	
715	517	1	603	1	604	54	\N			\N	§	
716	518	1	10	13	21	34	\N			\N	§	
717	519	1	163	40	175	31	\N			\N	§	
718	520	1	219	1	220	2	\N			\N	§	
719	521	1	45	1	46	45	\N			\N	§	
720	522	1	130	5	130	4	\N			\N	§	
721	523	2	373	2	373	30	\N			\N	§	
722	523	3	373	8	374	30	\N			\N	§	
723	523	1	372	1	373	30	\N			\N	§	
724	524	1	610	9	612	30	\N			\N	§	
725	525	1	262	8	265	34	\N			\N	§	
726	526	12	305	12	305	2	\N			\N	§	
727	526	1	302	1	302	32	\N			\N	§	
728	527	1	155	1	155	2	\N			\N	§	
729	528	1	52	4	53	30	\N			\N	§	
730	529	1	87	14	93	33	\N			\N	§	
731	530	1	64	1	65	40	\N			\N	§	
732	531	1	741	1	741	36	\N			\N	§	
733	532	1	404	1	405	95	\N			\N	§	
734	533	1	146	3	147	24	354			\N	§	
735	534	22	608	22	608	2	\N			\N	§	
736	535	1-100	2225	A-200	2348	23	\N			\N	§	
737	536	1	66	2	67	4	\N			\N	§	
738	537	1	968	4	969	54	\N			\N	§	
739	538	5	369	5	369	30	\N			\N	§	
740	539	11	271	11	271	2	\N			\N	§	
741	540	1	91	3	91	5	\N			\N	§	
742	541	2	376	15	381	30	\N			\N	§	
743	542	1 [425]	820	1 [425]	820	2	284			\N	§	
744	543	1	469	8	473	30	\N			\N	§	
745	575	1	400	1	401	2	\N			\N	§	
746	576	15	734	16	735	30	\N			\N	§	
747	577	1	528	2	528	2	\N			\N	§	
748	544	1	524	5	525	4	\N			\N	§	
749	544	24	528	24	528	4	\N			\N	§	
750	545	1 [210]	239	1 [210]	239	24	354			\N	§	
751	546	1	38	3	39	30	\N			\N	§	
752	547	1	347	5	347	4	\N			\N	§	
753	548	4	444	4	444	91	\N			\N	§	
754	549	1	2	1	2	49	\N			\N	§	
755	550	1	1075	2	1076	40	\N			\N	§	
756	551	4	261	5	261	4	\N			\N	§	
757	551	6	261	6	261	4	\N			\N	§	
758	551	2	260	2	260	4	\N			\N	§	
759	551	3	260	3	261	4	\N			\N	§	
760	551	1	260	1	260	4	\N			\N	§	
761	552	1	525	1	526	2	\N			\N	§	
762	553	1	794	8	796	30	\N			\N	§	
763	554	15	121	31	127	30	\N			\N	§	
764	554	1	116	14	121	30	\N			\N	§	
765	555	1	67	10	71	30	\N			\N	§	
766	556	1	66	3	67	54	\N			\N	§	
767	557	1	119	1	119	2	\N			\N	§	
768	558	1	209	12	212	30	\N			\N	§	
769	558	31	219	42	222	30	\N			\N	§	
770	558	13	212	13	213	2	\N			\N	§	
771	558	43	222	55	227	30	\N			\N	§	
772	558	56	227	73	223	30	\N			\N	§	
773	559	1	302	3	303	2	\N			\N	§	
774	560	1	29	12	32	30	\N			\N	§	
775	561	1	464	1	465	2	\N			\N	§	
777	563	2	417	2	417	45	\N			\N	§	
778	563	1	417	1	417	91	\N			\N	§	
779	563	3	417	3	417	45	\N			\N	§	
780	564	1	51	6	52	4	\N			\N	§	
781	565	18	669	18	669	2	\N			\N	§	
782	565	27	670	27	670	2	\N			\N	§	
783	565	7	667	7	667	2	\N			\N	§	
784	566	1	177	5	178	4	\N			\N	§	
785	566	6	178	6	178	4	\N			\N	§	
786	567	1	70	13	75	33	\N			\N	§	
787	568	1	303	17	308	30	\N			\N	§	
788	569	6	58	6	58	4	\N			\N	§	
789	570	8	220	8	221	40	\N			\N	§	
790	570	7	220	7	220	40	\N			\N	§	
791	571	1	377	1	377	2	538			\N	§	
792	572	4	583	25	591	30	\N			\N	§	
793	573	1	472	1	472	45	\N			\N	§	
794	578	1	514	1	514	5	\N			\N	§	
795	579	1	98	2	98	4	\N			\N	§	
796	580	4	457	7	458	36	\N			\N	§	
797	580	1	457	2	457	89	\N			\N	§	
798	581	6	742	6	742	30	\N			\N	§	
799	581	2	742	2	742	2	\N			\N	§	
800	582	1	150	18	154	33	\N			\N	§	
801	583	1	119	18	124	30	\N			\N	§	
802	584	1	210	13	216	30	\N			\N	§	
803	585	1	980	2	993	9	1456			\N	§	
804	586	1	573	14	579	30	\N			\N	§	
805	587	3	227	3	227	91	\N			\N	§	
806	587	1	227	1	227	45	\N			\N	§	
807	587	2	227	2	227	91	\N			\N	§	
808	588	2	225	2	226	2	646			\N	§	
809	588	1	224	1	225	2	648			\N	§	
810	589	6	429	6	429	24	352			\N	§	
811	589	1	421	3	426	24	354			\N	§	
812	590	1	374	2	375	2	\N			\N	§	
813	591	1	54	34	67	32	\N			\N	§	
814	592	1	723	29	730	30	\N			\N	§	
815	593	1	118	2	118	4	\N			\N	§	
816	594	3	750	13	754	43	\N			\N	§	
817	595	1	163	3	164	30	\N			\N	§	
818	595	4	164	4	164	34	\N			\N	§	
819	596	1	132	1	132	4	\N			\N	§	
820	597	1	1073	6	1074	30	\N			\N	§	
822	599	1 [206]	368	1 [206]	368	117	1542			\N	§	
823	599	1 [302]	370	1 [306]	372	36	1541			\N	§	
824	599	1 [202]	365	1 [202]	366	117	1538			\N	§	
825	599	1 [207]	368	1 [207]	369	34	1366			\N	§	
826	599	1 [205]	367	1 [205]	368	117	1540			\N	§	
827	599	1 [307]	372	1 [307]	373	117	499			\N	§	
828	599	1 [203]	366	1 [203]	367	117	1353			\N	§	
829	599	1 [204]	367	1 [204]	367	117	\N	204	204	1100	§	§
830	600	1	281	5	282	2	\N			\N	§	
832	602	1	1157	1	1157	2	\N			\N	§	
833	603	1	93	4	94	36	1793			\N	§	
834	604	1	855	5	856	30	\N			\N	§	
835	605	1	1180	1	1180	34	\N			\N	§	
836	606	10 [1st]	2808	10 [1st]	2808	2	538			\N	§	
837	606	10 [4th] [501]	2809	10 [4th] [505]	2809	2	1675			\N	§	
838	606	10 [3rd] [425]	2808	10 [3rd] [427]	2808	2	284			\N	§	
839	606	10 [4th] [515]	2809	10 [4th] [518]	2809	2	1676			\N	§	
840	606	10 [3rd] [410]	2808	10 [3rd] [413]	2808	2	275			\N	§	
841	606	10 [3rd] [415]	2808	10 [3rd] [420]	2808	2	283			\N	§	
842	606	11	2808	12	2808	2	\N			\N	§	
843	606	1	2803	9	2807	2	\N			\N	§	
844	606	10 [2nd]	2808	10 [2nd]	2808	117	\N			\N	§	
845	607	1	116	1	117	2	\N			\N	§	
846	608	3	412	3	412	4	\N			\N	§	
847	608	1	411	2	412	4	\N			\N	§	
848	608	4	412	4	412	4	\N			\N	§	
849	609	1	502	1	503	2	\N			\N	§	
850	611	1	89	1	89	2	\N			\N	§	
851	612	1	413	4	414	30	\N			\N	§	
852	613	1	1329	1	1329	2	\N			\N	§	
853	614	7	230	7	230	69	\N			\N	§	
854	615	3	151	3	159	23	\N	3101-C	3113-C	793	§	§
855	616	5	570	5	570	49	\N			\N	§	
856	616	4	570	4	570	34	\N			\N	§	
857	617	1	120	10	123	30	\N			\N	§	
858	618	16	131	30	136	30	\N			\N	§	
859	618	33	137	33	137	2	\N			\N	§	
860	619	1	175	55	200	31	\N			\N	§	
861	620	1	74	2	75	30	\N			\N	§	
862	621	1	176	3	176	2	\N			\N	§	
863	622	1	560	3	561	4	\N			\N	§	
864	623	1 [429]	337	1 [429]	337	2	174			\N	§	
865	623	1 [210]	336	1 [213]	337	30	180			\N	§	
866	624	1	441	2	442	2	\N			\N	§	
867	625	1	332	1	333	4	\N			\N	§	
868	627	8	307	8	307	9	\N			\N	§	
869	627	1	304	7	307	32	\N			\N	§	
870	627	9	307	9	307	32	\N			\N	§	
871	628	1	77	2	77	2	\N			\N	§	
872	629	1	144	2	144	2	\N			\N	§	
873	630	1	496	15	500	30	\N			\N	§	
874	631	1	1104	3	1106	24	1581			\N	§	
875	632	1	417	1	417	2	\N			\N	§	
876	634	5	221	5	221	9	\N			\N	§	
877	635	1	255	12	259	30	\N			\N	§	
878	636	1	402	2	403	117	1148			\N	§	
879	637	1	343	1	344	2	\N			\N	§	
880	638	1	631	15	635	31	\N			\N	§	
881	639	1	30	14	36	30	\N			\N	§	
882	640	1	919	1	919	11	1041			\N	§	
883	640	7	922	9	922	11	1041			\N	§	
884	641	1 [202]	874	1 [202]	875	30	278			\N	§	
885	642	1	318	17	322	33	\N			\N	§	
887	644	30 [416]	295	30 [421]	296	2	186			\N	§	
888	644	30 [426]	296	30 [428]	297	2	182			\N	§	
889	644	30 [301]	291	30 [303]	292	34	177			\N	§	
890	644	11 [210]	281	24 [219]	288	30	180			\N	§	
891	644	38 [502]	301	38 [506]	302	4	175			\N	§	
892	644	30 [305]	292	30 [305]	293	34	181			\N	§	
893	644	30 [401]	293	30 [406]	294	2	184			\N	§	
894	644	26 [231]	288	28 [235]	290	30	183			\N	§	
895	644	30 [304]	292	30 [304]	292	9	187			\N	§	
896	644	30 [431]	297	30 [433]	298	2	178			\N	§	
897	644	30 [429]	297	30 [429]	297	2	174			\N	§	
898	644	4 [107]	278	4 [107]	279	49	179			\N	§	
899	644	30 [411]	294	30 [414]	295	2	176			\N	§	
900	644	5 [107.1]	279	5 [107.1]	279	49	\N	107.1	107.1	129	§	§
901	644	29 [241]	290	29 [241]	290	117	\N	241	241	129	§	§
902	644	29 [242]	290	29 [242]	290	34	\N	242	242	129	§	§
903	645	26	270	26	270	54	\N			\N	§	
904	646	1	390	2	390	2	\N			\N	§	
906	648	1	1149	1	1149	2	\N			\N	§	
907	649	1	66	1	66	2	\N			\N	§	
908	650	1	526	6	527	2	\N			\N	§	
909	651	1	62	1	62	117	77			\N	§	
910	652	1	726	1	726	2	\N			\N	§	
911	653	1	389	2	390	30	\N			\N	§	
912	654	1	1031	1	1032	2	\N			\N	§	
913	654	9	1033	9	1033	2	\N			\N	§	
914	654	8	1033	8	1033	2	\N			\N	§	
915	655	1	346	1	346	5	\N			\N	§	
916	656	1	125	3	126	2	\N			\N	§	
917	657	1	339	6	341	30	\N			\N	§	
918	658	1	408	1	408	2	\N			\N	§	
919	659	1	988	3	989	2	\N			\N	§	
920	660	1	27	1	27	10	\N			\N	§	
921	661	1	1239	6	1240	36	\N			\N	§	
922	662	1	264	5	265	2	\N			\N	§	
923	697	1	403	10	406	33	\N			\N	§	
924	698	1	755	1	756	4	\N			\N	§	
925	663	401	266	423	271	9	\N			\N	§	
926	664	1	24	2	25	10	\N			\N	§	
927	665	1	33	3	34	30	\N			\N	§	
928	666	1	327	10	332	30	\N			\N	§	
929	667	1	343	1	343	4	\N			\N	§	
930	668	1	1527	9	1529	2	\N			\N	§	
931	669	4	1645	4	1645	2	285			\N	§	
932	669	5 [415]	1646	5 [420]	1648	2	283			\N	§	
933	669	1 [201]	1631	1 [212]	1634	30	278			\N	§	
934	669	7 [502]	1651	7 [506]	1652	4	277			\N	§	
935	669	8	1653	8	1653	4	286			\N	§	
936	669	5 [410]	1645	5 [413]	1646	2	275			\N	§	
937	669	3 [301]	1640	3 [303]	1642	34	279			\N	§	
938	669	2	1640	2	1640	117	273			\N	§	
939	669	1 [107]	1629	1 [107]	1630	49	280			\N	§	
940	669	1 [225]	1638	1 [229]	1640	117	273			\N	§	
941	669	2 [215]	1634	2 [221]	1637	9	287			\N	§	
942	669	5 [425]	1648	5 [427]	1649	2	284			\N	§	
943	669	1	1637	1	1637	9	\N	222	222	193	§	§
944	669	3	1642	3	1643	117	\N	304	304	193	§	§
945	669	95 [1-6]	1841	95 [1-6]	1845	2	238	3501	3501	193	§	§
946	669	5 [430]	1648	5 [432]	1649	2	282			\N	§	
947	669	3 [401]	1643	3 [406]	1645	2	285			\N	§	
948	669	7 [507]	1652	7 [508]	1653	4	286			\N	§	
949	670	1	7	12	9	97	\N			\N	§	
950	671	1	490	1	490	4	\N			\N	§	
951	672	1	424	1	424	40	\N			\N	§	
952	672	2	424	3	425	117	\N			\N	§	
953	673	1	625	2	626	30	\N			\N	§	
954	674	1	574	1	574	91	\N			\N	§	
955	675	1	228	2	230	33	\N			\N	§	
956	676	1	134	1	134	2	\N			\N	§	
957	677	2	463	3	464	2	\N			\N	§	
958	677	1	462	1	463	4	\N			\N	§	
959	678	3	251	3	251	2	\N			\N	§	
960	679	1	209	14	214	30	\N			\N	§	
961	680	2	185	4	186	30	\N			\N	§	
962	680	1	184	1	185	7	\N			\N	§	
963	681	1	140	14	146	33	\N			\N	§	
964	682	1	83	4	83	40	\N			\N	§	
965	683	1	36	3	37	30	\N			\N	§	
966	684	5	723	5	724	2	\N			\N	§	
967	685	1	409	4	410	9	\N			\N	§	
968	685	5	410	5	410	9	\N			\N	§	
969	686	31	79	31	79	36	\N			\N	§	
970	687	1	73	1	73	2	\N			\N	§	
971	688	1	47	11	50	54	\N			\N	§	
972	689	1	26	1	26	4	\N			\N	§	
973	690	1	292	7	293	54	\N			\N	§	
974	691	1	3	2	4	117	639			\N	§	
975	692	1 [526]	328	1 [526]	328	2	1673			\N	§	
976	692	1 [516]	328	1 [517]	328	2	1676			\N	§	
977	692	1 [503]	327	1 [503]	328	2	1675			\N	§	
978	692	2	330	2	330	2	1331			\N	§	
979	692	1 [205]	327	1 [205]	327	31	1677			\N	§	
980	693	57	21	57	22	36	\N			\N	§	
981	693	22	17	26	18	89	\N			\N	§	
982	693	7	14	9	15	36	\N			\N	§	
983	693	33	18	33	18	36	\N			\N	§	
984	694	1	308	1	309	36	\N	29	29(c)	882	§	§
985	695	1	1042	1	1043	45	\N			\N	§	
986	696	1	211	2	212	11	1474			\N	§	
987	699	13	1699	13	1701	2	538			\N	§	
988	699	1	1694	1	1694	2	\N			\N	§	
989	699	5	1696	7	1697	2	\N			\N	§	
990	699	8	1697	12	1698	2	\N			\N	§	
991	699	4	1695	4	1696	2	\N			\N	§	
992	699	2	1694	3	1695	2	\N			\N	§	
993	700	12	113	12	114	30	\N			\N	§	
994	700	11	113	11	113	30	\N			\N	§	
995	700	3	111	4	111	2	\N			\N	§	
996	701	1	42	9	42	4	\N			\N	§	
997	702	1	268	1	268	30	\N			\N	§	
998	703	4	731	5	732	2	\N			\N	§	
999	704	1	110	5	111	36	\N			\N	§	
1000	705	1	155	3	156	9	1758			\N	§	
1001	706	1	940	3	941	2	1331			\N	§	
1002	707	1	381	15	386	30	\N			\N	§	
1003	708	1	379	1	379	2	\N			\N	§	
1004	709	1	233	7	236	7	\N			\N	§	
1005	710	1	938	1	940	24	1581			\N	§	
1006	711	1	54	3	55	36	\N			\N	§	
1007	712	1	301	1	301	2	\N			\N	§	
1008	713	1	50	4	51	4	\N			\N	§	
1009	714	1	573	1	574	2	\N			\N	art. 3, §	
1010	714	1	568	3	571	31	\N			\N	art. 1, §	
1011	714	5	574	6	575	2	\N			\N	art. 3, §	
1012	714	2	574	3	574	2	\N			\N	art. 3, §	
1013	714	4	574	4	574	2	\N			\N	art. 3, §	
1014	715	1	1239	2	1240	117	639			\N	§	
1015	716	1	8	7	10	16	\N			\N	§	
1016	717	1	642	1	642	49	\N			\N	§	
1017	718	1	9	4	10	7	\N			\N	§	
1018	719	1	15	9	19	30	\N			\N	§	
1019	720	4	252	4	252	4	\N			\N	§	
1020	720	5	252	5	253	40	\N			\N	§	
1021	720	10	253	10	253	2	\N			\N	§	
1022	842	1	364	1	365	4	\N			\N	§	
1023	721	1	724	1	724	2	\N			\N	§	
1024	722	1	261	1	261	34	\N			\N	§	
1025	723	1	447	1	447	2	\N			\N	§	
1026	724	1	1887	1	1888	117	1542			\N	§	
1027	725	7	707	8	707	36	\N			\N	§	
1028	726	15	355	15	356	4	\N			\N	§	
1029	728	5	302	5	302	45	\N			\N	§	
1030	728	4	302	4	302	91	\N			\N	§	
1031	728	3	302	3	302	45	\N			\N	§	
1032	729	14	311	14	311	36	\N			\N	§	
1033	730	1	548	2	550	117	79			\N	§	
1035	733	1	7	3	8	11	1041			\N	§	
1036	734	13	653	13	653	2	1486			\N	§	
1037	735	1	362	1	363	49	709			\N	§	
1038	736	1	116	25	126	31	\N			\N	§	
1039	737	1	225	8	230	30	\N			\N	§	
1040	738	1	466	1	466	2	\N			\N	§	
1041	739	210	331	211	332	11	\N			\N	§	
1042	739	301	332	306	334	4	\N			\N	§	
1043	740	1	475	2	476	4	\N			\N	§	
1044	741	24	376	37	379	30	\N			\N	§	
1045	741	13	372	23	376	30	\N			\N	§	
1046	741	1	368	12	372	30	\N			\N	§	
1047	741	38	379	47	385	30	\N			\N	§	
1048	741	48	385	48	385	30	\N			\N	§	
1049	742	1	187	1	187	2	\N			\N	§	
1050	743	1	458	13	462	30	\N			\N	§	
1051	744	1	187	1	187	2	690			\N	§	
1052	745	1	246	2	247	2	\N			\N	§	
1053	746	83	334	83	334	2	\N			\N	§	
1054	746	84	334	84	335	10	\N			\N	§	
1055	746	20	324	20	325	2	\N			\N	§	
1056	746	19	324	19	324	36	\N			\N	§	
1057	746	37	327	42	328	30	\N			\N	§	
1058	747	1	511	2	512	2	1331			\N	§	
1059	748	9	617	9	617	30	\N			\N	§	
1060	749	1	48	2	49	36	\N			\N	§	
1061	750	1	767	10	770	54	\N			\N	§	
1062	751	1	318	1	318	2	\N			\N	§	
1063	752	1	258	1	258	91	\N			\N	§	
1064	753	1	208	13	214	30	\N			\N	§	
1065	754	1	470	3	471	11	1041			\N	§	
1066	755	1	458	3	459	11	1041			\N	§	
1067	756	10	1050	10	1052	2	538			\N	§	
1068	756	1	1046	9	1050	2	\N			\N	§	
1069	757	1	1178	1	1179	4	\N			\N	§	
1071	759	1	41	6	43	54	\N			\N	§	
1072	760	11	268	26	276	30	\N			\N	§	
1073	760	1	263	10	268	30	\N			\N	§	
1074	760	29	276	29	277	7	\N			\N	§	
1075	761	1	685	3	685	4	\N			\N	§	
1076	762	1	575	1	576	2	\N			\N	§	
1078	764	1	421	3	424	54	\N			\N	§	
1079	765	1	124	9	125	30	\N			\N	§	
1080	766	1	102	9	106	30	\N			\N	§	
1081	767	1	644	1	644	4	\N			\N	§	
1082	768	1	257	1	257	91	\N			\N	§	
1083	769	1	146	13	150	30	\N			\N	§	
1084	769	14	150	14	151	30	\N			\N	§	
1085	770	4	312	4	312	2	1011			\N	§	
1086	770	3	311	3	312	2	1012			\N	§	
1087	771	1 [32]	406	1 [32]	407	11	1474			\N	§	
1088	772	1	665	16	673	24	\N			\N	§	
1089	773	1	120	14	124	30	\N			\N	§	
1090	774	1	1719	2	1721	117	639			\N	§	
1091	775	1	404	3	405	4	\N			\N	§	
1092	776	1	97	3	97	4	\N			\N	§	
1093	777	1	1650	4	1651	30	180			\N	§	
1094	778	1	65	1	65	2	\N			\N	§	
1095	779	2	594	2	594	68	\N			\N	§	
1096	780	1	669	1	669	69	\N			\N	§	
1097	781	1	861	1	861	4	\N			\N	§	
1098	782	1	345	1	346	117	80			\N	§	
1099	783	1	1317	1	1318	49	\N			\N	§	
1100	784	1	463	10	464	30	\N			\N	§	
1101	784	11	464	15	465	4	\N			\N	§	
1102	785	1	363	27	370	30	\N			\N	§	
1103	786	10	508	10	508	34	\N			\N	§	
1104	787	1	25	12	29	30	\N			\N	§	
1105	788	6	564	19	569	30	\N			\N	§	
1106	788	27	571	27	571	7	\N			\N	§	
1107	788	20	569	24	570	34	\N			\N	§	
1108	788	28	571	50	579	30	\N			\N	§	
1109	788	1	562	5	564	10	\N			\N	§	
1110	789	1	196	20	203	33	\N			\N	§	
1111	790	1	273	1	273	2	\N			\N	§	
1112	791	1	268	1	268	2	\N			\N	§	
1113	792	1	264	13	269	30	\N			\N	§	
1114	793	301	732	306	734	4	\N			\N	§	
1115	794	9	271	9	272	2	\N			\N	§	
1116	795	1	390	7	392	30	\N			\N	§	
1117	796	1	88	1	89	9	1758			\N	§	
1118	797	1	460	6	461	54	\N			\N	§	
1119	798	9	126	9	126	2	\N			\N	§	
1120	799	13	538	13	538	2	\N			\N	§	
1121	800	1	353	2	358	4	\N			\N	§	
1122	800	3	358	3	359	4	\N			\N	§	
1123	801	1 [2951]	1212	1 [2952]	1212	24	\N			\N	§	
1124	801	1 [2965]	1216	1 [2966]	1216	24	\N			\N	§	
1125	801	1 [2911]	1201	1 [2930]	1210	24	\N			\N	§	
1126	801	1 [2971]	1217	1 [2972]	1217	24	\N			\N	§	
1127	802	1	1086	6	1087	36	\N			\N	§	
1128	803	1	144	1	144	2	\N			\N	§	
1129	804	1	316	1	316	2	\N			\N	§	
1130	805	1	1103	1	1103	2	\N			\N	§	
1131	806	18	909	18	910	2	615			\N	§	
1132	807	6	306	6	306	2	\N			\N	§	
1133	808	1	968	12	973	30	\N			\N	§	
1134	809	1	80	1	80	91	\N			\N	§	
1135	811	4	304	4	304	2	\N			\N	§	
1136	812	1	279	1	279	2	\N			\N	§	
1137	813	1	228	1	228	2	\N			\N	§	
1138	815	11	154	11	154	2	\N			\N	§	
1139	816	1	602	5	603	4	\N			\N	§	
1140	817	12	245	12	245	2	1486			\N	§	
1141	817	11	245	11	245	2	580			\N	§	
1142	817	15	246	15	246	2	\N			\N	§	
1143	817	19	246	19	246	91	\N			\N	§	
1144	817	18	246	18	246	91	\N			\N	§	
1145	817	9	245	9	245	91	\N			\N	§	
1146	817	6	245	6	245	91	\N			\N	§	
1147	818	9	1480	9	1480	117	1540			\N	§	
1148	839	1	887	4	888	11	\N			\N	§	
1149	840	1	471	13	477	30	\N			\N	§	
1150	841	1	548	20	554	30	\N			\N	§	
1151	819	13	538	13	538	49	\N			\N	§	
1152	820	1	679	2	679	2	1547			\N	§	
