nationalarchivesid	source	government	nationalarchivesgovernmentname	nationalarchivesgovernmenttype	nationalarchivesunit	nationalarchivesunitfrom	nationalarchivesunitto	nationalarchivesexamined	nationalarchivesset
7610	7	3930	Eldred		5838205	1	1	f	1940
7611	7	3929	Eldred		5838416	1	1	f	1940
7617	7	1836	Elizabeth		5835304	1	1	f	1940
7618	7	7155	Elizabeth		23928618	1	1	f	1950
7619	7	3936	Elizabeth		5836690	1	1	f	1940
7620	7	3937	Elizabeth		5837719	1	1	f	1940
7628	7	3938	Elizabethtown		36433162	1	1	f	1950
7630	7	3942	Elk		5837127	1	1	f	1940
7631	7	3941	Elk		5837178	1	1	f	1940
7632	7	3940	Elk		5838346	1	1	f	1940
7633	7	3943	Elk		5838417	1	1	f	1940
7635	7	2310	Elk	County	36432978	1	1	f	1950
7636	7	3944	Elk Creek		5837443	1	1	f	1940
7638	7	3945	Elk Lick		5838271	1	1	f	1940
7644	7	3947	Elkland		5838298	1	1	f	1940
7645	7	6162	Elkland		5838347	1	1	f	1940
7656	7	1238	Ellicott City		5832529	1	1	f	1940
7667	7	3950	Ellwood		5836773	1	1	f	1940
7668	7	3950	Ellwood		5837749	1	1	f	1940
7669	7	3950	Ellwood City		36433178	1	1	f	1950
7674	7	1878	Elmira		5835507	1	1	f	1940
7675	7	1878	Elmira City		24066743	1	1	f	1950
7700	7	3954	Emmaus		5837795	1	1	f	1940
7701	7	3954	Emmaus		36433196	1	1	f	1950
7713	7	3955	Emporium		5837051	1	1	f	1940
7714	7	3955	Emporium		34427735	1	1	f	1950
7715	7	3956	Emsworth		34427541	1	1	f	1950
7722	7	1818	Englewood		5835053	1	1	f	1940
7723	7	7161	Englewood		23853041	1	1	f	1950
7733	7	3959	Ephrata		5837720	1	1	f	1940
7734	7	3958	Ephrata		36433164	1	1	f	1950
7741	7	3960	Erie		5837444	1	1	f	1940
7742	7	3960	Erie		36432988	1	1	f	1950
7745	7	2311	Erie	County	36432992	1	1	f	1950
7756	7	1238	Essex		5832530	1	1	f	1940
7766	7	3962	Etna		34427543	1	1	f	1950
7774	7	3963	Eulalia		5838172	1	1	f	1940
7800	7	7167	Ewing		5835196	1	1	f	1940
7801	7	7167	Ewing		23853278	1	1	f	1950
7807	7	3969	Exeter		5836840	1	1	f	1940
7808	7	3970	Exeter		5837828	1	1	f	1940
7809	7	3968	Exeter		5838546	1	1	f	1940
7810	7	3967	Exeter		36433216	1	1	f	1950
7813	7	7169	Fair Lawn		5835054	1	1	f	1940
7814	7	7169	Fair Lawn		23853043	1	1	f	1950
7830	7	3976	Fairfield		5837295	1	1	f	1940
7831	7	3977	Fairfield		5837881	1	1	f	1940
7832	7	3975	Fairfield		5838510	1	1	f	1940
7839	7	3978	Fairhope		5838272	1	1	f	1940
7840	7	1238	Fairlawn-Dundalk-St. Helena		5832531	1	1	f	1940
7842	7	3979	Fairmont		5837829	1	1	f	1940
7850	7	7172	Fairview		5835055	1	1	f	1940
7851	7	7172	Fairview		23853045	1	1	f	1950
7852	7	3983	Fairview		5836988	1	1	f	1940
7853	7	3984	Fairview		5837445	1	1	f	1940
7854	7	3982	Fairview		5837830	1	1	f	1940
7855	7	3985	Fairview		5837941	1	1	f	1940
7856	7	3981	Fairview		5838570	1	1	f	1940
7857	7	5262	Fairview		36433341	1	1	f	1950
