sourcegovernmentid	source	sourceorder	government
1702	1647	3	40
1710	1655	1	7097
1720	1662	1	34
1721	1663	1	3319
1722	1664	1	5506
1723	1665	1	32
1724	1666	1	1829
1728	1670	1	7072
1729	1671	1	7320
1730	1672	1	1819
1731	1673	1	7446
1732	1674	1	7429
1733	1675	1	7039
1734	1676	1	7414
1739	1678	1	7358
1740	1679	1	7375
1741	1680	1	7408
1742	1681	1	7190
1749	1688	1	7190
1750	1689	1	7373
1751	1690	1	7427
1752	1691	1	7368
1753	1692	1	7310
1754	1693	1	7427
1755	1694	1	7038
1756	1695	1	7528
1757	1696	1	7408
1758	1697	1	7038
1759	1698	1	7177
1761	1700	1	7157
1762	1701	1	7157
1763	1702	1	7528
1764	1703	1	7068
1765	1704	1	7094
