censusmapid	censusmapyear	government	censusmapgovernmentname	censusmapexamined	censusmapmin	censusmapmax	censusmap1950pertinent	censusmap1960pertinent	censusmap1970pertinent
1	1950	3302	Arendtsville	f	t	f	f	f	f
2	1970	3302	Arendtsville	f	f	t	f	f	f
3	1970	3383	Bendersville	f	f	t	f	f	f
4	1950	3383	Bendersville	f	t	f	f	f	f
5	1960	3383	Bendersville	f	f	f	f	f	f
6	1940	3398	Berwick Township	f	t	t	f	f	f
7	1950	4091	Gettysburg	f	f	f	f	f	f
8	1940	4090	Germany Township	f	t	t	f	f	f
9	1960	4091	Gettysburg	f	f	f	f	f	f
10	1960	3412	Biglerville	f	f	f	f	f	f
11	1970	3412	Biglerville	f	f	t	f	f	f
12	1940	4169	Hamiltonban Township	f	t	t	f	f	f
13	1960	4624	McSherrystown	f	f	f	f	f	f
14	1940	4165	Hamilton Township	f	t	t	f	f	f
15	1970	4492	Littlestown	f	f	t	f	f	f
16	1970	4091	Gettysburg	f	f	t	f	f	f
17	1950	4492	Littlestown	f	t	f	f	f	f
18	1960	4492	Littlestown	f	f	f	f	f	f
19	1940	4462	Liberty Township	f	t	t	f	f	f
20	1940	4420	Latimore Township	f	t	t	f	f	f
21	1960	3249	Abbottstown	f	f	f	f	f	f
22	1950	3249	Abbottstown	f	t	f	f	f	f
23	1940	4282	Huntington Township	f	t	t	f	f	f
24	1950	3412	Biglerville	f	t	f	f	f	f
25	1970	3444	Bonneauville	f	t	t	f	f	f
26	1940	4063	Freedom Township	f	t	t	f	f	f
27	1940	4051	Franklin Township	f	t	t	f	f	f
28	1970	3974	Fairfield	f	f	t	f	f	f
29	1960	3974	Fairfield	f	f	f	f	f	f
30	1950	3974	Fairfield	f	t	f	f	f	f
31	1970	3845	East Berlin	f	f	t	f	f	f
32	1970	5878	York Springs	f	f	t	f	f	f
33	1950	5878	York Springs	f	t	f	f	f	f
34	1960	5878	York Springs	f	f	f	f	f	f
35	1940	5556	Union Township	f	t	t	f	f	f
36	1970	2287		f	f	f	f	f	f
37	1960	2287		f	f	f	f	f	f
38	1950	2287		f	f	f	f	f	f
39	1940	2287		f	f	f	f	f	f
40	1930	2287		f	f	f	f	f	f
41	1940	5541	Tyrone Township	f	t	t	f	f	f
42	1940	5424	Strabon Township	f	t	t	f	f	f
43	1940	3519	Butler Township	f	t	t	f	f	f
44	1960	3688	Midway	f	f	f	f	f	f
45	1970	3688	Midway	f	f	f	f	f	f
46	1950	3845	East Berlin	f	t	f	f	f	f
47	1940	3688	Conewago Township	f	t	t	f	f	f
48	1950	3688	Midway	f	f	f	f	f	f
49	1940	5115	Reading Township	f	t	t	f	f	f
50	1970	3249	Abbottstown	f	f	t	f	f	f
51	1940	4934	Oxford Township	f	t	t	f	f	f
52	1970	4805	New Oxford	f	f	t	f	f	f
53	1950	4805	New Oxford	f	t	f	f	f	f
54	1940	4091	Gettysburg	f	t	f	f	f	f
55	1960	4805	New Oxford	f	f	f	f	f	f
56	1960	3845	East Berlin	f	f	f	f	f	f
57	1940	4747	Mount Pleasant Township	f	t	t	f	f	f
58	1940	4740	Mount Joy Township	f	t	t	f	f	f
59	1940	4632	Menallen Township	f	t	t	f	f	f
60	1970	4624	McSherrystown	f	f	t	f	f	f
61	1950	4624	McSherrystown	f	t	f	f	f	f
62	1940	4240	Highland Township	f	t	t	f	f	f
63	1960	3302	Arendtsville	f	f	f	f	f	f
64	1940	3743	Cumberland Township	f	t	t	f	f	f
65	1950	5388	Springdale	f	f	f	f	f	f
66	1940	5337	South Fayette Township	f	f	t	f	f	f
67	1930	5337	South Fayette Township	f	t	f	f	f	f
68	1960	5268	Sharpsburg	f	f	t	f	f	f
69	1920	5268	Sharpsburg	f	t	f	f	f	f
70	1950	5268	Sharpsburg	f	f	f	f	f	f
71	1950	3381	Ben Avon	f	t	f	f	f	f
72	1960	3382	Ben Avon Heights	f	f	t	f	f	f
73	1950	3382	Ben Avon Heights	f	t	f	f	f	f
74	1930	3428	Blawnox	f	t	t	f	f	f
75	1940	3448	Brackenridge	f	f	f	f	f	f
76	1930	3448	Brackenridge	f	t	f	f	f	f
77	1960	3448	Brackenridge	f	f	t	f	f	f
78	1950	3448	Brackenridge	f	f	f	f	f	f
79	1920	3449	Braddock	f	f	f	f	f	f
80	1930	3449	Braddock	f	f	f	f	f	f
81	1950	3449	Braddock	f	f	f	f	f	f
82	1910	3449	Braddock	f	t	f	f	f	f
83	1960	3449	Braddock	f	f	t	f	f	f
84	1950	3450	Braddock Hills	f	t	f	f	f	f
85	1960	3450	Braddock Hills	f	f	t	f	f	f
86	1950	3454	Bradford Woods	f	t	f	f	f	f
87	1960	3454	Bradford Woods	f	f	t	f	f	f
88	1950	3467	Brentwood	f	f	f	f	f	f
89	1930	3467	Brentwood	f	t	f	f	f	f
90	1960	3467	Brentwood	f	f	t	f	f	f
91	1950	3472	Bridgeville	f	f	f	f	f	f
92	1930	3472	Bridgeville	f	t	f	f	f	f
93	1960	3472	Bridgeville	f	f	t	f	f	f
94	1950	3547	Carneige	f	f	f	f	f	f
95	1960	3547	Carneige	f	f	t	f	f	f
96	1950	3562	Castle Shannon	f	f	f	f	f	f
97	1930	3562	Castle Shannon	f	t	f	f	f	f
98	1960	3562	Castle Shannon	f	f	t	f	f	f
99	1950	3584	Chalfant	f	t	f	f	f	f
100	1960	3584	Chalfant	f	f	t	f	f	f
101	1950	3614	Cheswick	f	t	f	f	f	f
102	1960	3614	Cheswick	f	f	t	f	f	f
103	1950	3620	Churchill	f	t	f	f	f	f
104	1960	3620	Churchill	f	f	t	f	f	f
105	1950	2288	Curtisville	f	f	f	f	f	f
106	1960	2288	Curtisville	f	f	f	f	f	f
107	1950	2288	Ewingsville	f	f	f	f	f	f
108	1950	2288	Highland	f	f	f	f	f	f
109	1950	2288	Imperial	f	f	f	f	f	f
110	1950	2288	Indianola	f	f	f	f	f	f
111	1950	2288	Ingomar	f	f	f	f	f	f
112	1950	2288	Library	f	f	f	f	f	f
113	1950	2288	Noblestown	f	f	f	f	f	f
114	1950	2288	Pittsburgh, Vicinity of	f	f	f	f	f	f
115	1960	2288	Pittsburgh, Vicinity of	f	f	f	f	f	f
116	1950	2288	Renton	f	f	f	f	f	f
117	1950	2288	Rural Ridge	f	f	f	f	f	f
118	1930	6098	Clairton	f	t	f	f	f	f
119	1950	6098	Clairton	f	f	f	f	f	f
120	1960	6098	Clairton	f	f	t	f	f	f
121	1930	3674	Collier Township	f	t	t	f	f	f
122	1950	3717	Coraopolis	f	f	f	f	f	f
123	1930	3717	Coraopolis	f	t	f	f	f	f
124	1960	3717	Coraopolis	f	f	t	f	f	f
125	1950	3729	Crafton	f	f	f	f	f	f
126	1930	3729	Crafton	f	t	f	f	f	f
127	1960	3729	Crafton	f	f	t	f	f	f
128	1940	3735	Crescent Township	f	t	t	f	f	f
129	1950	3806	Dormont	f	f	f	f	f	f
130	1930	3806	Dormont	f	t	f	f	f	f
131	1960	3806	Dormont	f	f	t	f	f	f
132	1950	3815	Dravesburg	f	t	f	f	f	f
133	1960	3815	Dravesburg	f	f	t	f	f	f
134	1920	3835	Duquense	f	f	f	f	f	f
135	1930	3835	Duquense	f	f	f	f	f	f
136	1950	3835	Duquense	f	f	f	f	f	f
137	1960	3835	Duquense	f	f	t	f	f	f
138	1930	3860	East Deer Township	f	t	f	f	f	f
139	1940	3860	East Deer Township	f	f	t	f	f	f
140	1950	3884	East McKeesport	f	f	f	f	f	f
141	1930	3884	East McKeesport	f	t	f	f	f	f
142	1960	3884	East McKeesport	f	f	t	f	f	f
143	1950	3894	East Pittsburgh	f	f	f	f	f	f
144	1930	3894	East Pittsburgh	f	t	f	f	f	f
145	1960	3894	East Pittsburgh	f	f	t	f	f	f
146	1950	3918	Edgewood	f	f	f	f	f	f
147	1930	3918	Edgewood	f	t	f	f	f	f
148	1960	3918	Edgewood	f	f	t	f	f	f
149	1950	3919	Edgeworth	f	t	f	f	f	f
150	1960	3919	Edgeworth	f	f	t	f	f	f
151	1950	3935	Elizabeth	f	f	f	f	f	f
152	1930	3935	Elizabeth	f	t	f	f	f	f
153	1960	3935	Elizabeth	f	f	t	f	f	f
154	1930	3936	Elizabeth Township	f	t	f	f	f	f
155	1940	3936	Elizabeth Township	f	f	t	f	f	f
156	1950	3956	Emsworth	f	f	f	f	f	f
157	1930	3956	Emsworth	f	t	f	f	f	f
158	1960	3956	Emsworth	f	f	t	f	f	f
159	1930	3962	Etna	f	f	f	f	f	f
160	1950	3962	Etna	f	f	f	f	f	f
161	1920	3962	Etna	f	t	f	f	f	f
162	1960	3962	Etna	f	f	t	f	f	f
163	1940	3996	Fawn Township	f	t	t	f	f	f
164	1930	4007	Findley Township	f	t	f	f	f	f
165	1940	4007	Findley Township	f	f	t	f	f	f
166	1950	4017	Forest Hills	f	f	f	f	f	f
167	1930	4017	Forest Hills	f	t	f	f	f	f
168	1960	4017	Forest Hills	f	f	t	f	f	f
169	1930	4024	Forward Township	f	t	f	f	f	f
170	1940	4024	Forward Township	f	f	t	f	f	f
171	1950	4032	Fox Chapel	f	t	f	f	f	f
172	1960	4032	Fox Chapel	f	f	t	f	f	f
173	1940	4059	Frazer Township	f	t	t	f	f	f
174	1950	4103	Glassport	f	f	f	f	f	f
175	1930	4103	Glassport	f	t	f	f	f	f
176	1960	4103	Glassport	f	f	t	f	f	f
177	1950	4110	Glenfield	f	t	f	f	f	f
178	1960	4110	Glenfield	f	f	t	f	f	f
179	1950	4128	Green Tree	f	t	f	f	f	f
180	1960	4128	Green Tree	f	f	t	f	f	f
181	1930	4172	Hampton Township	f	t	f	f	f	f
182	1940	4172	Hampton Township	f	f	t	f	f	f
183	1940	4183	Harmar Township	f	t	t	f	f	f
184	1930	4193	Harrison Township	f	t	f	f	f	f
185	1940	4193	Harrison Township	f	f	t	f	f	f
186	1950	4208	Haysville	f	t	f	f	f	f
187	1960	4208	Haysville	f	f	t	f	f	f
188	1950	4215	Heidelberg	f	t	f	f	f	f
189	1960	4215	Heidelberg	f	f	t	f	f	f
190	1910	4248	Homestead	f	f	f	f	f	f
191	1920	4248	Homestead	f	f	f	f	f	f
192	1930	4248	Homestead	f	f	f	f	f	f
193	1950	4248	Homestead	f	f	f	f	f	f
194	1900	4248	Homestead	f	t	f	f	f	f
195	1940	6322	McCandless Township	f	f	t	f	f	f
196	1930	6322	McCandless Township	f	t	f	f	f	f
197	1960	4248	Homestead	f	f	t	f	f	f
198	1930	4294	Indiana Township	f	t	f	f	f	f
199	1940	4294	Indiana Township	f	f	t	f	f	f
200	1950	4296	Ingram	f	f	f	f	f	f
201	1930	4296	Ingram	f	t	f	f	f	f
202	1960	4296	Ingram	f	f	t	f	f	f
203	1950	4436	Leet Township	f	t	t	f	f	f
204	1950	4437	Leetsdale	f	f	f	f	f	f
205	1930	4437	Leetsdale	f	t	f	f	f	f
206	1960	4437	Leetsdale	f	f	t	f	f	f
207	1950	4460	Liberty	f	t	f	f	f	f
208	1960	4460	Liberty	f	f	t	f	f	f
209	1960	4480	Lincoln	f	t	t	f	f	f
210	1950	4615	McDonald	f	f	f	f	f	f
211	1960	4615	McDonald	f	f	f	f	f	f
212	1920	4622	McKeesport	f	f	f	f	f	f
213	1930	4622	McKeesport	f	f	f	f	f	f
214	1940	4622	McKeesport	f	f	f	f	f	f
215	1900	4622	McKeesport	f	t	f	f	f	f
216	1950	4622	McKeesport	f	f	f	f	f	f
217	1960	4622	McKeesport	f	f	t	f	f	f
218	1920	4621	McKees Rocks	f	f	f	f	f	f
219	1930	4621	McKees Rocks	f	f	f	f	f	f
220	1950	4621	McKees Rocks	f	f	f	f	f	f
221	1910	4621	McKees Rocks	f	t	f	f	f	f
222	1960	4621	McKees Rocks	f	f	t	f	f	f
223	1940	4601	Marshall Township	f	t	t	f	f	f
224	1930	4689	Millvale	f	f	f	f	f	f
225	1950	4689	Millvale	f	f	f	f	f	f
226	1910	4689	Millvale	f	t	f	f	f	f
227	1960	4689	Millvale	f	f	t	f	f	f
228	1930	4720	Moon Township	f	t	f	f	f	f
229	1940	4720	Moon Township	f	f	t	f	f	f
230	1930	6357	Mount Lebanon Township	f	t	t	f	f	f
231	1950	4743	Mount Oliver	f	f	f	f	f	f
232	1930	4743	Mount Oliver	f	t	f	f	f	f
233	1960	4743	Mount Oliver	f	f	t	f	f	f
234	1930	4760	Munhall	f	f	f	f	f	f
235	1950	4760	Munhall	f	f	f	f	f	f
236	1920	4760	Munhall	f	t	f	f	f	f
237	1960	4760	Munhall	f	f	t	f	f	f
238	1920	4843	North Braddock	f	f	f	f	f	f
239	1930	4843	North Braddock	f	f	f	f	f	f
240	1950	4843	North Braddock	f	f	f	f	f	f
241	1910	4843	North Braddock	f	t	f	f	f	f
242	1960	4843	North Braddock	f	f	t	f	f	f
243	1930	4854	North Fayette Township	f	t	f	f	f	f
244	1940	4854	North Fayette Township	f	f	t	f	f	f
245	1930	4872	North Versailles Township	f	t	f	f	f	f
246	1940	4872	North Versailles Township	f	f	t	f	f	f
247	1950	4892	Oakdale	f	t	f	f	f	f
248	1960	4892	Oakdale	f	f	t	f	f	f
249	1950	4897	Oakmont	f	f	f	f	f	f
250	1930	4897	Oakmont	f	t	f	f	f	f
251	1960	4897	Oakmont	f	f	t	f	f	f
252	1930	4891	O'Hara Township	f	t	t	f	f	f
253	1940	4899	Ohio Township	f	t	t	f	f	f
254	1950	6407	Osborne	f	t	f	f	f	f
255	1960	6407	Osborne	f	f	t	f	f	f
256	1940	5016	Pine Township	f	t	t	f	f	f
257	1950	5028	Pitcarin	f	f	f	f	f	f
258	1960	5028	Pitcarin	f	f	t	f	f	f
259	1930	5028	Pitcarin	f	t	f	f	f	f
260	1920	5029	Pittsburgh	f	f	f	f	f	f
261	1930	5029	Pittsburgh	f	f	f	f	f	f
262	1940	5029	Pittsburgh	f	f	f	f	f	f
263	1910	5029	Pittsburgh	f	t	f	f	f	f
264	1950	5029	Pittsburgh	f	f	f	f	f	f
265	1960	5029	Pittsburgh	f	f	t	f	f	f
266	1900	5029	Pittsburgh	f	t	t	f	f	f
267	1950	5038	Pleasant Hills	f	t	f	f	f	f
268	1960	5038	Pleasant Hills	f	f	t	f	f	f
269	1970	5042	Plum	f	f	t	f	f	f
270	1960	2288		f	f	f	f	f	f
271	1950	2288		f	f	f	f	f	f
272	1940	2288		f	f	f	f	f	f
273	1930	2288		f	f	f	f	f	f
274	1950	6158	Eden Park	f	t	t	f	f	f
275	1960	6350	Monroeville	f	t	t	f	f	f
276	1930	6562	Versailles Township	f	t	f	f	f	f
277	1930	6424	Penn Township	f	t	t	f	f	f
278	1930	6447	Plum Township	f	t	f	f	f	f
279	1940	6447	Plum Township	f	f	f	f	f	f
280	1940	6497	Sewickley Heights Township	f	t	f	f	f	f
281	1940	6496	Sewickley Township	f	f	t	f	f	f
282	1930	6496	Sewickley Township	f	t	f	f	f	f
283	1950	5065	Port Vue	f	f	f	f	f	f
284	1930	6419	Patton Township	f	t	f	f	f	f
285	1940	6419	Patton Township	f	f	f	f	f	f
286	1930	6337	Mifflin Township	f	t	f	f	f	f
287	1910	6135	Duquense	f	t	f	f	f	f
288	1930	5065	Port Vue	f	t	f	f	f	f
289	1930	6046	Bethel Township	f	t	f	f	f	f
290	1930	3547	Carneige	f	t	f	f	f	f
291	1960	5826	Wilmerding	f	f	t	f	f	f
292	1930	5826	Wilmerding	f	t	f	f	f	f
293	1950	5826	Wilmerding	f	f	f	f	f	f
294	1960	5817	Wilkinsburg	f	f	t	f	f	f
295	1910	5817	Wilkinsburg	f	t	f	f	f	f
296	1950	5817	Wilkinsburg	f	f	f	f	f	f
297	1930	5817	Wilkinsburg	f	f	f	f	f	f
298	1920	5817	Wilkinsburg	f	f	f	f	f	f
299	1930	5816	Wilkins Township	f	t	t	f	f	f
300	1960	5807	White Oak	f	f	t	f	f	f
301	1950	5807	White Oak	f	f	f	f	f	f
302	1960	5808	Whitehall	f	f	t	f	f	f
303	1950	5808	Whitehall	f	t	f	f	f	f
304	1960	5800	Whitaker	f	f	t	f	f	f
305	1950	5800	Whitaker	f	t	f	f	f	f
306	1960	5783	West View	f	f	t	f	f	f
307	1930	5783	West View	f	t	f	f	f	f
308	1950	5783	West View	f	f	f	f	f	f
309	1960	5761	West Mufflin	f	f	t	f	f	f
310	1950	5761	West Mufflin	f	t	f	f	f	f
311	1960	5745	West Homestead	f	f	t	f	f	f
312	1920	5745	West Homestead	f	t	f	f	f	f
313	1950	5745	West Homestead	f	f	f	f	f	f
314	1930	5745	West Homestead	f	f	f	f	f	f
315	1960	5734	West Elizabeth	f	f	t	f	f	f
316	1950	5734	West Elizabeth	f	t	f	f	f	f
317	1940	5730	West Deer Township	f	f	t	f	f	f
318	1930	5730	West Deer Township	f	t	f	f	f	f
319	1960	5730	Bairdford	f	f	f	f	f	f
320	1950	5730	Bairdford	f	f	f	f	f	f
321	1960	5636	Wall	f	f	t	f	f	f
322	1930	5636	Wall	f	t	f	f	f	f
323	1950	5636	Wall	f	f	f	f	f	f
324	1960	5627	Versailles	f	f	t	f	f	f
325	1930	5627	Versailles	f	t	f	f	f	f
326	1950	5627	Versailles	f	f	f	f	f	f
327	1960	5626	Verona	f	f	t	f	f	f
328	1930	5626	Verona	f	t	f	f	f	f
329	1950	5626	Verona	f	f	f	f	f	f
330	1940	5599	Upper St. Clair Township	f	t	t	f	f	f
331	1960	5532	Turtle Creek	f	f	t	f	f	f
332	1930	5532	Turtle Creek	f	t	f	f	f	f
333	1950	5532	Turtle Creek	f	f	f	f	f	f
334	1960	5510	Trafford	f	f	f	f	f	f
335	1950	5510	Trafford	f	f	f	f	f	f
336	1930	5510	Trafford	f	f	f	f	f	f
337	1960	5482	Thomburg	f	f	t	f	f	f
338	1950	5482	Thomburg	f	t	f	f	f	f
339	1960	5466	Tarentum	f	f	t	f	f	f
340	1900	5466	Tarentum	f	t	f	f	f	f
341	1950	5466	Tarentum	f	f	f	f	f	f
342	1940	5466	Tarentum	f	f	f	f	f	f
343	1930	5466	Tarentum	f	f	f	f	f	f
344	1910	5466	Tarentum	f	f	f	f	f	f
345	1960	5460	Swissvale	f	f	t	f	f	f
346	1930	5460	Swissvale	f	t	f	f	f	f
347	1950	5460	Swissvale	f	f	f	f	f	f
348	1960	5422	Stowe Township	f	f	t	f	f	f
349	1930	5422	Stowe Township	f	t	f	f	f	f
350	1940	5422	Stowe Township	f	f	f	f	f	f
351	1940	5389	Springdale Township	f	t	t	f	f	f
352	1960	5388	Springdale	f	f	t	f	f	f
353	1930	5388	Springdale	f	t	f	f	f	f
354	1960	5065	Port Vue	f	f	t	f	f	f
355	1930	5108	Rankin	f	f	f	f	f	f
356	1950	5108	Rankin	f	f	f	f	f	f
357	1920	5108	Rankin	f	t	f	f	f	f
358	1960	5108	Rankin	f	f	t	f	f	f
359	1930	5125	Reserve Township	f	t	t	f	f	f
360	1940	5134	Richland Township	f	t	t	f	f	f
361	1930	5157	Robinson Township	f	t	t	f	f	f
362	1930	5177	Ross Township	f	t	f	f	f	f
363	1940	5177	Ross Township	f	f	t	f	f	f
364	1950	5179	Rosslyn Farms	f	t	f	f	f	f
365	1960	5179	Rosslyn Farms	f	f	t	f	f	f
366	1930	5240	Scott Township	f	t	f	f	f	f
367	1960	6246	Jefferson	f	t	t	f	f	f
368	1950	6247	Jefferson Township	f	f	t	f	f	f
369	1940	6247	Jefferson Township	f	t	f	f	f	f
370	1940	6504	Snowden Township	f	f	t	f	f	f
371	1930	6504	Snowden Township	f	t	f	f	f	f
372	1960	6043	Bethel	f	f	t	f	f	f
373	1950	6043	Bethel	f	f	f	f	f	f
374	1940	6185	Franklin Township	f	t	t	f	f	f
375	1960	5240	Scott Township	f	f	t	f	f	f
376	1950	5254	Sewickley	f	f	f	f	f	f
377	1940	5254	Sewickley	f	t	f	f	f	f
378	1960	5254	Sewickley	f	f	t	f	f	f
379	1950	5256	Sewickley Heights	f	t	f	f	f	f
380	1960	5256	Sewickley Heights	f	f	t	f	f	f
381	1960	5257	Sewickley Hills	f	f	t	f	f	f
382	1930	5260	Shaler Township	f	t	f	f	f	f
383	1940	5260	Shaler Township	f	f	t	f	f	f
384	1930	5268	Sharpsburg	f	f	f	f	f	f
385	1950	2288	Russellton	f	f	f	f	f	f
386	1960	2288	Russellton	f	f	f	f	f	f
387	1950	2288	Treveskyn-Morgan	f	f	f	f	f	f
388	1950	2288	Wildwood-Hardy	f	f	f	f	f	f
389	1950	3315	Aspinwall	f	f	f	f	f	f
390	1930	3315	Aspinwall	f	t	f	f	f	f
391	1960	3315	Aspinwall	f	f	t	f	f	f
392	1950	3326	Avalon	f	f	f	f	f	f
393	1930	3326	Avalon	f	t	f	f	f	f
394	1960	3326	Avalon	f	f	t	f	f	f
395	1960	3334	Baldwin	f	t	t	f	f	f
396	1930	3335	Baldwin Township	f	t	f	f	f	f
397	1940	3335	Baldwin Township	f	f	t	f	f	f
398	1950	3379	Bellevue	f	f	f	f	f	f
399	1930	3379	Bellevue	f	t	f	f	f	f
400	1960	3379	Bellevue	f	f	t	f	f	f
401	1960	3381	Ben Avon	f	f	t	f	f	f
402	1950	2289	North Vandergraft	f	f	f	f	f	f
403	1940	4169	Hamiltonban Township	f	f	f	f	f	f
404	1970	2289	Lenape Heights	f	f	f	f	f	f
405	1940	4240	Highland Township	f	f	f	f	f	f
406	1950	2289	Ford View-Manor Heights	f	f	f	f	f	f
407	1940	4282	Huntington Township	f	f	f	f	f	f
408	1940	3298	Apollo	f	f	f	f	f	f
409	1930	3298	Apollo	f	t	f	f	f	f
410	1950	3298	Apollo	f	f	f	f	f	f
411	1970	2289	Sagamore	f	f	f	f	f	f
412	1960	2289	Templeton	f	f	f	f	f	f
413	1950	2289	Troy City	f	f	f	f	f	f
414	1960	2289	Troy City	f	f	f	f	f	f
415	1950	2289	Yatesboro	f	f	f	f	f	f
416	1960	2289	Yatesboro	f	f	f	f	f	f
417	1970	2289	Yatesboro	f	f	f	f	f	f
418	1940	4420	Latimore Township	f	f	f	f	f	f
419	1960	3298	Apollo	f	f	t	f	f	f
420	1940	4462	Liberty Township	f	f	f	f	f	f
421	1960	3299	Applewold	f	f	f	f	f	f
422	1950	3299	Applewold	f	t	f	f	f	f
423	1970	3299	Applewold	f	f	t	f	f	f
424	1960	3322	At wood	f	f	f	f	f	f
425	1950	3322	At wood	f	t	f	f	f	f
426	1970	3322	At wood	f	f	t	f	f	f
427	1950	3523	Cadogan	f	t	t	f	f	f
428	1940	4632	Menallen Township	f	f	f	f	f	f
429	1950	3728	Cowanshannock	f	t	t	f	f	f
430	1970	4948	Parker City	f	f	t	f	f	f
431	1940	4740	Mount Joy Township	f	f	f	f	f	f
432	1960	4948	Parker City	f	f	f	f	f	f
433	1960	3767	Dayton	f	f	f	f	f	f
434	1970	4584	Manorville	f	f	t	f	f	f
435	1950	4584	Manorville	f	t	f	f	f	f
436	1940	4747	Mount Pleasant Township	f	f	f	f	f	f
437	1950	3767	Dayton	f	t	f	f	f	f
438	1970	3767	Dayton	f	f	t	f	f	f
439	1960	3926	Elderton	f	f	f	f	f	f
440	1950	3926	Elderton	f	t	f	f	f	f
441	1940	4934	Oxford Township	f	f	f	f	f	f
442	1970	3926	Elderton	f	f	t	f	f	f
443	1940	5115	Reading Township	f	f	f	f	f	f
444	1940	4014	Ford City	f	f	f	f	f	f
445	1950	4014	Ford City	f	f	f	f	f	f
446	1940	5424	Strabon Township	f	f	f	f	f	f
447	1960	4014	Ford City	f	f	f	f	f	f
448	1940	5541	Tyrone Township	f	f	f	f	f	f
449	1930	4014	Ford City	f	t	f	f	f	f
450	1940	3743	Cumberland Township	f	f	f	f	f	f
451	1940	3688	Conewaga Township	f	f	f	f	f	f
452	1930	2289		f	f	f	f	f	f
453	1940	5556	Union Township	f	f	f	f	f	f
454	1970	4014	Ford City	f	f	t	f	f	f
455	1960	4015	Ford Cliff	f	f	f	f	f	f
456	1950	4015	Ford Cliff	f	t	f	f	f	f
457	1970	4015	Ford Cliff	f	f	t	f	f	f
458	1960	4584	Manorville	f	f	f	f	f	f
459	1950	4583	Manor	f	t	t	f	f	f
460	1960	4434	Leechburg	f	f	t	f	f	f
461	1930	4434	Leechburg	f	t	f	f	f	f
462	1950	4434	Leechburg	f	f	f	f	f	f
463	1940	4434	Leechburg	f	f	f	f	f	f
464	1970	4381	Kittanning	f	f	t	f	f	f
465	1930	4381	Kittanning	f	t	f	f	f	f
466	1940	2289		f	f	f	f	f	f
467	1950	2289		f	f	f	f	f	f
468	1960	2289		f	f	f	f	f	f
469	1940	4051	Franklin Township	f	f	f	f	f	f
470	1970	2289		f	f	f	f	f	f
471	1940	4063	Freedom Township	f	f	f	f	f	f
472	1940	3519	Butler Township	f	f	f	f	f	f
473	1940	4090	Germany Township	f	f	f	f	f	f
474	1950	2289	Sagamore	f	f	f	f	f	f
475	1960	2289	Sagamore	f	f	f	f	f	f
476	1960	4381	Kittanning	f	f	f	f	f	f
477	1950	4381	Kittanning	f	f	f	f	f	f
478	1940	4381	Kittanning	f	f	f	f	f	f
479	1970	4068	Freeport	f	f	t	f	f	f
480	1950	4068	Freeport	f	t	f	f	f	f
481	1970	5861	Worthington	f	f	t	f	f	f
482	1950	5861	Worthington	f	t	f	f	f	f
483	1960	5861	Worthington	f	f	f	f	f	f
484	1970	5747	West Kittanning	f	f	t	f	f	f
485	1950	5747	West Kittanning	f	t	f	f	f	f
486	1960	5747	West Kittanning	f	f	f	f	f	f
487	1970	5329	South Bethlehem	f	f	t	f	f	f
488	1950	5329	South Bethlehem	f	t	f	f	f	f
489	1960	5329	South Bethlehem	f	f	f	f	f	f
490	1970	5185	Rural Valley	f	f	t	f	f	f
491	1950	5185	Rural Valley	f	t	f	f	f	f
492	1960	5185	Rural Valley	f	f	f	f	f	f
493	1950	4948	Parker City	f	t	f	f	f	f
494	1940	3398	Berwick Township	f	f	f	f	f	f
495	1960	4068	Freeport	f	f	f	f	f	f
496	1960	2289	North Vandergraft	f	f	f	f	f	f
497	1940	4165	Hamilton Township	f	f	f	f	f	f
498	1940	3762	Darlington Township	f	t	t	f	f	f
499	1940	5801	White Township	f	t	t	f	f	f
500	1960	5757	West Mayfield	f	f	t	f	f	f
501	1950	5757	West Mayfield	f	t	f	f	f	f
502	1960	5343	South Heights	f	f	t	f	f	f
503	1950	5343	South Heights	f	t	f	f	f	f
504	1940	5327	South Beaver Township	f	t	t	f	f	f
505	1960	5285	Shippingport	f	f	t	f	f	f
506	1950	5285	Shippingport	f	t	f	f	f	f
507	1940	5160	Rochester Township	f	t	t	f	f	f
508	1960	5159	Rochester	f	f	t	f	f	f
509	1940	2290		f	f	f	f	f	f
510	1930	2290		f	f	f	f	f	f
511	1920	2290		f	f	f	f	f	f
512	1960	2290		f	f	f	f	f	f
513	1930	5159	Rochester	f	t	f	f	f	f
514	1940	6049	Big Beaver Township	f	t	t	f	f	f
515	1950	5159	Rochester	f	f	f	f	f	f
516	1940	6242	Industry Township	f	t	t	f	f	f
517	1940	6157	Economy Township	f	t	f	f	f	f
518	1970	2290		f	f	f	f	f	f
519	1960	6015	Aliquippa	f	f	t	f	f	f
520	1950	6015	Aliquippa	f	f	f	f	f	f
521	1930	6015	Aliquippa	f	t	f	f	f	f
522	1940	6015	Aliquippa	f	f	f	f	f	f
523	1940	5159	Rochester	f	f	f	f	f	f
524	1940	5101	Raccoon Township	f	t	t	f	f	f
525	1940	5093	Pulaski Township	f	t	t	f	f	f
526	1940	5081	Potkr Township	f	t	t	f	f	f
527	1960	4955	Patterson Heights	f	f	t	f	f	f
528	1950	4955	Patterson Heights	f	t	f	f	f	f
529	1940	4954	Patkison Township	f	t	t	f	f	f
530	1940	4866	North Sewickley Township	f	t	t	f	f	f
