affectedgovernmentgisid	affectedgovernment	governmentshape
853	7785	1136
854	9014	1137
855	3520	1140
856	2545	2694
857	2479	2694
859	1097	1146
861	13362	1150
862	13339	1150
863	4002	1151
864	198	1152
865	13357	1154
866	13311	1154
867	1315	1155
868	14254	1156
869	7533	94
870	13358	1161
871	13287	1161
872	12516	1162
873	10071	1163
874	6349	1168
875	311	1169
876	6156	1170
877	324	1174
878	320	1174
879	13868	1175
880	9365	2924
881	2157	1181
882	7911	1182
883	7007	1183
884	1315	1191
885	11275	1193
886	15970	1194
887	6989	1449
889	9158	1198
890	16279	1201
891	2356	2859
892	1164	1205
893	2335	1208
894	13482	1210
895	13412	1210
896	8944	1215
897	10060	1217
898	14290	1218
899	13517	1219
900	13459	1219
901	13358	1219
902	13301	1219
903	9096	4476
904	16067	1222
905	5277	1225
906	1094	1231
907	2580	1232
908	5590	1234
909	13510	1235
910	13402	1235
911	13343	1235
913	648	1241
914	13651	1242
915	13317	1242
916	3828	1244
917	9135	1245
918	2283	1249
919	9896	1250
920	9871	1250
921	9544	1252
922	9878	1254
923	9853	1254
924	9331	1256
925	9252	1257
926	805	1260
927	15965	1262
934	14095	1268
935	7141	1269
936	13067	1272
937	12987	1272
938	6081	1273
939	12385	1279
940	9917	1280
941	9794	1280
942	16010	1282
943	16121	1284
944	11305	1450
945	11231	1450
946	9946	1294
947	6398	10378
948	927	1299
949	9555	1300
950	13644	1301
951	13456	1301
952	13394	1301
953	16046	2861
954	12537	1302
955	12446	1302
956	12214	1302
957	12400	1304
958	940	1305
959	939	1305
960	938	1305
961	757	1305
962	5596	1308
963	706	1309
964	12905	1312
965	12726	1312
966	12643	1312
967	13540	1313
968	13390	1313
969	13294	1313
970	9253	1315
972	9872	1318
973	916	1319
974	7427	1321
976	9384	1325
977	3391	2863
978	7623	1332
979	9914	1334
980	9907	1334
981	9899	1334
982	9871	1334
983	15947	1339
984	2839	2864
985	9392	1344
986	9442	2956
987	6902	1349
988	9026	1354
989	9872	1355
990	6830	1356
991	3842	1358
992	866	1359
993	751	1359
994	386	1359
995	14838	3459
996	12394	1364
997	12126	1367
999	495	1369
1000	220	1369
1001	13011	1372
1002	9428	1375
1003	6817	1378
1004	13660	1379
1005	13497	1379
1006	13347	1379
1007	9206	1381
1008	13649	1383
1009	9006	1388
1010	13668	1396
1011	13610	1396
1012	13605	1396
1013	13430	1396
1014	2559	1399
1015	495	1407
1016	220	1407
1017	2514	1410
1018	2441	1410
1019	13152	1414
1020	13127	1414
1021	8693	1419
1022	2678	1420
1023	12568	1423
1024	12531	1423
1026	332	1427
1027	10026	3460
1028	1559	1431
1029	12905	1432
1030	12726	1432
1031	9416	1433
1032	3526	1435
1033	6498	1443
1034	6497	1443
1035	6190	1443
1036	3313	1444
1037	10811	1445
1038	9063	3499
1039	12551	1452
1040	13062	1457
1041	1144	1458
1042	16009	1459
1043	9087	1460
1044	16045	1461
1045	2840	1463
1046	9872	1536
1047	9858	1536
1048	9834	1536
1049	13578	1470
1050	13376	1470
1051	13359	1470
1052	13340	1470
1053	9546	1471
1054	12205	1474
1055	922	1604
1056	12416	1483
1057	9199	1609
1059	13911	1486
1060	1973	1488
1061	828	1489
1062	9179	1493
1063	12907	1497
1064	12676	1497
1065	9296	1502
1067	54043	1506
1068	7861	1507
1069	6948	1508
1070	14463	1512
1072	6798	1520
1073	6797	1520
1074	7116	1522
1075	9381	1525
1076	13533	1527
1077	13335	1527
1081	6163	2308
1082	213	1530
1083	5184	1531
1084	5026	1531
1085	9248	1533
1086	3632	1534
1087	16221	1535
1088	16182	1535
1089	6503	1544
1090	6497	1544
1091	702	1548
1092	11183	1550
1093	16056	1552
1094	12266	1553
1095	13624	1557
1096	13475	1557
1097	13352	1557
1098	13313	1557
1099	2158	1564
1100	12874	1569
1101	12873	1569
1102	12870	1569
1103	12649	1569
1104	6694	1575
1105	10202	1578
1106	2584	3780
1107	813	1579
1108	16221	1586
1109	16180	1586
1110	14227	1588
1111	13647	1589
1112	13376	1589
1113	13359	1589
1114	13327	1589
1115	16707	1592
1116	4026	1601
1117	13487	1602
1118	13412	1602
1119	2135	4338
1120	7822	1611
1121	11282	1612
1122	13362	1614
1123	12986	1615
1127	9031	1619
1128	2459	1620
1129	2352	1620
1130	11393	1630
1131	3828	1634
1132	9175	1637
1133	12538	1638
1134	9872	1639
1135	9827	1639
1136	4675	1640
1137	4572	1640
1138	13657	1644
1139	13453	1644
1140	13620	1652
1141	13376	1652
1142	13359	1652
1143	13340	1652
1144	13327	1652
1145	7121	1660
1147	4675	1667
1148	4551	1667
1149	176	1669
1150	9092	1682
1151	4387	1684
1152	8966	1685
1153	7779	1686
1155	5708	1692
1156	2596	1695
1157	11572	1698
1158	13895	1699
1159	9398	1701
1160	731	1702
1162	9809	1704
1163	4750	1705
1164	9362	1706
1165	13944	1713
1166	12517	1715
1167	16276	1719
1168	16948	1721
1170	2785	1729
1171	4835	1730
1172	6831	1776
1173	14852	1867
1174	14848	1867
1175	14784	1867
1176	16301	1737
1177	12154	1739
1178	13627	1740
1179	1829	1745
1180	7662	1948
1181	13608	1750
1182	13603	1750
1183	13431	1750
1184	12544	1753
1185	14298	1754
1186	13084	1755
1187	13627	1757
1188	1059	1759
1189	11546	1761
1190	2591	1764
1191	495	1765
1192	222	1765
1193	9024	1766
1194	13646	1768
1195	13562	1768
1196	13398	1768
1197	13390	1768
1198	13350	1768
1199	13358	1770
1200	13262	1770
1201	9421	1774
1202	14413	1775
1203	9460	2710
1204	331	1778
1205	8950	1782
1206	3570	1783
1207	2125	1793
1208	6491	1795
1209	13660	1798
1210	13349	1798
1211	12922	1804
1213	13447	1809
1214	13365	1809
1215	13348	1809
1216	4484	1811
1217	3828	1814
1218	14093	1817
1219	13528	1819
1220	881	1821
1222	12498	1826
1223	12215	1826
1224	14287	1827
1225	10209	1829
1226	2765	1830
1227	13655	1835
1228	13634	1835
1229	12377	1836
1230	2251	1837
1231	934	1839
1232	933	1839
1233	5081	1844
1234	15980	1845
1235	2486	1846
1236	252	1847
1237	1087	1854
1238	15714	1855
1239	9018	1856
1240	3382	1859
1241	320	1864
1242	315	1864
1243	10027	1866
1244	6927	1875
1245	11375	1878
1246	13371	1880
1247	13291	1880
1248	12262	1884
1249	16305	1886
1250	206	1889
1251	9067	1891
1252	15746	1895
1253	14780	1896
1254	978	1897
1255	10811	1898
1258	13660	1906
1259	13409	1906
1260	13396	1906
1261	13346	1906
1262	3529	1916
1263	10031	1918
1264	8502	1919
1265	9336	1920
1266	9900	1922
1267	9872	1922
1268	9829	1922
1269	7115	1923
1270	6830	1923
1271	16221	1927
1272	16181	1927
1273	326	1929
1274	320	1929
1275	2341	1931
1276	5088	1935
1277	7763	1939
1278	4675	1941
1279	4570	1941
1280	6966	1942
1283	9247	1945
1284	1201	1947
1285	1190	1947
1286	1187	1947
1288	4675	1959
1289	7226	1960
1290	6686	1961
1291	9368	1964
1292	13475	1966
1293	13352	1966
1294	1826	1967
1295	583	1969
1296	9065	1974
1297	9328	1975
1299	16257	3011
1300	6486	1984
1301	6286	1984
1302	9033	1985
1303	16210	1986
1304	14771	1989
1305	12572	1993
1306	13621	1999
1307	13326	1999
1308	13045	2002
1309	4481	2003
1310	4675	2005
1311	4566	2005
1312	12268	2006
1313	3441	2009
1314	3433	2009
1315	13628	2015
1316	13490	2015
1317	13412	2015
1318	2327	2016
1319	6722	2017
1320	11251	2023
1321	12172	2027
1322	9424	2028
1323	5706	2030
1324	12570	3012
1325	259	2032
1326	4968	3013
1327	11283	2034
1328	307	2035
1329	6120	2038
1330	7875	2041
1331	7425	2044
1332	9217	2047
1333	3441	2048
1334	3432	2048
1335	2568	2051
1338	6169	2059
1340	13608	2063
1341	13607	2063
1342	13602	2063
1343	13512	2063
1344	13468	2063
1345	13343	2063
1346	13667	2065
1347	13610	2065
1348	13605	2065
1349	13425	2065
1350	14292	2067
1351	13067	2068
1352	12965	2068
1353	1180	2069
1355	2782	2076
1357	13673	2078
1358	13612	2078
1359	13510	2078
1360	13476	2078
1361	13474	2078
1362	13470	2078
1363	13363	2078
1364	6964	2079
1365	9880	2080
1366	9853	2080
1367	9205	2082
1368	11189	2083
1369	11236	2086
1370	2680	2091
1372	7002	2099
1373	16709	2101
1374	13651	2102
1375	13279	2102
1376	9360	2103
1377	9302	2105
1378	605	2106
1379	12537	2107
1380	12446	2107
1381	12419	2107
1382	12214	2107
1384	9907	2111
1385	9899	2111
1386	9871	2111
1387	13576	2115
1388	13362	2115
1389	9908	2499
1390	9887	2499
1391	9871	2499
1392	9858	2499
1393	10983	2118
1394	15725	2119
1396	11245	2124
1397	4675	2127
1398	4557	2127
1399	2517	2129
1400	4380	2130
1401	12573	2134
1402	13655	2138
1403	13328	2138
1404	9446	2139
1405	9423	2139
1406	252	2140
1407	6966	2141
1408	12189	2143
1409	1685	2144
1410	9327	3043
1411	1088	2157
1413	4281	2166
1415	9023	2170
1416	6695	2171
1417	435	2174
1418	16468	2175
1419	6686	3507
1420	12500	2179
1421	9323	3508
1422	1654	2185
1423	934	2186
1424	933	2186
1425	307	2186
1426	2176	2187
1427	12435	2188
1428	11585	2191
1429	5669	3543
1430	11057	2195
1431	3445	2201
1432	13943	2202
1433	16054	2203
1434	6264	2204
1435	13612	2208
1436	13476	2208
1437	13464	2208
1438	1315	2209
1439	1294	2209
1440	477	2209
1441	495	2211
1442	9310	3817
1443	5169	2217
1445	14193	2219
1446	2788	2222
1447	13637	2229
1448	13475	2229
1449	13291	2229
1450	6115	2231
1451	1196	2235
1452	9420	3818
1453	4469	2237
1454	9195	2242
1455	7832	2248
1456	5603	2250
1457	8973	2256
1458	9872	2258
1459	9858	2258
1460	9833	2258
1461	11376	3819
1462	9809	3820
1463	9231	2261
1464	5478	2262
1465	9948	2270
1466	255	2271
1467	11376	2273
1468	6391	2277
1475	9148	4296
1476	360	2284
1477	15151	2288
1479	3231	2293
1480	5751	2294
1481	934	2295
1482	933	2295
1483	9236	2296
1484	2171	2297
1485	2198	2303
1486	9549	2305
1487	10092	2306
1488	9109	2307
1489	1195	2310
1490	4245	2311
1491	13358	2313
1492	13351	2313
1493	9181	2315
1494	8953	2318
1495	13487	2319
1496	15285	2321
1497	8293	2326
1498	13672	2327
1499	13622	2327
1502	1147	2333
1503	12558	2334
1504	12531	2334
1505	9900	2335
1506	9872	2335
1507	9829	2335
1508	4386	2337
1509	6241	2339
1510	10143	2342
1511	11677	2343
1512	13491	2344
1513	13362	2344
1514	13339	2344
1515	16278	2345
1516	9221	2347
1517	1158	2348
1518	6222	2351
1519	9418	2355
1521	16141	2364
1522	16139	2364
1523	9020	2530
1524	14295	3833
1525	7110	2401
1526	9249	2366
1527	2568	2370
1528	5167	2371
1529	16130	2373
1530	2254	2375
1534	12530	2378
1535	9265	2379
1536	9014	2380
1537	3305	2383
1538	8962	2386
1539	737	2389
1540	260	2389
1541	12259	2391
1542	6758	2393
1543	1654	2395
1544	9512	2396
1545	5124	2397
1546	4737	2397
1547	9853	2398
1548	9183	2416
1549	13539	2403
1550	13517	2403
1551	13358	2403
1552	13301	2403
1553	15967	2405
1554	2351	2406
1555	16201	2408
1556	13658	2410
1557	13415	2410
1558	13399	2410
1559	3526	2411
1560	3263	2411
1561	9242	2412
1562	12363	2414
1563	327	2420
1564	320	2420
1565	9057	2423
1566	239	2424
1567	6500	2425
1568	9427	2426
1573	7781	2429
1574	7025	2430
1575	6780	2430
1576	13653	2431
1577	13488	2431
1578	13412	2431
1579	7865	2432
1580	1753	2435
1581	9158	2441
1582	6503	2445
1583	6498	2445
1584	6497	2445
1585	5115	2446
1586	15150	2447
1587	444	2449
1588	3520	2450
1589	3508	2450
1590	13641	2451
1592	9424	2453
1593	9900	2454
1594	9872	2454
1595	9829	2454
1596	5973	2456
1600	1315	2458
1601	482	2458
1602	479	2458
1603	4675	2460
1604	4564	2460
1605	13635	2463
1606	13475	2463
1607	13352	2463
1608	13314	2463
1609	4675	2464
1610	4569	2464
1611	6899	2465
1612	9503	2467
1613	13493	2469
1614	13362	2469
1615	9542	2470
1616	9239	2473
1617	16223	2478
1618	16221	2478
1619	16182	2478
1624	13022	2480
1625	13653	2481
1626	13460	2481
1627	6387	2482
1628	1084	2485
1629	990	2485
1630	15717	2486
1631	11591	2665
1632	2250	2494
1633	1072	2495
1634	9638	2497
1635	9058	2667
1636	3526	2727
1637	3268	2727
1638	13084	2501
1639	1107	2502
1640	1106	2502
1641	334	2502
1642	13371	2503
1643	13291	2503
1644	9301	2507
1645	2169	2509
1646	6724	2511
1647	13660	2513
1648	13410	2513
1649	13394	2513
1650	13347	2513
1651	4675	2514
1652	4573	2514
1653	9264	2518
1654	622	2520
1655	11396	2521
1656	9451	2522
1657	16122	2525
1658	9333	2526
1661	2566	2533
1662	5587	2535
1663	2677	2536
1664	10069	2537
1665	8957	2539
1668	16965	2542
1669	16907	2542
1670	551	2545
1671	10025	2548
1672	811	2555
1673	804	2555
1674	10652	2557
1675	1192	2558
1676	16035	2559
1677	1201	2562
1678	1188	2562
1679	486	2562
1680	2678	2563
1681	4283	2564
1682	174	2565
1683	4705	2567
1685	807	2569
1686	13585	2571
1687	13326	2571
1688	708	2572
1689	3526	2573
1690	934	2728
1691	933	2728
1692	1799	2576
1693	9247	2579
1694	7871	2580
1696	7215	2584
1697	13656	2585
1698	13455	2585
1699	13396	2585
1700	15339	2589
1701	495	2592
1702	219	2592
1703	9557	2596
1704	13654	2598
1705	13616	2598
1706	12122	2599
1707	732	2750
1708	259	2750
1709	5185	2601
1711	13588	2607
1712	13498	2607
1713	11396	2608
1714	9870	2610
1715	9867	2610
1716	13894	2611
1717	9407	2616
1718	13586	2620
1719	13322	2620
1720	8989	2621
1721	5548	2623
1725	9194	2628
1726	2167	2629
1727	13631	2631
1728	13376	2631
1729	13359	2631
1730	13340	2631
1731	9267	2634
1732	12532	2635
1733	7870	2637
1734	494	2638
1736	13643	2644
1737	13453	2644
1738	2562	2645
1739	15786	2646
1740	6950	2648
1741	9149	2650
1742	738	2651
1743	260	2651
1744	9071	2681
1745	5706	2652
1746	7865	2654
1747	235	2657
1748	3393	2668
1749	6503	2670
1750	6502	2670
1751	6495	2670
1752	5124	2671
1753	13589	2672
1754	13493	2672
1755	13362	2672
1756	13339	2672
1757	13415	2673
1758	13399	2673
1759	14852	2674
1760	14848	2674
1761	1079	2675
1762	490	2675
1763	16000	2676
1764	13362	2682
1765	3519	2685
1766	14299	2686
1767	13554	2687
1768	13391	2687
1769	13363	2687
1770	16196	2689
1771	3235	2698
1772	4471	2702
1773	2504	2704
1775	13659	2707
1776	13562	2707
1777	13398	2707
1778	13390	2707
1779	13350	2707
1780	10250	2709
1786	13627	2717
1787	13492	2717
1788	2201	2718
1789	15146	2720
1792	15448	2723
1793	710	2724
1796	9870	2752
1797	9867	2752
1798	13539	2729
1799	13525	2729
1800	13358	2729
1801	13302	2729
1802	13671	2731
1803	13612	2731
1804	13476	2731
1805	13464	2731
1806	8968	2733
1807	9872	2734
1808	9824	2734
1809	4675	2736
1810	4555	2736
1811	4553	2736
1812	11291	2737
1813	3526	2738
1814	2122	2783
1815	9186	2741
1816	4382	2742
1817	1144	2744
1818	4464	2746
1819	12376	2748
1820	12340	2748
1821	14220	2749
1822	711	2754
1823	6350	2757
1824	419	2758
1825	8453	2760
1826	1201	2762
1827	1190	2762
1828	1187	2762
1830	1802	2766
1831	8661	2767
1832	9426	2768
1833	9304	2769
1834	12345	2770
1835	8967	2772
1836	7873	2773
1837	16577	2774
1838	9139	2777
1839	9989	2781
1840	6279	2787
1841	13199	2791
1843	13151	2792
1844	12514	2793
1845	169	2794
1846	3528	2796
1847	9853	2798
1848	1189	2799
1849	738	2799
1850	13334	2800
1851	3524	2803
1852	9900	2804
1853	9872	2804
1854	9835	2804
1855	9829	2804
1856	1107	2805
1858	6727	2808
1859	9029	2810
1860	4866	2812
1861	4751	2813
1862	13480	2815
1863	13412	2815
1864	7876	2818
1865	7168	2819
1866	13365	2822
1867	13348	2822
1868	13265	2822
1870	5311	2826
1871	2333	2828
1872	13374	2830
1873	13354	2830
1874	13368	2831
1875	9161	2832
1878	16469	7696
1879	6278	2839
1880	9064	2840
1881	2862	2841
1882	13612	2842
1883	13476	2842
1884	13474	2842
1885	13466	2842
1886	13038	2843
1887	14795	2856
1888	2765	2857
1889	10901	2845
1890	14603	2848
1891	13564	2850
1892	13363	2850
1893	13361	2850
1894	4675	2852
1895	4555	2852
1896	4554	2852
1902	12537	2865
1903	12210	2865
1904	700	6624
1905	15331	2870
1907	9872	2872
1908	9820	2872
1909	960	2874
1910	811	2874
1911	804	2874
1912	12161	2875
1913	1137	2877
1914	4776	2879
1915	1150	2892
1916	4285	2893
1917	7841	2880
1918	15999	2881
1919	609	2885
1920	176	2885
1921	10203	2886
1922	4384	2888
1925	6964	2889
1926	4675	2895
1927	4545	2895
1928	12162	2896
1929	9250	2897
1930	6791	2901
1934	13447	2906
1935	13365	2906
1936	13348	2906
1937	9449	2907
